"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regular las condiciones laborales en base a estandares minimos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es el proposito principal de la Decision 584 en el marco de la seguridad y salud en el trabajo?","A","Regular las condiciones laborales en base a estandares minimos.","Garantizar beneficios economicos a los trabajadores.","Establecer sanciones a las empresas que incumplen con las normas laborales.","Proveer formacion unica a trabajadores sobre seguridad.","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: El sistema de gestion abarca un enfoque integral y preventivo, a diferencia de las medidas aisladas que son reactivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que diferencia clave existe entre las medidas aisladas y un sistema de gestion de SST?","C","Las medidas aisladas son temporales, mientras que el sistema es permanente.","Las medidas aisladas son mas costosas en su implementacion que un sistema de gestion.","El sistema de gestion abarca un enfoque integral y preventivo, a diferencia de las medidas aisladas que son reactivas.","El sistema de gestion solo se aplica a empresas grandes, mientras que las medidas aisladas puede aplicarse a cualquier contexto.","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promueve la cooperacion y la armonizacion de politicas entre los estados miembros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Como impacta la Decision 584 en el ambito andino de seguridad y salud en el trabajo?","B","Reduce el gasto estatal en programas de salud.","Promueve la cooperacion y la armonizacion de politicas entre los estados miembros.","Impone multas a quienes no sigan las normativas existentes.","Unifica las legislaciones laborales de los paises andinos.","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un sistema de gestion de seguridad y salud en el trabajo contribuye a crear un ambiente seguro y saludable, lo que reduce accidentes y enfermedades laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Explique como un sistema de gestion de SST puede influir en la productividad de los trabajadores.","D","Como los simulacros documentados permiten detectar fallos en los procedimientos de emergencia, mejoran la preparacion del personal ante situaciones de crisis y facilitan el cumplim","Las respuestas deben abordar como las zonas de seguridad, que incluyen areas designadas para el almacenamiento y manejo de sustancias quimicas, ayudan a prevenir accidentes al mini","La ventilacion en espacios confinados es fundamental para garantizar la seguridad de los trabajadores.","Un sistema de gestion de seguridad y salud en el trabajo contribuye a crear un ambiente seguro y saludable, lo que reduce accidentes y enfermedades laborales.","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Decreto 255:2024 incorpora un enfoque actualizado hacia la gestion de la seguridad laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual de las siguientes afirmaciones es correcta respecto al Decreto Ejecutivo 255:2024 en comparacion con el Decreto Ejecutivo 2393:1986?","B","El nuevo decreto elimina totalmente las normativas de salud ocupacional","El Decreto 255:2024 incorpora un enfoque actualizado hacia la gestion de la seguridad laboral","El Decreto 2393:1986 es mas integral que el nuevo decreto","El Decreto 255:2024 no tiene impacto en la legislacion de salud en el trabajo","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se debe hacer referencia unicamente a normativas vigentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Que impone el nuevo Decreto Ejecutivo 255:2024 respecto a la citacion de normativas derogados?","D","Se puede citar normativas derogados como fuente de referencia","Se deben preservar las citas de los decretos anteriores sin excepcion","No hay ninguna regulacion sobre la citacion de normativas","Se debe hacer referencia unicamente a normativas vigentes","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Citar normativa derogada puede llevar a confusiones legales y a la falta de validacion de estandares actuales de seguridad laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Describa las implicaciones de citar normativa derogada en la gestion de la seguridad y salud en el trabajo segun el nuevo decreto.","A","Citar normativa derogada puede llevar a confusiones legales y a la falta de validacion de estandares actuales de seguridad laboral.","Una respuesta valida debe articular como la evidencia objetiva fundamenta las decisiones en materia de salud y seguridad, promoviendo una cultura de transparencia y confianza.","La Resolucion 957 establece directrices y normativas especificas que deben seguir las empresas en la implementacion de sistemas de gestion de seguridad y salud en el trabajo.","Las respuestas deben mencionar un enfoque integral hacia la prevencion, incluyendo la identificacion de fuentes de ignicion, el uso de materiales incombustibles, la correcta seniali","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Enfoque proactivo que previene riesgos antes de que ocurran.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que enfoque de gestion se enfatiza en el Decreto 255:2024?","C","Enfoque puramente administrativo y burocratico","Enfoque reactivo ante incidentes","Enfoque proactivo que previene riesgos antes de que ocurran","Enfoque centrado en sanciones y regulaciones","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer politicas de seguridad alineadas con normativas vigentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Segun el nuevo Decreto Ejecutivo 255:2024, cual es una de las principales responsabilidades de los empleadores?","C","Implementar protocolos no actualizados","Eliminar cualquier responsabilidad sobre eventos de salud y seguridad","Establecer politicas de seguridad alineadas con normativas vigentes","Proveer entrenamiento a los trabajadores sobre normativas derogados","","","","","",""
"multiplechoice","EAEEC","C1 Marco Legal y Decision 584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regular y promover la prevencion de riesgos laborales en las empresas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es el objetivo principal de la Resolucion CD 513 en el contexto de la seguridad y salud en el trabajo?","A","Regular y promover la prevencion de riesgos laborales en las empresas.","Establecer programas de formacion obligatorios para todos los trabajadores.","Limitar la responsabilidad de los empleadores en caso de accidentes laborales.","Eliminar las evaluaciones de riesgo en el entorno laboral.","","","","","",""
"multiplechoice","EAEEC","C2 Cuatro Bloques PHVA y SART","Yes","¡Correcto! Segun el material del curso, lo correcto es: La obligacion del empleador de garantizar un ambiente de trabajo seguro y saludable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","De acuerdo con los fundamentos presentados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que implica la responsabilidad patronal segun el SART?","A","La obligacion del empleador de garantizar un ambiente de trabajo seguro y saludable.","La obligacion de los trabajadores de cumplir con las normativas de seguridad.","La posibilidad de que el empleador evada su responsabilidad en ciertas circunstancias.","La capacitacion voluntaria de los empleados en materia de salud y seguridad.","","","","","",""
"multiplechoice","EAEEC","C2 Cuatro Bloques PHVA y SART","Yes","¡Correcto! Segun el material del curso, lo correcto es: El desarrollo de una cultura de prevencion en el lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Que elemento se considera esencial en la gestion de la salud y seguridad laboral segun la normativa vigente?","C","La promocion de incentivos economicos por cumplir normativas.","La asignacion de tareas de seguridad a los trabajadores sin capacitacion previa.","El desarrollo de una cultura de prevencion en el lugar de trabajo.","La documentacion exhaustiva de todos los accidentes laborales.","","","","","",""
"multiplechoice","EAEEC","C2 Cuatro Bloques PHVA y SART","Yes","¡Correcto! Segun el material del curso, lo correcto es: La competencia exclusiva de los trabajadores en asegurar un ambiente seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes aspectos no se menciona como parte del SART?","B","La promocion de la cultura de la seguridad.","La competencia exclusiva de los trabajadores en asegurar un ambiente seguro.","La prevencion de riesgos laborales.","La evaluacion continua de los procesos de trabajo.","","","","","",""
"multiplechoice","EAEEC","C2 Cuatro Bloques PHVA y SART","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proveer un marco organizacional que integre las actividades de seguridad y salud laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEEC.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es la funcion principal de los bloques del sistema en la gestion de la seguridad y salud en el trabajo?","D","Incrementar los costos operativos de la organizacion.","Garantizar el cumplimiento estricto de normativas gubernamentales.","Reemplazar las politicas de salud publica.","Proveer un marco organizacional que integre las actividades de seguridad y salud laboral.","","","","","",""
