"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ERISST","S1 Programa RISST y Resultados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Responsables SST, profesionales HSE y consultores del area.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","El programa se orienta a un perfil especifico de destinatarios en SST. Que perfil de destinatarios se menciona en la sumilla del programa segun lo indicado en el material del curso del Reglamento Interno de SST?","A","Responsables SST, profesionales HSE y consultores del area","Solo personal de ventas y marketing","Unicamente estudiantes sin experiencia","Exclusivamente auditores financieros","","","","","",""
"multiplechoice","ERISST","S2 Metodo E-Learning y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una modalidad e-learning con Tutor IA en la plataforma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","El curso se imparte bajo una modalidad de aprendizaje definida. Que modalidad de aprendizaje utiliza el programa segun lo indicado en el material del curso del Reglamento Interno de SST para el participante?","C","Una modalidad presencial con horario rigido","Una modalidad basada solo en un examen unico","Una modalidad e-learning con Tutor IA en la plataforma","Una modalidad sin ningun material de apoyo","","","","","",""
"multiplechoice","ERISST","S3 Capitulos Obligatorios del RISST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se organiza en capitulos obligatorios definidos por la normativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","El Reglamento Interno de SST se organiza en capitulos obligatorios. Que caracteristica tiene la estructura del RISST segun lo indicado en el material del curso del Reglamento Interno de SST para la empresa?","B","Se redacta sin ninguna estructura definida","Se organiza en capitulos obligatorios definidos por la normativa","Contiene solo un capitulo general","Se limita a un listado de productos","","","","","",""
"multiplechoice","ERISST","S4 Vigilancia Salud y Socializacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detectar enfermedades en etapas tempranas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","Los examenes medicos ocupacionales cumplen una funcion preventiva. Cual es el principal objetivo de los examenes medicos ocupacionales segun lo indicado en el material del curso del Reglamento Interno de SST?","D","Aumentar las ventas de la empresa","Reducir el numero de trabajadores","Disenar la publicidad del negocio","Detectar enfermedades en etapas tempranas","","","","","",""
"multiplechoice","ERISST","S5 Aprobacion Registro SUT y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registrar y evaluar las condiciones de seguridad y salud de la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","El registro del RISST se realiza en la plataforma oficial de la autoridad. Cual es el principal objetivo del registro en el SUT segun lo indicado en el material del curso del Reglamento Interno de SST?","A","Registrar y evaluar las condiciones de seguridad y salud de la empresa","Aumentar las ventas de la empresa","Disenar la publicidad del negocio","Administrar el inventario comercial","","","","","",""
"multiplechoice","ERISST","S1 Programa RISST y Resultados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitar a los participantes en la gestion y elaboracion del Reglamento Interno de SST.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","El programa persigue un objetivo central relacionado con la gestion de SST. Cual es uno de los objetivos principales del programa segun lo indicado en el material del curso del Reglamento Interno de SST?","C","Aumentar las ventas de la empresa","Reducir el numero de trabajadores","Capacitar a los participantes en la gestion y elaboracion del Reglamento Interno de SST","Sustituir las auditorias legales","","","","","",""
"multiplechoice","ERISST","S2 Metodo E-Learning y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el rendimiento del estudiante de manera oportuna.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","La retroalimentacion cumple un papel en el aprendizaje del participante. Cual es la principal funcion de la retroalimentacion en el curso segun lo indicado en el material del curso del Reglamento Interno de SST?","B","Reemplazar la evaluacion final","Evaluar el rendimiento del estudiante de manera oportuna","Impedir el avance autonomo","Reducir la cantidad de contenidos","","","","","",""
"multiplechoice","ERISST","S3 Capitulos Obligatorios del RISST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer las definiciones y los conceptos usados en el reglamento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","Uno de los capitulos del RISST se dedica a las definiciones y conceptos. Cual es la funcion del capitulo del RISST que aborda las definiciones segun lo indicado en el material del curso del Reglamento Interno de SST?","D","Registrar las ventas de la empresa","Disenar la publicidad del negocio","Administrar el inventario comercial","Establecer las definiciones y los conceptos usados en el reglamento","","","","","",""
"multiplechoice","ERISST","S4 Vigilancia Salud y Socializacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de datos epidemiologicos y de los resultados obtenidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","La vigilancia de la salud se apoya en el analisis de informacion. Que garantiza la efectividad de un programa de vigilancia de la salud segun lo indicado en el material del curso del Reglamento Interno de SST?","A","El analisis de datos epidemiologicos y de los resultados obtenidos","La ausencia de cualquier registro","La opinion sin datos de respaldo","El calculo de las ventas del negocio","","","","","",""
"multiplechoice","ERISST","S5 Aprobacion Registro SUT y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar un plan de mejoras continuas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERISST.","1","Tras el registro en el SUT la empresa continua con acciones de mejora. Que accion se recomienda una vez realizado el registro en el SUT segun lo indicado en el material del curso del Reglamento Interno de SST?","C","Cerrar la gestion sin acciones adicionales","Eliminar los registros del sistema","Implementar un plan de mejoras continuas","Reducir el numero de trabajadores","","","","","",""
