"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! En el caso industrial de la planta carnica se aplica la RM 451-2006/MINSA, correspondiente a la NTS de carnicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Segun el material, que norma tecnica sanitaria se aplica a los productos carnicos en el caso industrial de la planta?","C","La RM 449-2006 unicamente","El DS 007-98-SA","La RM 451-2006/MINSA","La Ley 26842","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! La DIGESA ejerce como autoridad sanitaria que vigila y controla los alimentos dentro del sistema peruano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Conforme al documento, que rol cumple la DIGESA dentro del sistema de vigilancia sanitaria peruano de acuerdo con los conceptos presentados en el contenido de la unidad?","D","Producir los alimentos","Comercializar los productos","Fijar los precios de venta","Ejercer como autoridad sanitaria que vigila y controla los alimentos","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! La validacion del plan HACCP por la DIGESA es obligatoria, no voluntaria, y debe obtenerse antes de operar segun la RM 449-2006/MINSA.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Segun el material, que caracteristica tiene la validacion del plan HACCP por la DIGESA en Peru de acuerdo con lo expuesto en el contenido tecnico del curso?","A","Es obligatoria, no voluntaria, antes de operar","Es opcional para las plantas","Solo aplica a la exportacion","Se realiza cada cinco anos como maximo","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! En el caso industrial peruano se menciona el etiquetado con octogonos de advertencia donde aplique.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","De acuerdo con el documento, que elemento del etiquetado se menciona en el caso industrial peruano donde aplique conforme a lo desarrollado en el material de estudio de la unidad?","B","El codigo de barras europeo","Los octogonos de advertencia","El sello de la FDA","La marca comercial exclusivamente","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! El marco normativo principal de alimentos en Peru incluye la Ley 26842, el DS 007-98-SA, la RM 449-2006/MINSA y multiples NTS especificas por producto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Segun el material, que conjunto de normas conforma el marco normativo principal de alimentos en Peru tal como se explica en el contenido teorico presentado en el curso?","C","Solo la Ley 26842","Unicamente el DS 007-98-SA","La Ley 26842, el DS 007-98-SA, la RM 449-2006/MINSA y las NTS especificas","Solo las normas ISO","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! Tras la comercializacion autorizada, el mantenimiento del cumplimiento incluye la vigilancia periodica de la DIGESA.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Conforme al documento, que sigue el mantenimiento del cumplimiento tras la comercializacion autorizada en el caso industrial segun la informacion tecnica desarrollada a lo largo del material?","D","La eliminacion de los registros","El fin de toda supervision","La reduccion de la produccion","La vigilancia periodica de la DIGESA","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! Conocer el marco normativo es prerequisito porque delimita las obligaciones sanitarias, como la validacion HACCP y el registro sanitario, antes de operar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Segun el material, por que es prerequisito conocer el marco normativo antes de operar una planta de alimentos en Peru?","A","Porque delimita las obligaciones sanitarias como la validacion HACCP y el registro sanitario","Porque reduce el costo de produccion","Porque elimina la necesidad de inspecciones","Porque sustituye las normas tecnicas","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! La DIGESA revisa el plan HACCP en oficina e inspecciona la planta antes de emitir la Validacion Tecnica Oficial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","De acuerdo con el documento, que autoridad revisa el plan HACCP en oficina e inspecciona la planta en Peru de acuerdo con los conceptos presentados en el contenido de la unidad?","B","La municipalidad local","La DIGESA","El Ministerio de Agricultura","La empresa certificadora privada","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! El caso industrial que ilustra la aplicacion del marco DIGESA es una planta que procesa carnes y embutidos en Lima.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Segun el material, que caso industrial se usa para ilustrar la aplicacion del marco DIGESA en el curso de acuerdo con lo expuesto en el contenido tecnico del curso?","C","Una planta de bebidas gaseosas","Una empresa de exportacion de frutas","Una planta que procesa carnes y embutidos en Lima","Un supermercado minorista","","","","","",""
"multiplechoice","BDP","BD1 DIGESA y Marco Normativo Peruano","Yes","¡Correcto! La Ley 26842 es la Ley General de Salud y el DS 007-98-SA es el reglamento de vigilancia y control sanitario que la desarrolla.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BDP.","1","Conforme al documento, que relacion tienen la Ley 26842 y el DS 007-98-SA en el marco peruano conforme a lo desarrollado en el material de estudio de la unidad?","D","Son documentos sin relacion","La ley reemplaza al reglamento","El reglamento deroga la ley","La Ley 26842 es la ley general y el DS 007-98-SA es el reglamento de vigilancia y control sanitario","","","","","",""
