"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material define el riesgo vial laboral incluyendo el desplazamiento en mision (durante la jornada) e in itinere (entre el domicilio y el centro de trabajo).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, el riesgo vial laboral se define como la probabilidad de sufrir un siniestro de transito durante un desplazamiento por motivo de trabajo. El curso distingue dos modalidades de este desplazamiento. Cuales son?","B","En turno y en descanso","En mision (durante la jornada) e in itinere (entre domicilio y centro de trabajo)","Urbano y rural","Diurno y nocturno","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material senala que la gestion exige identificar peligros del trayecto, el vehiculo, el conductor y la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material indica que la gestion del riesgo vial laboral exige identificar peligros en varios ambitos y aplicar controles segun la jerarquia. Cual de los siguientes es uno de los ambitos de peligro que menciona el curso?","C","El clima de la ciudad vecina","El precio del combustible","El trayecto, el vehiculo, el conductor y la organizacion","La marca comercial del seguro","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica la jerarquia: eliminacion, sustitucion, controles de ingenieria, administrativos y EPP (equipo de proteccion personal).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, la gestion del riesgo vial laboral aplica controles segun una jerarquia. Cual es el orden de la jerarquia de controles que menciona el curso?","A","Eliminacion, sustitucion, controles de ingenieria, administrativos y equipo de proteccion personal","Equipo de proteccion personal, administrativos e ingenieria unicamente","Solo controles administrativos","Sustitucion y eliminacion nada mas","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que la ISO 39001:2012 y la Ley 29783:2011 enmarcan la gestion del riesgo vial laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material cita las normas que enmarcan la gestion del riesgo vial laboral. Cuales menciona como marco de esta gestion?","D","NFPA 704 y ASME A13.1","ISO 3864 y EN 166","OSHA 1910.95 y ANSI Z87.1","La ISO 39001:2012 y la Ley 29783:2011","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material define la ISO 39001:2012 como la norma que especifica los requisitos de un Sistema de Gestion de la Seguridad Vial (SGSV).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, la norma ISO 39001:2012 especifica los requisitos de un sistema de gestion. De que sistema se trata?","B","Sistema de gestion de calidad","Sistema de Gestion de la Seguridad Vial (SGSV)","Sistema de gestion ambiental","Sistema de gestion financiera","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que el objetivo de la ISO 39001:2012 es permitir que las organizaciones reduzcan las muertes y lesiones graves derivadas de la interaccion con el sistema vial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material describe el objetivo de la ISO 39001:2012. Cual es ese objetivo segun el curso?","C","Aumentar la velocidad promedio de la flota","Reducir los costos de combustible","Permitir a las organizaciones reducir las muertes y lesiones graves derivadas del sistema vial","Estandarizar el color de los vehiculos","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que el analisis de datos permite dirigir los recursos preventivos hacia los factores de mayor peso como exceso de velocidad, distracciones, alcohol, fatiga y no uso del cinturon.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, la gestion basada en datos es un pilar de la ISO 39001:2012. Que permite el analisis de datos de siniestralidad segun el curso?","A","Dirigir los recursos preventivos hacia los factores de mayor peso","Eliminar por completo la necesidad de mantenimiento","Reducir el numero de conductores","Aumentar los limites de velocidad legales","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material cita entre los factores de mayor peso el exceso de velocidad, las distracciones, el consumo de alcohol, la fatiga y el no uso del cinturon.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material enumera los factores de mayor peso en la siniestralidad vial hacia los que se dirigen los recursos preventivos. Cual de los siguientes es uno de esos factores citados?","D","El color del vehiculo","La antiguedad de la empresa","El tipo de carroceria","El exceso de velocidad","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material cita entre las referencias regionales la Ley 29783:2011 de Seguridad y Salud en el Trabajo y su reglamento DS 005-2012-TR, ademas de la Decision 584 CAN.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, ademas de los estandares internacionales, el conductor debe cumplir la legislacion nacional aplicable a su pais. Cual de las siguientes es una referencia normativa regional que menciona el curso?","B","La norma ISO 3864","La Ley 29783:2011 y su reglamento DS 005-2012-TR","La NFPA 704","La norma ASME B31.3","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que la accion correctiva elimina la causa raiz de una no conformidad o incidente, mientras que la correccion solo repara el efecto inmediato sin atacar el origen.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material define la accion correctiva en el contexto de la seguridad vial y la diferencia de la correccion. Cual es la diferencia segun el curso?","C","Ambas son exactamente iguales","La correccion elimina la causa raiz y la accion correctiva solo repara el efecto","La accion correctiva elimina la causa raiz y la correccion solo repara el efecto inmediato","Ninguna ataca la causa raiz","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material menciona el metodo de los cinco porques o el arbol de causas para investigar la causa raiz.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, tras un cuasi accidente o siniestro se investiga la causa raiz. Que metodos de investigacion de causa raiz menciona el curso?","A","El metodo de los cinco porques o el arbol de causas","El sorteo aleatorio de causas","La encuesta de satisfaccion","El calculo de la distancia de frenado","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que en condiciones normales la percepcion-reaccion ronda 1,5 segundos, durante los cuales el vehiculo sigue avanzando sin frenar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material describe el tiempo de percepcion-reaccion del conductor. Segun el curso, en condiciones normales, cuanto tiempo ronda ese tiempo, durante el cual el vehiculo sigue avanzando sin frenar?","B","0,5 segundos","1,5 segundos","4 segundos","6 segundos","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material descompone la reaccion en cuatro fases: detectar el peligro, identificarlo, decidir la maniobra y ejecutarla.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, el modelo de reaccion descompone la respuesta del conductor en cuatro fases. Cuales son esas fases?","C","Arrancar, acelerar, girar y frenar","Ver, oir, tocar y oler","Detectar el peligro, identificarlo, decidir la maniobra y ejecutarla","Planificar, ejecutar, verificar y actuar","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que entrenar cada fase reduce el tiempo total de reaccion y, con ello, la distancia recorrida antes de detenerse, factor decisivo para evitar el impacto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material indica que entrenar cada fase del modelo de reaccion tiene un efecto beneficioso. Cual es ese efecto segun el curso?","D","Aumenta la velocidad maxima del vehiculo","Elimina la necesidad de frenos","No tiene efecto alguno","Reduce el tiempo total de reaccion y la distancia recorrida antes de detenerse","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que el Smith System y la Universidad de Iowa estudiaron el tiempo total de reaccion del conductor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el material, el modelo de tres segundos de reaccion fue estudiado por dos referencias. Cuales menciona el curso?","A","El Smith System y la Universidad de Iowa","La OMS y la NASA","OSHA y NIOSH","La ISO y la CAN","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material reporta en el caso una reduccion del 65 por ciento en la siniestralidad de la flota a los 18 meses.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material presenta un caso industrial con resultados a 18 meses tras aplicar medidas de seguridad vial en una flota. Que reduccion de siniestralidad de la flota se reporto?","B","30 por ciento","65 por ciento","10 por ciento","90 por ciento","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material reporta ademas una reduccion del 40 por ciento en el costo de seguros como resultado a 18 meses.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","Segun el caso industrial del material, ademas de la reduccion de siniestralidad, se reporto una reduccion en otro indicador economico. Cual y en que porcentaje?","C","Reduccion del 65 por ciento en combustible","Reduccion del 20 por ciento en salarios","Reduccion del 40 por ciento en el costo de seguros","Aumento del 40 por ciento en multas","","","","","",""
"multiplechoice","MDV","S1 Riesgo Vial y Normativa","Yes","¡Correcto! El material indica que el caso presento tres factores humanos confluyentes: exceso de velocidad, cercania (poca distancia) y fatiga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDV.","1","El material menciona que el analisis del caso identifico tres factores humanos confluyentes en el siniestro. Cuales fueron segun el curso?","D","Lluvia, niebla y granizo","Freno, motor y luces","Ruido, polvo y calor","Exceso de velocidad, cercania y fatiga","","","","","",""
