"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SILAF","S1 Fundamentos y Cultura Preventiva","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar una cultura de seguridad en el lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","En el curso de seguridad industrial, cual es el proposito principal que orienta todos los contenidos y actividades que el estudiante desarrolla durante su formacion autoadministrada?","A","Fomentar una cultura de seguridad en el lugar de trabajo","Certificar unicamente el manejo de maquinaria pesada","Reemplazar por completo las inspecciones legales obligatorias","Eliminar la necesidad de procedimientos escritos en planta","","","","","",""
"multiplechoice","SILAF","S2 Peligros y Jerarquia de Control","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion y analisis de los peligros evaluando la probabilidad de ocurrencia y su gravedad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","La evaluacion de riesgos es un proceso central en la seguridad industrial. Como define el curso lo que se entiende por evaluacion de riesgos dentro del ambito de la prevencion laboral?","C","El conteo de accidentes ocurridos en el ultimo ano","La compra de equipos nuevos para la planta","La identificacion y analisis de los peligros evaluando la probabilidad de ocurrencia y su gravedad","La revision unica del organigrama de la empresa","","","","","",""
"multiplechoice","SILAF","S3 Seguridad de Maquinas y EPP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una estructura que protege a los operarios de las partes en movimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","Los resguardos son elementos clave en la seguridad de maquinas. Como define el material del curso lo que es un resguardo en el contexto de la proteccion de los operarios frente a la maquinaria?","B","Un dispositivo que aumenta la velocidad de la maquina","Una estructura que protege a los operarios de las partes en movimiento","Una senal luminosa que indica el fin de la jornada","Un manual de instrucciones para el operario","","","","","",""
"multiplechoice","SILAF","S4 Espacios Confinados e Izajes","Yes","¡Correcto! Segun el material del curso, lo correcto es: Efectuar un analisis de riesgo del espacio confinado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","Antes de ingresar a un espacio confinado se requiere un control basico indispensable. Cual es esa medida que el material del curso senala como necesaria antes de permitir el ingreso del personal?","D","Ingresar rapidamente para ahorrar tiempo","Retirar la senalizacion del acceso al espacio","Delegar la decision al primer trabajador disponible","Efectuar un analisis de riesgo del espacio confinado","","","","","",""
"multiplechoice","SILAF","S5 Senalizacion e Investigacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Advertir sobre peligros potenciales y guiar en situaciones de emergencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","La senalizacion de seguridad cumple una funcion preventiva en el entorno laboral. Cual es el proposito principal de la senalizacion de seguridad segun lo indicado en el material del curso?","A","Advertir sobre peligros potenciales y guiar en situaciones de emergencia","Decorar las instalaciones de la planta","Reemplazar por completo los procedimientos escritos","Registrar la asistencia diaria del personal","","","","","",""
"multiplechoice","SILAF","S1 Fundamentos y Cultura Preventiva","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque autoadministrado con recursos disponibles para el autoestudio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","La metodologia de aprendizaje empleada en el curso se caracteriza por permitir que el estudiante avance con autonomia. Como se describe mejor este enfoque formativo dentro del material del curso?","C","Un esquema presencial con horarios fijos obligatorios","Una capacitacion exclusivamente practica sin teoria","Un enfoque autoadministrado con recursos disponibles para el autoestudio","Un modelo basado solo en evaluaciones finales sin apoyo","","","","","",""
"multiplechoice","SILAF","S2 Peligros y Jerarquia de Control","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los EPP son una ultima defensa y no reemplazan otras medidas de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","Respecto a los equipos de proteccion personal, el material establece una afirmacion correcta sobre su lugar dentro de las medidas de seguridad. Cual de las siguientes afirmaciones es la valida?","B","Los EPP son la primera y unica barrera necesaria","Los EPP son una ultima defensa y no reemplazan otras medidas de seguridad","Los EPP eliminan por completo el peligro de origen","Los EPP sustituyen a los controles de ingenieria","","","","","",""
"multiplechoice","SILAF","S3 Seguridad de Maquinas y EPP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desactiva la maquina cuando se abre una cubierta o resguardo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","El enclavamiento es un mecanismo de seguridad frecuente en maquinaria. Que funcion cumple un enclavamiento segun la definicion presentada en el material del curso de seguridad industrial?","D","Incrementa la potencia del motor de la maquina","Registra las horas trabajadas por el operario","Ilumina el area de trabajo durante la operacion","Desactiva la maquina cuando se abre una cubierta o resguardo","","","","","",""
"multiplechoice","SILAF","S4 Espacios Confinados e Izajes","Yes","¡Correcto! Segun el material del curso, lo correcto es: El acceso, la ventilacion y la naturaleza de los peligros del espacio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","La identificacion de un espacio confinado requiere considerar varios factores. Que aspectos deben evaluarse al identificar un espacio confinado segun lo indicado en el material del curso?","A","El acceso, la ventilacion y la naturaleza de los peligros del espacio","Solo el color de las paredes del espacio","Unicamente la antiguedad de la instalacion","El nombre comercial del recinto evaluado","","","","","",""
"multiplechoice","SILAF","S5 Senalizacion e Investigacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Peligro o prohibicion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILAF.","1","El color es un codigo importante en la senalizacion de seguridad. Que representa el color rojo dentro de la senalizacion de seguridad segun la codificacion presentada en el material del curso?","C","Obligacion de usar equipo","Informacion general neutra","Peligro o prohibicion","Zona segura sin restricciones","","","","","",""
