"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","REPE","S1 Peligros Electricos y Normativa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Trabajar sobre equipos energizados sin haber cortado y verificado la ausencia de energia previamente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Conforme al material del curso, cual es un factor que contribuye a que ocurra un contacto electrico durante las tareas de mantenimiento industrial?","A","Trabajar sobre equipos energizados sin haber cortado y verificado la ausencia de energia previamente","Utilizar herramientas aisladas certificadas para el trabajo con electricidad","Colocar senalizacion de advertencia alrededor del area de trabajo electrico","Contar con el permiso de trabajo debidamente autorizado antes de la tarea","","","","","",""
"multiplechoice","REPE","S2 Lesion Corriente y Severidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Puede alterar el ritmo del corazon y provocar fibrilacion ventricular que compromete la vida del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Conforme al material del curso, que efecto puede producir el paso de corriente electrica sobre el sistema cardiaco de una persona?","C","Puede mejorar el ritmo cardiaco reduciendo la fatiga del trabajador","Puede reducir el consumo electrico del equipo durante el contacto","Puede alterar el ritmo del corazon y provocar fibrilacion ventricular que compromete la vida del trabajador","Puede aumentar la resistencia del cuerpo protegiendo a la persona","","","","","",""
"multiplechoice","REPE","S3 EPP y Herramientas Aisladas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ropa resistente al arco reduce la gravedad de las quemaduras al limitar la transferencia de calor hacia el cuerpo durante el arco.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Conforme al material del curso, cual es la relacion entre la ropa resistente al arco y la proteccion del trabajador ante un evento de arco electrico?","B","La ropa resistente al arco reduce el consumo electrico de la instalacion","La ropa resistente al arco reduce la gravedad de las quemaduras al limitar la transferencia de calor hacia el cuerpo durante el arco","La ropa resistente al arco determina el color de la senalizacion del area","La ropa resistente al arco define el precio del servicio al cliente final","","","","","",""
"multiplechoice","REPE","S4 Cinco Reglas de Oro y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cortar la energia bloquear y etiquetar verificar la ausencia de tension poner a tierra y delimitar el area antes de trabajar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Conforme al material del curso, cual es la secuencia logica que reflejan las reglas de oro al preparar un trabajo electrico sin tension?","D","Trabajar primero y cortar la energia solo si se detecta algun problema","Delimitar el area energizar el circuito y luego iniciar la intervencion","Reenergizar la instalacion antes de verificar la ausencia de tension","Cortar la energia bloquear y etiquetar verificar la ausencia de tension poner a tierra y delimitar el area antes de trabajar","","","","","",""
"multiplechoice","REPE","S5 Permisos Delimitacion y Cierre","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar condiciones no habituales como capacitores generacion distribuida o trabajos energizados que requieren precauciones adicionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Conforme al material del curso, cual es el proposito de realizar una evaluacion de casos especiales antes de un trabajo electrico particular?","A","Identificar condiciones no habituales como capacitores generacion distribuida o trabajos energizados que requieren precauciones adicionales","Determinar el precio del servicio de mantenimiento cobrado al cliente final","Establecer el color de la senalizacion utilizada en el area de trabajo","Definir el horario en que el personal tomara sus descansos durante la jornada","","","","","",""
"multiplechoice","REPE","S1 Peligros Electricos y Normativa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Quemaduras severas lesiones por la onda de presion e incendios que ponen en riesgo la vida del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Tal como indica el material del curso, que consecuencia grave puede derivarse de la exposicion a un arco electrico en una instalacion industrial?","C","Una reduccion temporal del consumo electrico del area intervenida","Un incremento en la cantidad de documentos administrativos del proyecto","Quemaduras severas lesiones por la onda de presion e incendios que ponen en riesgo la vida del trabajador","Una mejora en el rendimiento del equipo tras la exposicion al arco","","","","","",""
"multiplechoice","REPE","S2 Lesion Corriente y Severidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite dimensionar el riesgo y aplicar los controles y el equipo de proteccion adecuados para prevenir lesiones graves.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Tal como indica el material del curso, por que es importante evaluar la severidad potencial de una lesion antes de realizar un trabajo electrico?","B","Porque permite determinar el precio del servicio de mantenimiento al cliente","Porque permite dimensionar el riesgo y aplicar los controles y el equipo de proteccion adecuados para prevenir lesiones graves","Porque permite establecer el color de la senalizacion del area de trabajo","Porque permite definir el horario en que el personal tomara sus descansos","","","","","",""
"multiplechoice","REPE","S3 EPP y Herramientas Aisladas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque advierte al trabajador sobre el riesgo la tension y las precauciones necesarias antes de intervenir el equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Tal como indica el material del curso, por que la etiqueta de seguridad en un equipo electrico contribuye a la prevencion de accidentes?","D","Porque indica el precio de compra del equipo y los datos del proveedor","Porque registra el numero total de equipos presentes en la instalacion","Porque informa el horario de atencion de las oficinas administrativas","Porque advierte al trabajador sobre el riesgo la tension y las precauciones necesarias antes de intervenir el equipo","","","","","",""
"multiplechoice","REPE","S4 Cinco Reglas de Oro y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el corte podria no ser efectivo o existir energia residual y la verificacion confirma que es seguro tocar los conductores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Tal como indica el material del curso, por que la verificacion de ausencia de tension no debe omitirse aunque se haya cortado la energia?","A","Porque el corte podria no ser efectivo o existir energia residual y la verificacion confirma que es seguro tocar los conductores","Porque la verificacion determina el color de la senalizacion del area","Porque la verificacion define el precio del servicio al cliente final","Porque la verificacion reduce el consumo electrico de la instalacion","","","","","",""
"multiplechoice","REPE","S5 Permisos Delimitacion y Cierre","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque puede reinyectar energia a la instalacion desde fuentes locales creando riesgo de reenergizacion aun con la red principal cortada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REPE.","1","Tal como indica el material del curso, por que la generacion distribuida constituye un caso especial que exige precauciones en trabajos electricos?","C","Porque la generacion distribuida reduce el consumo electrico de la instalacion","Porque la generacion distribuida cambia el color de los conductores electricos","Porque puede reinyectar energia a la instalacion desde fuentes locales creando riesgo de reenergizacion aun con la red principal cortada","Porque la generacion distribuida genera un ruido que advierte al trabajador","","","","","",""
