"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASGS","S1 Fundamentos del SGSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los requisitos legales y tecnicos aplicables a la seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, el sistema de gestion de seguridad y salud en el trabajo se sustenta en un marco normativo que orienta su implementacion, lo cual permite a la empresa alinear su gestion preventiva principalmente con cual referencia?","A","Los requisitos legales y tecnicos aplicables a la seguridad y salud","Los requisitos comerciales aplicables a la venta de productos","Los requisitos publicitarios aplicables a la marca corporativa","Los requisitos de la cartera de clientes de la empresa","","","","","",""
"multiplechoice","ASGS","S2 Principios y Tipos de Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una verificacion independiente del cumplimiento del sistema de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, la auditoria externa del sistema de gestion de seguridad y salud es realizada por una parte independiente de la organizacion, lo cual aporta principalmente cual valor a los resultados de la evaluacion del sistema?","C","Una verificacion independiente de los precios de los productos","Una verificacion independiente de las campanas de la marca","Una verificacion independiente del cumplimiento del sistema de gestion","Una verificacion independiente de la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S3 Planificacion y Enfoque por Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que las areas de mayor riesgo queden insuficientemente auditadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, el programa anual de auditorias debe considerar la frecuencia por riesgo para asignar las auditorias, lo cual busca principalmente evitar cual situacion que afectaria la eficacia de la vigilancia del sistema de gestion?","B","Que los productos de mayor precio queden sin vender","Que las areas de mayor riesgo queden insuficientemente auditadas","Que las campanas de mayor alcance queden sin difundir","Que los clientes de mayor compra queden sin atender","","","","","",""
"multiplechoice","ASGS","S4 Ejecucion y Evidencia de Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un entendimiento comun sobre el alcance y el desarrollo de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, la reunion de apertura resulta importante para la ejecucion de la auditoria porque establece las bases del proceso, lo cual contribuye principalmente a lograr cual condicion en la relacion entre el equipo auditor y los auditados?","D","Un entendimiento comun sobre los precios de los productos","Un entendimiento comun sobre las campanas de la marca","Un entendimiento comun sobre la cartera de clientes","Un entendimiento comun sobre el alcance y el desarrollo de la auditoria","","","","","",""
"multiplechoice","ASGS","S5 Hallazgos Informe y CAPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una comunicacion clara y accesible de los resultados de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, el resumen ejecutivo y la estructura del informe se complementan porque juntos facilitan la comprension de la direccion, lo cual contribuye principalmente a lograr cual condicion respecto de los resultados de la auditoria del sistema?","A","Una comunicacion clara y accesible de los resultados de la auditoria","Una comunicacion clara y accesible de los precios de venta","Una comunicacion clara y accesible de las campanas de la marca","Una comunicacion clara y accesible de la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S1 Fundamentos del SGSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: El cumplimiento documentado de las actividades y obligaciones preventivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Conforme al contenido del curso, los registros del sistema de gestion de seguridad y salud cumplen una funcion clave porque constituyen la evidencia que el auditor revisa para verificar principalmente cual aspecto de la gestion preventiva de la empresa?","C","El cumplimiento documentado de las ventas comerciales","El cumplimiento documentado de las campanas de la marca","El cumplimiento documentado de las actividades y obligaciones preventivas","El cumplimiento documentado de la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S2 Principios y Tipos de Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: La objetividad y la calidad tecnica de la evaluacion realizada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Conforme al contenido del curso, el equipo auditor debe conformarse con personas competentes e independientes del area evaluada, lo cual busca principalmente asegurar cual condicion en el desarrollo de la auditoria del sistema de gestion de la empresa?","B","La objetividad y la calidad tecnica de la fijacion de precios","La objetividad y la calidad tecnica de la evaluacion realizada","La objetividad y la calidad tecnica de las campanas de la marca","La objetividad y la calidad tecnica de la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S3 Planificacion y Enfoque por Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un desarrollo estructurado y enfocado en los objetivos definidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Conforme al contenido del curso, el plan individual de auditoria orienta la actuacion del auditor porque define de antemano los aspectos a evaluar, lo cual contribuye principalmente a que la auditoria del sistema logre cual caracteristica en su desarrollo?","D","Un desarrollo estructurado y enfocado en los precios","Un desarrollo estructurado y enfocado en las campanas","Un desarrollo estructurado y enfocado en los clientes","Un desarrollo estructurado y enfocado en los objetivos definidos","","","","","",""
"multiplechoice","ASGS","S4 Ejecucion y Evidencia de Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un sustento solido e imparcial de las conclusiones de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Conforme al contenido del curso, la evidencia objetiva se prefiere durante la auditoria porque no depende de opiniones personales, lo cual aporta a los hallazgos del sistema de gestion principalmente cual caracteristica valorada por la organizacion?","A","Un sustento solido e imparcial de las conclusiones de la auditoria","Un sustento solido de los precios de los productos","Un sustento solido de las campanas de la marca","Un sustento solido de la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S5 Hallazgos Informe y CAPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acciones que eliminan las causas y evitan la repeticion del problema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Conforme al contenido del curso, la metodologia de acciones correctivas y preventivas se apoya en el analisis de causa raiz porque, al identificar el origen del problema, permite a la organizacion adoptar principalmente cual tipo de accion dentro del sistema de gestion?","C","Acciones que fijan los precios de los productos","Acciones que difunden las campanas de la marca","Acciones que eliminan las causas y evitan la repeticion del problema","Acciones que amplian la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S1 Fundamentos del SGSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: La vigilancia y la participacion en el cumplimiento de la seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, el comite de seguridad y salud en el trabajo se integra al sistema de gestion como un organo de participacion cuya importancia radica principalmente en su aporte a cual dimension de la gestion preventiva de la empresa?","B","La vigilancia y la participacion en el cumplimiento de las ventas","La vigilancia y la participacion en el cumplimiento de la seguridad y salud","La vigilancia y la participacion en el cumplimiento de las campanas","La vigilancia y la participacion en la cartera de clientes","","","","","",""
"multiplechoice","ASGS","S2 Principios y Tipos de Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su confiabilidad y su utilidad para la mejora del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, los principios de la auditoria orientan la conducta del auditor a lo largo del proceso, de modo que su cumplimiento contribuye principalmente a que la auditoria del sistema de gestion logre cual caracteristica valorada por la organizacion?","D","Su confiabilidad y su utilidad para la venta de productos","Su confiabilidad y su utilidad para la difusion de la marca","Su confiabilidad y su utilidad para la cartera de clientes","Su confiabilidad y su utilidad para la mejora del sistema","","","","","",""
"multiplechoice","ASGS","S3 Planificacion y Enfoque por Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las areas con mayor probabilidad o severidad de riesgos para los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASGS.","1","Segun el material del curso, el enfoque por riesgo permite priorizar las areas y los procesos que deben auditarse, lo cual resulta clave principalmente porque dirige la vigilancia del sistema de gestion hacia cual tipo de situacion dentro de la empresa?","A","Las areas con mayor probabilidad o severidad de riesgos para los trabajadores","Las areas con mayor precio de los productos ofertados","Las areas con mayor alcance de las campanas de la marca","Las areas con mayor compra de los clientes del negocio","","","","","",""
