"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","LML","S1 Marco Legal Laboral Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar sus vacios de conocimiento y reforzar los temas debiles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Conforme al material del curso, la retroalimentacion en el proceso de aprendizaje autoadministrado resulta importante principalmente porque permite al participante lograr que beneficio en su formacion profesional?","A","Identificar sus vacios de conocimiento y reforzar los temas debiles","Evitar por completo la revision de los contenidos del curso","Aprobar sin necesidad de comprender los conceptos","Depender exclusivamente de la memoria a corto plazo","","","","","",""
"multiplechoice","LML","S2 Ley 29783 y Ley 30222","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar las causas del accidente y adoptar medidas para evitar su repeticion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Segun el material del curso, la Ley 29783 establece la obligacion de investigar los accidentes de trabajo con la finalidad principal de lograr cual objetivo dentro de la gestion preventiva de la organizacion?","C","Sancionar de inmediato al trabajador involucrado","Ocultar el evento ante la autoridad competente","Identificar las causas del accidente y adoptar medidas para evitar su repeticion","Cerrar el caso sin analisis ni acciones correctivas","","","","","",""
"multiplechoice","LML","S3 Responsabilidad Penal Empleador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una consecuencia penal que puede incluir la privacion de la libertad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Segun el material del curso, la responsabilidad penal del empleador se diferencia de la responsabilidad administrativa porque la primera puede derivar principalmente en cual tipo de consecuencia para la persona responsable?","B","Una consecuencia meramente publicitaria y voluntaria","Una consecuencia penal que puede incluir la privacion de la libertad","Una consecuencia limitada a una carta de felicitacion","Una consecuencia sin ningun efecto sobre el responsable","","","","","",""
"multiplechoice","LML","S4 Fiscalizacion SUNAFIL Sanciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: El cumplimiento efectivo de las normas de seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Segun el material del curso, la finalidad de la fiscalizacion de la SUNAFIL en seguridad y salud en el trabajo consiste principalmente en asegurar que las empresas adopten cual conducta frente a sus obligaciones legales?","D","El incumplimiento sistematico de sus obligaciones legales","La reduccion de sus inversiones en prevencion de riesgos","La eliminacion de sus comites de seguridad internos","El cumplimiento efectivo de las normas de seguridad y salud en el trabajo","","","","","",""
"multiplechoice","LML","S5 Examenes Medicos y Auditorias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La confidencialidad de la informacion medica del trabajador evaluado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Segun el material del curso, la vigilancia de la salud de los trabajadores mediante examenes medicos ocupacionales debe manejarse resguardando principalmente cual derecho del trabajador respecto de sus resultados clinicos?","A","La confidencialidad de la informacion medica del trabajador evaluado","La difusion publica de los diagnosticos entre el personal","La entrega de los resultados a los clientes de la empresa","La publicacion de los resultados en carteleras visibles","","","","","",""
"multiplechoice","LML","S1 Marco Legal Laboral Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los fundamentos normativos que rigen la seguridad y salud en el trabajo en Peru.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Segun el material del curso, la primera sesion del curso tiene como objetivo principal introducir al participante en cual aspecto central del marco legal laboral peruano relacionado con la seguridad y salud?","C","El detalle de las multas de otros paises de la region","La historia de las aseguradoras privadas nacionales","Los fundamentos normativos que rigen la seguridad y salud en el trabajo en Peru","Las tecnicas de litigio civil ajenas a la prevencion","","","","","",""
"multiplechoice","LML","S2 Ley 29783 y Ley 30222","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer controles proporcionales a los riesgos identificados en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Conforme al contenido del curso, la Ley 29783 dispone que el empleador debe realizar la identificacion de peligros y evaluacion de riesgos como paso previo necesario para poder ejecutar principalmente que accion preventiva?","B","Eliminar los registros de riesgos por confidencialidad","Establecer controles proporcionales a los riesgos identificados en el trabajo","Trasladar toda la evaluacion a la autoridad estatal","Aplazar cualquier control hasta la siguiente auditoria","","","","","",""
"multiplechoice","LML","S3 Responsabilidad Penal Empleador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estando legalmente obligado a cumplir las normas de seguridad y no cumpliendolas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Conforme al contenido del curso, para que se configure el delito previsto en el Articulo 168-A del Codigo Penal, resulta necesario que el empleador haya actuado principalmente en que condicion respecto de las normas de seguridad?","D","Sin tener ninguna obligacion legal frente a la seguridad","Habiendo cumplido todas las medidas preventivas exigidas","Actuando bajo orden expresa de la autoridad estatal","Estando legalmente obligado a cumplir las normas de seguridad y no cumpliendolas","","","","","",""
"multiplechoice","LML","S4 Fiscalizacion SUNAFIL Sanciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: La imposicion de una multa acorde con la mayor gravedad de la infraccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Conforme al contenido del curso, cuando la SUNAFIL detecta una infraccion muy grave a las normas de seguridad, la consecuencia esperada para la empresa infractora se relaciona principalmente con cual medida sancionadora?","A","La imposicion de una multa acorde con la mayor gravedad de la infraccion","La entrega de un reconocimiento por su gestion preventiva","La exoneracion de todas sus obligaciones laborales","La reduccion voluntaria de sus tributos por la falta","","","","","",""
"multiplechoice","LML","S5 Examenes Medicos y Auditorias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion de peligros, los controles aplicados y el cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LML.","1","Conforme al contenido del curso, la auditoria del sistema de gestion de seguridad y salud ocupacional evalua diversos elementos, entre los cuales se incluyen principalmente cuales aspectos de la gestion preventiva de la organizacion?","C","La estrategia de precios y la publicidad de los productos","El diseno del logotipo y los colores corporativos","La identificacion de peligros, los controles aplicados y el cumplimiento normativo","El listado de clientes y proveedores comerciales","","","","","",""
