"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SACAD","S1 Gestion de Riesgos en Maquinaria","Yes","¡Correcto! La Regulation 2023/1230 actualiza los requisitos del expediente tecnico y de la declaracion de conformidad del fabricante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","En el contexto de la seguridad de maquinaria industrial y la conformidad normativa que aborda el curso, de acuerdo con el material, que documento actualiza la EU Machinery Regulation 2023/1230 respecto a las responsabilidades del fabricante?","A","Los requisitos del expediente tecnico y de la declaracion de conformidad","El contrato colectivo de los trabajadores de la planta","El plan de marketing del producto industrial","El calendario de vacaciones del personal tecnico","","","","","",""
"multiplechoice","SACAD","S2 Peligros Mecanicos y Resguardos","Yes","¡Correcto! El resguardo fijo permanece en posicion de manera permanente, mientras el movil puede abrirse y suele requerir enclavamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","De acuerdo con el curso, cual es la diferencia clave entre un resguardo fijo y uno movil segun ISO 14120:2015?","C","El resguardo fijo es electronico y el movil es mecanico","El resguardo fijo se usa solo en robots y el movil solo en prensas","El resguardo fijo se mantiene en su posicion de forma permanente mientras el movil puede abrirse","El resguardo fijo no requiere fijacion alguna a la estructura","","","","","",""
"multiplechoice","SACAD","S3 Seguridad Electrica de Maquinas","Yes","¡Correcto! La parada de categoria 1 realiza una detencion controlada y despues suprime la energia, a diferencia del corte inmediato de la categoria 0.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","De acuerdo con el curso, en que se diferencia la parada de categoria 1 respecto a la categoria 0 en IEC 60204-1:2016?","B","La categoria 1 nunca corta la energia de la maquina","La categoria 1 detiene la maquina de forma controlada y luego suprime la energia","La categoria 1 solo aplica a instalaciones domesticas","La categoria 1 aumenta la energia hacia los accionadores","","","","","",""
"multiplechoice","SACAD","S4 Robotica Colaborativa ISO 15066","Yes","¡Correcto! El modo de monitoreo de velocidad y separacion mantiene una distancia protectora ajustando la velocidad del robot respecto a la persona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","De acuerdo con el curso, que modo colaborativo de ISO/TS 15066 mantiene una distancia entre el robot y la persona ajustando la velocidad?","D","La limitacion de potencia y fuerza","La parada de seguridad monitoreada","La guia manual del robot","El monitoreo de velocidad y separacion","","","","","",""
"multiplechoice","SACAD","S5 Performance Level y Validacion","Yes","¡Correcto! El diseno multicapa se apoya en capas de defensa en profundidad, con justificacion normativa y analisis de las interdependencias entre capas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","En el contexto de la seguridad de maquinaria industrial y la conformidad normativa que aborda el curso, de acuerdo con el curso, en que se basa el diseno de sistemas de seguridad multicapa?","A","En capas de defensa en profundidad con justificacion normativa y analisis de interdependencias","En una unica barrera fisica sin respaldo adicional","En eliminar toda funcion de seguridad para reducir costos","En depender solo de la formacion del operario","","","","","",""
"multiplechoice","SACAD","S1 Gestion de Riesgos en Maquinaria","Yes","¡Correcto! El curso referencia ANSI B11.0:2023 como estandar de apoyo para las medidas de seguridad y el expediente tecnico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","Segun el curso, que estandar se referencia como norma de apoyo para elaborar medidas de seguridad y el expediente tecnico junto a ISO 12100?","C","ISO 9001 como norma de gestion de calidad","IEC 60529 sobre grados de proteccion IP","ANSI B11.0:2023 como estandar general de seguridad de maquinaria","NFPA 79 sobre instalaciones electricas","","","","","",""
"multiplechoice","SACAD","S2 Peligros Mecanicos y Resguardos","Yes","¡Correcto! El protocolo de validacion busca verificar y documentar, mediante inspeccion y evidencias, que las medidas de proteccion cumplen su funcion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","En el contexto de la seguridad de maquinaria industrial y la conformidad normativa que aborda el curso, segun el material, cual es el proposito de un protocolo de validacion de medidas de proteccion mecanica?","B","Aumentar la velocidad de la linea sin controles adicionales","Verificar y documentar que las medidas cumplen su funcion mediante inspeccion y evidencias","Sustituir la evaluacion de riesgos por una inspeccion visual","Reducir el numero de resguardos instalados en la maquina","","","","","",""
"multiplechoice","SACAD","S3 Seguridad Electrica de Maquinas","Yes","¡Correcto! La coordinacion busca que ante una falla actue de forma selectiva el dispositivo de proteccion adecuado, limitando el alcance del corte.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","En el contexto de la seguridad de maquinaria industrial y la conformidad normativa que aborda el curso, segun el material, que finalidad tiene coordinar los dispositivos de proteccion electrica de una maquina?","D","Incrementar el consumo energetico del sistema","Eliminar la necesidad de puesta a tierra","Reducir el numero de esquemas electricos requeridos","Asegurar que el dispositivo adecuado actue de forma selectiva ante una falla","","","","","",""
"multiplechoice","SACAD","S4 Robotica Colaborativa ISO 15066","Yes","¡Correcto! En la guia manual, el operador conduce el robot directamente mediante un dispositivo de guiado bajo condiciones de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","En el contexto de la seguridad de maquinaria industrial y la conformidad normativa que aborda el curso, segun el material, en que consiste el modo colaborativo de guia manual segun ISO/TS 15066?","A","El operador conduce directamente el robot mediante un dispositivo de guiado","El robot funciona a maxima velocidad sin supervision","El robot queda desconectado de la alimentacion","El operador solo observa el robot desde una sala remota","","","","","",""
"multiplechoice","SACAD","S5 Performance Level y Validacion","Yes","¡Correcto! El curso aplica el FMEA conforme a IEC 60812:2018 para analizar los modos de falla y sus efectos en los sistemas de control de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SACAD.","1","Segun el material, que metodologia de analisis de fallos se aplica a los sistemas de control de seguridad conforme a IEC 60812:2018?","C","El calculo del grado de proteccion IP","La medicion del consumo electrico","El FMEA o analisis de modos de falla y efectos","El diseno grafico de la senalizacion","","","","","",""
