"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ICM","S1 Normativa ASME B30 y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La evaluacion define los controles y cada rol los aplica de forma coordinada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Como debe integrarse la evaluacion de riesgos exigida por OSHA 1926 Subparte CC con la asignacion de roles como operador y senalero para garantizar una operacion de izaje coordinada y segura segun el contenido tecnico del programa formativo","A","La evaluacion define los controles y cada rol los aplica de forma coordinada","La evaluacion define el color de los uniformes","La evaluacion fija el precio del servicio","Los roles no intervienen en la seguridad del izaje","","","","","",""
"multiplechoice","ICM","S2 Inspeccion de Gruas y Eslingas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque superar la carga limite puede provocar la rotura de la eslinga y la caida de la carga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Por que es indispensable no superar la carga de trabajo limite indicada en una eslinga al utilizarla en una maniobra de levantamiento de cargas dentro de una operacion de izaje segun el contenido tecnico del programa formativo","C","Porque superar la carga limite acelera la maniobra","Porque la carga limite solo aplica a cargas livianas","Porque superar la carga limite puede provocar la rotura de la eslinga y la caida de la carga","Porque la carga limite cambia con el color","","","","","",""
"multiplechoice","ICM","S3 Fisica del Izaje y Momentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La carga se inclina o rota y pierde estabilidad durante el izaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Que consecuencia tiene sobre la estabilidad de una carga aplicar la fuerza de izaje desplazada del centro de gravedad al comenzar el levantamiento dentro de una operacion de izaje de cargas segun el contenido tecnico del programa formativo","B","La carga se estabiliza automaticamente al elevarse","La carga se inclina o rota y pierde estabilidad durante el izaje","La carga reduce su peso al perder alineacion","La carga cambia de color al inclinarse","","","","","",""
"multiplechoice","ICM","S4 Planes de Izaje por Niveles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite exigir mas analisis y documentacion a medida que aumenta la complejidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Como contribuye el sistema de niveles de plan de izaje a asignar controles proporcionales al riesgo de cada maniobra de levantamiento de cargas dentro de una obra donde intervienen gruas segun el contenido tecnico del programa formativo","D","Permite usar siempre el mismo control sin importar el riesgo","Define el color de la carga segun el nivel","Fija el precio del servicio segun el nivel","Permite exigir mas analisis y documentacion a medida que aumenta la complejidad","","","","","",""
"multiplechoice","ICM","S5 Entorno Viento y Comunicacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Midiendo la velocidad del viento y comparandola con los limites seguros del equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Como debe evaluarse el impacto del viento en un proyecto de izaje de cargas realizado en un entorno abierto antes de autorizar la maniobra de levantamiento con grua segun el contenido tecnico del programa formativo","A","Midiendo la velocidad del viento y comparandola con los limites seguros del equipo","Ignorando el viento porque no afecta la maniobra","Definiendo el color de la carga segun el viento","Aumentando el peso de la carga para estabilizarla","","","","","",""
"multiplechoice","ICM","S1 Normativa ASME B30 y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Confirmar que la grua fue inspeccionada y esta apta para operar de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Que aspecto de la responsabilidad del operador de grua bajo la norma ASME B30 se relaciona con la verificacion del estado del equipo antes de iniciar cualquier maniobra de levantamiento de cargas segun el contenido tecnico del programa formativo","C","Confirmar que la grua tenga el color reglamentario","Confirmar el precio del alquiler de la grua","Confirmar que la grua fue inspeccionada y esta apta para operar de forma segura","Confirmar el horario de descanso del personal","","","","","",""
"multiplechoice","ICM","S2 Inspeccion de Gruas y Eslingas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su alta resistencia mecanica la hace adecuada para cargas pesadas y condiciones severas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Que ventaja ofrece la eslinga de cadena frente a otros tipos de eslinga cuando se deben levantar cargas pesadas en condiciones exigentes o con presencia de bordes rigidos durante una operacion de izaje segun el contenido tecnico del programa formativo","B","Su bajo costo la hace ideal para cargas livianas","Su alta resistencia mecanica la hace adecuada para cargas pesadas y condiciones severas","Su color vivo mejora la seguridad de la maniobra","Su poco peso elimina la necesidad de inspeccion","","","","","",""
"multiplechoice","ICM","S3 Fisica del Izaje y Momentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque a menor angulo cada pierna debe soportar una mayor fuerza de tension.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Por que un angulo de eslinga mas cerrado respecto a la horizontal incrementa la tension que soporta cada pierna del sistema durante una maniobra de levantamiento de cargas dentro de una operacion de izaje segun el contenido tecnico del programa formativo","D","Porque a menor angulo la tension por pierna baja","Porque el angulo no influye en la tension","Porque el peso de la carga desaparece al inclinar","Porque a menor angulo cada pierna debe soportar una mayor fuerza de tension","","","","","",""
"multiplechoice","ICM","S4 Planes de Izaje por Niveles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Refuerza el analisis de riesgos y los controles para ejecutar la maniobra con seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Que beneficio aporta elaborar un plan de izaje del nivel mas exigente cuando la maniobra involucra cargas de gran magnitud o condiciones de alto riesgo dentro de una operacion de levantamiento segun el contenido tecnico del programa formativo","A","Refuerza el analisis de riesgos y los controles para ejecutar la maniobra con seguridad","Reduce los controles porque la carga es grande","Autoriza la maniobra sin evaluar los riesgos","Prescinde de la asignacion de roles de izaje","","","","","",""
"multiplechoice","ICM","S5 Entorno Viento y Comunicacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permiten orientar y estabilizar la carga sin que el personal la toque directamente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Que funcion cumplen los tag lines al permitir que el personal en tierra controle el giro y el balanceo de una carga suspendida durante una maniobra de levantamiento en una operacion de izaje segun el contenido tecnico del programa formativo","C","Permiten aumentar la capacidad de la grua","Permiten medir el peso exacto de la carga","Permiten orientar y estabilizar la carga sin que el personal la toque directamente","Permiten definir el color de la carga suspendida","","","","","",""
"multiplechoice","ICM","S1 Normativa ASME B30 y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la planificacion previa permite prever riesgos y evitar decisiones inseguras en el momento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Por que la norma OSHA 1926 Subparte CC exige que la planificacion del izaje se realice antes de la maniobra y no de manera improvisada durante la operacion de levantamiento de cargas con grua segun el contenido tecnico del programa formativo","B","Porque la planificacion define el color de la grua","Porque la planificacion previa permite prever riesgos y evitar decisiones inseguras en el momento","Porque la planificacion fija el precio del servicio","Porque la planificacion regula el horario de trabajo","","","","","",""
"multiplechoice","ICM","S2 Inspeccion de Gruas y Eslingas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Retirar el gancho de servicio y no utilizarlo en la maniobra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Como debe procederse cuando durante la inspeccion previa de un gancho de izaje se detecta apertura de la garganta o deformacion visible antes de emplearlo en una maniobra de levantamiento de cargas segun el contenido tecnico del programa formativo","D","Usarlo igual si la carga es de poco peso","Reforzarlo con cinta y continuar la maniobra","Ignorar el defecto si el gancho es nuevo","Retirar el gancho de servicio y no utilizarlo en la maniobra","","","","","",""
"multiplechoice","ICM","S3 Fisica del Izaje y Momentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite entender como la fuerza y la distancia afectan el equilibrio del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICM.","1","Que utilidad tiene comprender el concepto de momento al analizar la estabilidad de una grua y de su carga durante una maniobra de levantamiento dentro de una operacion de izaje de cargas segun el contenido tecnico del programa formativo","A","Permite entender como la fuerza y la distancia afectan el equilibrio del sistema","Permite definir el color de la grua utilizada","Permite fijar el precio del servicio de izaje","Permite prescindir del calculo del peso","","","","","",""
