"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PSMO","S1 Origen PSM y Marco OSHA 1910119","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitacion o entrenamiento del personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","Dentro de los elementos que conforman el PSM, el material del curso incluye uno referido a asegurar que el personal reciba instruccion adecuada sobre los procesos. Ese elemento del PSM corresponde a:","A","Capacitacion o entrenamiento del personal","Publicidad institucional de la empresa","Fijacion de metas comerciales anuales","Seleccion de proveedores de insumos","","","","","",""
"multiplechoice","PSMO","S2 PSI y Analisis PHA de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Toxicidad, inflamabilidad, reactividad y condiciones del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso enumera las areas obligatorias que debe cubrir un analisis PHA segun OSHA. Entre esas areas, la primera descrita se refiere a los peligros inherentes al proceso e incluye caracteristicas como:","C","Costos de operacion y margen de utilidad","Numero de empleados y su antiguedad","Toxicidad, inflamabilidad, reactividad y condiciones del proceso","Ubicacion de las oficinas administrativas","","","","","",""
"multiplechoice","PSMO","S3 Procedimientos SOP y Contratistas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las desviaciones respecto a las condiciones normales de operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso describe la estructura de un procedimiento operativo estandarizado. De acuerdo con el material, ademas de las instrucciones paso a paso, un SOP completo debe contemplar la respuesta ante:","B","Las variaciones del precio de las materias primas","Las desviaciones respecto a las condiciones normales de operacion","Los cambios en la demanda comercial del producto","Las modificaciones en la campana publicitaria","","","","","",""
"multiplechoice","PSMO","S4 Integridad Mecanica y MOC","Yes","¡Correcto! Segun el material del curso, lo correcto es: El aislamiento retiene humedad y favorece la corrosion oculta del metal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso menciona la corrosion bajo aislamiento identificada por sus siglas CUI. De acuerdo con el material, este mecanismo de dano es relevante porque afecta a equipos y tuberias en zonas donde:","D","El equipo alcanza mayor valor de reventa","La produccion se incrementa sin riesgo alguno","La campana publicitaria resulta mas efectiva","El aislamiento retiene humedad y favorece la corrosion oculta del metal","","","","","",""
"multiplechoice","PSMO","S5 Incidentes Auditorias y RBPS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un nivel de esfuerzo de gestion proporcional a su nivel de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso presenta el marco de seguridad de procesos basada en riesgo publicado por el CCPS. De acuerdo con el material, este marco conocido como RBPS reconoce que diferentes procesos requieren:","A","Un nivel de esfuerzo de gestion proporcional a su nivel de riesgo","El mismo tratamiento sin importar su peligrosidad","La eliminacion de todos los controles de seguridad","Una campana publicitaria personalizada","","","","","",""
"multiplechoice","PSMO","S1 Origen PSM y Marco OSHA 1910119","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el grado de cumplimiento de los elementos del PSM.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso senala que las auditorias forman parte del sistema PSM. Respecto a su funcion dentro de este marco de gestion de seguridad de procesos, la finalidad principal de las auditorias es:","C","Incrementar las ventas del periodo fiscal","Contratar nuevo personal administrativo","Evaluar el grado de cumplimiento de los elementos del PSM","Disenar la campana de mercadeo anual","","","","","",""
"multiplechoice","PSMO","S2 PSI y Analisis PHA de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Experiencia en el proceso especifico que se esta analizando.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","En cuanto a la conformacion del equipo de PHA, el material del curso establece requisitos de experiencia. De acuerdo con el material, el equipo debe integrarse con al menos una persona que posea:","B","Formacion exclusiva en mercadeo digital","Experiencia en el proceso especifico que se esta analizando","Titulo en administracion financiera unicamente","Ninguna experiencia previa para evitar sesgos","","","","","",""
"multiplechoice","PSMO","S3 Procedimientos SOP y Contratistas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Informar a los contratistas sobre los peligros del proceso en el area de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso distingue las obligaciones del titular de la instalacion frente a las del contratista. De acuerdo con el material, entre las obligaciones del titular se encuentra:","D","Asumir personalmente todas las tareas del contratista","Ocultar los riesgos para agilizar el trabajo","Prohibir cualquier capacitacion al contratista","Informar a los contratistas sobre los peligros del proceso en el area de trabajo","","","","","",""
"multiplechoice","PSMO","S4 Integridad Mecanica y MOC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cambios incrementales sin un proceso formal de gestion del cambio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso presenta el caso BP Texas City como ejemplo de gestion del cambio deficiente. De acuerdo con el material, la unidad involucrada habia acumulado durante anos:","A","Cambios incrementales sin un proceso formal de gestion del cambio","Inversiones excesivas en inspeccion preventiva","Personal de seguridad en exceso para la operacion","Auditorias externas demasiado frecuentes","","","","","",""
"multiplechoice","PSMO","S5 Incidentes Auditorias y RBPS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Veinte elementos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSMO.","1","El material del curso enumera los elementos que componen el marco de seguridad de procesos basada en riesgo del CCPS. De acuerdo con el material, el numero total de elementos que estructuran el RBPS es:","C","Cinco elementos","Catorce elementos","Veinte elementos","Cuarenta elementos","","","","","",""
