"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Separar los productos quimicos segun su compatibilidad y propiedades de peligro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","En el marco del curso Almacenamiento Seguro y Matriz de Incompatibilidades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principio fundamental del almacenamiento seguro de productos quimicos?","A","Separar los productos quimicos segun su compatibilidad y propiedades de peligro.","Almacenar todos los productos quimicos juntos para maximizar el espacio.","No requerir senializacion adecuada ya que todo el mundo debe conocer los productos quimicos.","Utilizar solo estanterias metalicas sin considerar la naturaleza de los productos.","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Llevar un registro actualizado y clasificado de acuerdo a las normas relevantes de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Segun los contenidos desarrollados en el curso Almacenamiento Seguro y Matriz de Incompatibilidades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Al realizar el inventario de productos quimicos, cual de las siguientes practicas es mas efectiva?","C","Especialmente almacenar cada producto sin etiquetado, es decir, una vez que se utilizan.","Realizar el inventario una vez al anio sin reglamentacion alguna.","Llevar un registro actualizado y clasificado de acuerdo a las normas relevantes de seguridad.","Mantener el inventario verbalmente entre el personal de bodega.","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Almacenar productos quimicos que representan un riesgo similar juntos, mientras que se separan de aquellos que son incompatibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Con base en el material del curso Almacenamiento Seguro y Matriz de Incompatibilidades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que significa la segregacion por peligro en el almacenamiento de productos quimicos?","B","Mezclar diferentes productos quimicos en un mismo contenedor para ahorrar espacio.","Almacenar productos quimicos que representan un riesgo similar juntos, mientras que se separan de aquellos que son incompatibles.","Colocar todos los productos en estantes estandarizados sin revision de compatibilidad.","Que todos los productos quimicos sean etiquetados sin ninguna consideracion adicional.","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar capacitacion y educacion al personal sobre manejo de sustancias peligrosas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Tomando en cuenta lo estudiado en el curso Almacenamiento Seguro y Matriz de Incompatibilidades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es un control complementario importante para asegurar el almacenamiento adecuado de sustancias peligrosas?","D","Almacenar solo productos quimicos fuera de las instalaciones para evitar riesgos.","Solo utilizar equipo de proteccion personal sin otros controles.","Ignorar la ventilacion en areas de almacenamiento.","Proporcionar capacitacion y educacion al personal sobre manejo de sustancias peligrosas.","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilita la identificacion rapida y el manejo seguro en caso de emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","De acuerdo con los fundamentos presentados en el curso Almacenamiento Seguro y Matriz de Incompatibilidades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Por que es vital etiquetar correctamente los productos quimicos almacenados?","B","Se utiliza solo para fines esteticos y no tiene importancia.","Facilita la identificacion rapida y el manejo seguro en caso de emergencias.","No es relevante, ya que todos saben lo que han almacenado.","Las etiquetas son opcionales si el area de almacenamiento esta cerrada.","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Peroxido de hidrogeno y alcohol.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Segun el material del curso Almacenamiento Seguro y Matriz de Incompatibilidades, responde con precision: Cual de las siguientes combinaciones de sustancias quimicas NO es considerada segura segun la matriz de incompatibilidades?","D","Acetona y eter","Soda caustica y agua","Acido clorhidrico y amoniaco","Peroxido de hidrogeno y alcohol","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reacciones toxicas y explosiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","En el marco del curso Almacenamiento Seguro y Matriz de Incompatibilidades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que consecuencia puede surgir al mezclar productos quimicos de familias incompatibles?","A","Reacciones toxicas y explosiones","Incremento de temperatura sin reaccion","Neutralizacion de sustancias peligrosas","Aumento en la eficacia del producto","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incompatibilidad severa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Segun los contenidos desarrollados en el curso Almacenamiento Seguro y Matriz de Incompatibilidades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cuando revisamos la matriz de incompatibilidades, que indica un color rojo?","C","Reaccion leve","Precaucion recomendada","Incompatibilidad severa","Compatibilidad alta","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disenio por familia de productos para facilitar la gestion del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Con base en el material del curso Almacenamiento Seguro y Matriz de Incompatibilidades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual de los siguientes aspectos es fundamental en la contencion secundaria de sustancias quimicas?","C","Incrementar la capacidad de carga de las estanterias.","Uso de materiales no contaminantes para el embalaje.","Disenio por familia de productos para facilitar la gestion del riesgo.","Minimizar el numero de compartimentos en un area de almacenamiento.","","","","","",""
"multiplechoice","ASMI","C1 Principios de Almacenamiento Seguro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Separar los diferentes tipos de sustancias evitando reacciones peligrosas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASMI.","1","Tomando en cuenta lo estudiado en el curso Almacenamiento Seguro y Matriz de Incompatibilidades sobre este tema especifico y las buenas practicas descritas en el material, responde: La zonificacion de un almacen quimico busca principalmente:","A","Separar los diferentes tipos de sustancias evitando reacciones peligrosas.","Disminuir el tiempo de carga y descarga de camiones.","Aumentar el espacio disponible para la conservacion de productos.","Facilitar el acceso a los productos mas demandados.","","","","","",""
