"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar habilidades para la gestion de riesgos y mejorar la seguridad laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","En el marco del curso Programa Profesional en Seguridad Industrial - Chile, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo del programa en el ambito de la seguridad industrial en Chile?","A","Desarrollar habilidades para la gestion de riesgos y mejorar la seguridad laboral.","Cumplir con la normativa internacional de medio ambiente sin aplicar a la seguridad.","Formar equipos para la supervision de maquinaria pesada sin foco en la seguridad.","Incrementar la productividad a traves de la automatizacion.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Profesionales de areas relacionadas con la seguridad industrial, supervisores y auditores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Industrial - Chile, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que perfil de participante esta mas alineado con los objetivos del programa?","C","Trabajadores de oficina sin formacion tecnica en seguridad.","Estudiantes de secundaria interesados en tecnologia.","Profesionales de areas relacionadas con la seguridad industrial, supervisores y auditores.","Expertos en mercadeo sin experiencia en HSE/SST.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incorporando las regulaciones y desafios especificos del contexto laboral chileno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Con base en el material del curso Programa Profesional en Seguridad Industrial - Chile y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Como se aplica el enfoque del programa a la realidad chilena?","B","Estableciendo estandares unificados sin opcion de personalizacion.","Incorporando las regulaciones y desafios especificos del contexto laboral chileno.","Prioritizando la reduccion de costos sin adecuar a las condiciones nacionales.","Ignorando las normativas locales para adaptarse a tendencias globales.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Deben ser especificos y medibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Segun el material del curso Programa Profesional en Seguridad Industrial - Chile, responde con precision: Cual es una caracteristica esencial de los resultados de aprendizaje en un programa de capacitacion en seguridad industrial?","D","Deben ser vagos para poder adaptarse a diferentes contextos.","Deben enfocarse unicamente en el conocimiento teorico.","Deben ser generales para abarcar todo tipo de situaciones.","Deben ser especificos y medibles.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aplicando una combinacion de pruebas teoricas y simulaciones practicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","De acuerdo con los fundamentos presentados en el curso Programa Profesional en Seguridad Industrial - Chile, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Como se puede evaluar efectivamente un resultado de aprendizaje en el ambito profesional?","B","Enfocandose solamente en la asistencia a las clases.","Aplicando una combinacion de pruebas teoricas y simulaciones practicas.","Realizando encuestas sobre la satisfaccion del participante.","Utilizando examenes teoricos sin aplicacion practica.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los resultados de aprendizaje deben alinearse con los estandares de la industria y aplicarse en la practica cotidiana.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Segun el material del curso Programa Profesional en Seguridad Industrial - Chile, responde con precision: Cual de los siguientes enunciados describe mejor la aplicacion de los resultados de aprendizaje en el ambiente laboral de HSE/SST?","D","Los resultados de aprendizaje deben ser ambiguos para permitir diversas interpretaciones.","Los resultados de aprendizaje son unicamente para medir el rendimiento academico.","Los resultados de aprendizaje no estan relacionados con la evaluacion del desempenio en el trabajo.","Los resultados de aprendizaje deben alinearse con los estandares de la industria y aplicarse en la practica cotidiana.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar un aprendizaje autonomo y adaptado a las necesidades del estudiante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","En el marco del curso Programa Profesional en Seguridad Industrial - Chile, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo de la metodologia autoadministrada en este curso?","A","Facilitar un aprendizaje autonomo y adaptado a las necesidades del estudiante.","Garantizar que todos los estudiantes asistan a sesiones presenciales.","Proveer materiales estandarizados sin considerar la diversidad de los estudiantes.","Acelerar el proceso de aprendizaje para obtener resultados inmediatos.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Organiza el contenido de manera que facilita el seguimiento y la comprension progresiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Industrial - Chile, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que papel juega la logica de navegacion en la experiencia de aprendizaje del curso?","C","Su funcion es limitar el acceso a ciertos modulos de aprendizaje.","Permite a los estudiantes avanzar sin direccion, explorando contenido sin restricciones.","Organiza el contenido de manera que facilita el seguimiento y la comprension progresiva.","Se centra exclusivamente en la presentacion visual del contenido.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los estudiantes pueden interactuar con el contenido a traves de diversas herramientas y actividades que refuerzan su aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Segun el material del curso Programa Profesional en Seguridad Industrial - Chile, responde con precision: Cual de las siguientes afirmaciones describe mejor la interaccion entre el estudiante y el contenido del curso?","C","La interaccion es solo a traves de examenes y calificaciones finales.","Los estudiantes deben leer todo el material sin ninguna interrupcion.","Los estudiantes pueden interactuar con el contenido a traves de diversas herramientas y actividades que refuerzan su aprendizaje.","El contenido esta diseniado para ser consumido de forma pasiva sin participacion activa.","","","","","",""
"multiplechoice","PSI","C1 Fundamentos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Orientar a los participantes acerca de las competencias necesarias en el ambito HSE/SST.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSI.","1","Tomando en cuenta lo estudiado en el curso Programa Profesional en Seguridad Industrial - Chile sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el objetivo principal del mapa del programa en la capacitacion sobre seguridad industrial?","A","Orientar a los participantes acerca de las competencias necesarias en el ambito HSE/SST.","Establecer unicamente un cronograma de actividades.","Utilizar un lenguaje tecnico sin conexion con la practica.","Describir los bloques tematicos de manera superficial.","","","","","",""
