"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PSSI","S1 Fundamentos SST y Resultados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar habilidades criticas y tecnicas en materia de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","El curso de seguridad industrial persigue un proposito formativo central. Cual es el proposito principal de este curso en seguridad industrial segun lo indicado en el material del curso para los participantes?","A","Desarrollar habilidades criticas y tecnicas en materia de seguridad","Sustituir las auditorias legales obligatorias","Certificar solo el manejo de maquinaria pesada","Reemplazar la contratacion de personal tecnico","","","","","",""
"multiplechoice","PSSI","S2 Peligro Riesgo y Controles SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: El peligro es la fuente de dano y el riesgo es la probabilidad de que ese dano ocurra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","Los conceptos de peligro y riesgo se distinguen en el ambito laboral. Cual es la principal diferencia entre peligro y riesgo en un ambiente laboral segun lo indicado en el material del curso de SST?","C","El peligro y el riesgo son sinonimos exactos","El riesgo es la fuente y el peligro la probabilidad","El peligro es la fuente de dano y el riesgo es la probabilidad de que ese dano ocurra","El peligro solo existe si ya ocurrio un accidente","","","","","",""
"multiplechoice","PSSI","S3 Peligros Especificos y Energia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las maquinas sin resguardos adecuados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","Los peligros mecanicos son frecuentes en los entornos industriales. Cual de los siguientes es un peligro mecanico que puede encontrarse en un puesto de trabajo segun lo indicado en el material del curso de SST?","B","La exposicion a un gas toxico inhalable","Las maquinas sin resguardos adecuados","El estres por exceso de carga laboral","El contagio por un microorganismo","","","","","",""
"multiplechoice","PSSI","S4 Matriz LOTO y Permiso Trabajo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y evaluar los riesgos potenciales en un entorno de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","La matriz de riesgo es una herramienta clave en la gestion de la seguridad. Cual es el proposito principal de una matriz de riesgo en la gestion de la seguridad segun lo indicado en el material del curso de SST?","D","Registrar las ventas mensuales de la empresa","Disenar la publicidad del negocio","Administrar el inventario comercial","Identificar y evaluar los riesgos potenciales en un entorno de trabajo","","","","","",""
"multiplechoice","PSSI","S5 Accidentes Causas y Correctivas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un evento no deseado que causa dano o lesion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","El concepto de accidente tiene una definicion precisa en seguridad laboral. Cual afirmacion describe mejor un accidente en el entorno de trabajo segun lo indicado en el material del curso de SST?","A","Un evento no deseado que causa dano o lesion","Una tarea rutinaria planificada del puesto","Una mejora en las condiciones del trabajo","Un procedimiento administrativo de la empresa","","","","","",""
"multiplechoice","PSSI","S1 Fundamentos SST y Resultados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una modalidad autoadministrada y flexible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","La modalidad del curso define como avanza el participante en su aprendizaje. Que modalidad seguira el curso de seguridad industrial segun lo indicado en el material del curso para el estudiante?","C","Una modalidad presencial con horario rigido","Una modalidad basada solo en un examen unico","Una modalidad autoadministrada y flexible","Una modalidad sin ningun material de apoyo","","","","","",""
"multiplechoice","PSSI","S2 Peligro Riesgo y Controles SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: La eliminacion del peligro en su origen.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","La jerarquia de controles ordena las medidas segun su eficacia. Cual es la medida mas efectiva para mitigar un riesgo segun la jerarquia de controles indicada en el material del curso de SST?","B","La entrega de equipo de proteccion personal","La eliminacion del peligro en su origen","La colocacion de senalizacion de advertencia","La publicacion de un procedimiento administrativo","","","","","",""
"multiplechoice","PSSI","S3 Peligros Especificos y Energia","Yes","¡Correcto! Segun el material del curso, lo correcto es: El mal estado del aislamiento de los cables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","Los peligros electricos representan un riesgo importante en el trabajo. Que situacion corresponde a un peligro electrico segun lo indicado en el material del curso de seguridad y salud en el trabajo?","D","La postura forzada durante la tarea","El ruido continuo de un compresor","La manipulacion de cargas pesadas","El mal estado del aislamiento de los cables","","","","","",""
"multiplechoice","PSSI","S4 Matriz LOTO y Permiso Trabajo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La probabilidad y la severidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","La valoracion del riesgo se apoya en dos componentes principales. Cuales son los dos componentes principales para valorar un riesgo segun el estandar indicado en el material del curso de SST?","A","La probabilidad y la severidad","El precio y la marca del equipo","El color y el tamano del area","La publicidad y las ventas","","","","","",""
"multiplechoice","PSSI","S5 Accidentes Causas y Correctivas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las condiciones y actos que existian en el momento del accidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSSI.","1","Las causas inmediatas son un elemento del analisis de incidentes. Que son las causas inmediatas en un incidente de trabajo segun lo indicado en el material del curso de seguridad y salud en el trabajo?","C","Los factores subyacentes de la organizacion","Las ventas mensuales de la empresa","Las condiciones y actos que existian en el momento del accidente","Las normas legales del sector","","","","","",""
