"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","INTER","S1 Fundamentos del SGA e ISO 14001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejorar el desempeno ambiental de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","Segun el material del curso, cual es uno de los principales objetivos que persigue la implementacion de un Sistema de Gestion Ambiental, conocido como SGA, dentro de una organizacion responsable?","A","Mejorar el desempeno ambiental de la organizacion","Aumentar unicamente las ganancias financieras","Eliminar la necesidad de cumplir la ley","Reducir la produccion de la organizacion","","","","","",""
"multiplechoice","INTER","S2 Contexto y Partes Interesadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: El mapeo de las influencias y relaciones de los distintos actores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","Segun el material del curso, cual de los siguientes elementos resulta crucial para identificar correctamente a las partes interesadas dentro de un proyecto ambiental gestionado por la organizacion?","C","El estado financiero de la organizacion","El catalogo de productos de la empresa","El mapeo de las influencias y relaciones de los distintos actores","El organigrama de recursos humanos","","","","","",""
"multiplechoice","INTER","S3 Liderazgo y Politica Ambiental","Yes","¡Correcto! Segun el material del curso, lo correcto es: La habilidad para inspirar y motivar a su equipo hacia objetivos sostenibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","Segun el material del curso, cual de las siguientes caracteristicas resulta fundamental para un lider en la gestion ambiental dentro de una organizacion comprometida con la sostenibilidad y la mejora continua?","B","La tendencia a ignorar las opiniones del equipo","La habilidad para inspirar y motivar a su equipo hacia objetivos sostenibles","La resistencia a los cambios organizacionales","La concentracion de todas las decisiones sin dialogo","","","","","",""
"multiplechoice","INTER","S4 Planificacion y Aspectos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Minimizar el uso de recursos naturales y generar menos residuos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","Segun el material del curso, cual es un objetivo ambiental fundamental que una organizacion debe plantearse para asegurar la sostenibilidad de sus proyectos industriales dentro de la gestion ambiental?","D","Aumentar el consumo de recursos naturales","Incrementar la generacion de residuos","Reducir el cumplimiento de la ley ambiental","Minimizar el uso de recursos naturales y generar menos residuos","","","","","",""
"multiplechoice","INTER","S5 Operacion Evaluacion y Mejora","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar el cumplimiento de los requisitos legales y ambientales en las operaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","Segun el material del curso, cual es el principal objetivo del control operacional dentro de un sistema de gestion ambiental basado en la norma ISO 14001 de una organizacion comprometida con el medio ambiente?","A","Asegurar el cumplimiento de los requisitos legales y ambientales en las operaciones","Aumentar la produccion sin controles","Eliminar la evaluacion de aspectos ambientales","Reducir la documentacion del sistema","","","","","",""
"multiplechoice","INTER","S1 Fundamentos del SGA e ISO 14001","Yes","¡Correcto! Segun el material del curso, lo correcto es: La norma ISO 14001.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","De acuerdo con el material del curso, que norma internacional se utiliza comunmente como referencia principal para la implementacion de los sistemas de gestion ambiental dentro de las organizaciones?","C","La norma ISO 9001 de calidad","La norma ISO 45001 de seguridad","La norma ISO 14001","La norma ISO 27001 de informacion","","","","","",""
"multiplechoice","INTER","S2 Contexto y Partes Interesadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La extension geografica y temporal del estudio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","De acuerdo con el material del curso, que significa el termino alcance dentro de un analisis de impacto ambiental realizado como parte de la planificacion de un proyecto de la organizacion?","B","El presupuesto disponible para el proyecto","La extension geografica y temporal del estudio","El numero de empleados asignados","La marca comercial del producto evaluado","","","","","",""
"multiplechoice","INTER","S3 Liderazgo y Politica Ambiental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumenta la confianza y el compromiso de los empleados con la sostenibilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","De acuerdo con el material del curso, que papel juega la transparencia en la comunicacion de las politicas ambientales dentro de una organizacion que gestiona sus impactos de manera responsable?","D","Disminuye la confianza del personal","Reduce el compromiso con la sostenibilidad","Aumenta la resistencia al cumplimiento","Aumenta la confianza y el compromiso de los empleados con la sostenibilidad","","","","","",""
"multiplechoice","INTER","S4 Planificacion y Aspectos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar las expectativas de los interesados y su impacto en la aceptacion del proyecto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","De acuerdo con el material del curso, cual de los siguientes aspectos resulta crucial para identificar riesgos dentro de un proyecto ambiental durante la etapa de planificacion del sistema de gestion?","A","Determinar las expectativas de los interesados y su impacto en la aceptacion del proyecto","Ignorar por completo a las partes interesadas","Aumentar los impactos sin evaluarlos","Eliminar la evaluacion de los aspectos","","","","","",""
"multiplechoice","INTER","S5 Operacion Evaluacion y Mejora","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los procedimientos operacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INTER.","1","De acuerdo con el material del curso, que documento resulta fundamental para garantizar el control operacional segun la norma ISO 14001 dentro del sistema de gestion ambiental de una organizacion responsable?","C","El estado de resultados financieros","El catalogo comercial de productos","Los procedimientos operacionales","El organigrama de recursos humanos","","","","","",""
