"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que los equipos de gran porte (montacargas, gruas puente, gruas moviles) son responsables de aproximadamente el 11 por ciento de las fatalidades laborales segun el BLS.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, los equipos de gran porte son responsables de una fraccion importante de las fatalidades laborales segun el BLS (Bureau of Labor Statistics). Cual es esa fraccion aproximada segun el curso?","C","Menos del 1 por ciento","Cerca del 50 por ciento","Aproximadamente el 11 por ciento","El 90 por ciento","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material lista como causas tipicas la volcadura (tip-over), el golpe por carga (struck-by), el atrapamiento (crushed-between), la caida de cargas y la electrocucion por contacto con lineas electricas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material lista causas tipicas de accidentes con maquinaria de gran porte. Cual de las siguientes menciona el curso?","A","Volcadura, golpe por carga, atrapamiento y caida de cargas","Solo picaduras de insectos","Solo resfriados","Solo fatiga visual","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la norma OSHA 1910.178 regula el forklift o Powered Industrial Truck (montacargas).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, la norma OSHA 1910.178 regula un equipo especifico. Cual es segun el curso?","D","Las gruas torre","Los polipastos","Las gruas moviles","El montacargas (Powered Industrial Truck)","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la grua movil (mobile crane) se rige por la norma ASME B30.5, y por OSHA 1926.1400 Subpart CC.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material asocia normas ASME a distintos equipos de gran porte. Que norma ASME corresponde a la grua movil (camion grua) segun el curso?","B","ASME B56.1","ASME B30.5","ASME B30.2","ASME B30.9","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que OSHA 1910.178(l) requiere que cada operador de montacargas tenga capacitacion especifica documentada y evaluacion de competencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, OSHA 1910.178(l) exige que cada operador de montacargas tenga cierta condicion. Cual es segun el curso?","C","Solo experiencia informal","Solo una recomendacion verbal","Capacitacion especifica documentada y evaluacion de competencia","Ninguna capacitacion","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que el operador debe ser reevaluado cada 3 anos, o cuando se observa operacion insegura, hay accidente o near-miss, cambia el tipo de equipo o el entorno de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material describe cada cuanto debe reevaluarse a un operador de montacargas. Cual es el periodo segun el curso?","D","Cada 10 anos","Nunca","Cada mes","Cada 3 anos, o antes si hay operacion insegura, accidente, cambio de equipo o de entorno","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que una licencia generica no es suficiente: OSHA 1910.178(l)(3) exige capacitacion especifica al tipo (electrico vs gas, pasillo angosto, contrabalanceado, etc.), y el operador debe portar evidencia de esa capacitacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, una licencia generica de manejo de montacargas no es suficiente. Que exige OSHA segun el curso?","A","Capacitacion especifica al tipo y modelo de equipo que se opera","Una sola licencia para todo equipo","Ninguna evidencia","Solo un curso teorico","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la capacitacion incluye instruccion formal (aula o video), instruccion practica (demostracion y ejecucion supervisada) y evaluacion practica en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material describe los componentes de la capacitacion de operadores de montacargas. Cuales incluye segun el curso?","B","Solo un examen escrito","Instruccion formal, instruccion practica y evaluacion practica en el trabajo","Solo ver un video","Solo firmar un documento","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que los sistemas clave son el tren de potencia (motor, transmision, hidraulico), el sistema de estabilidad (contrapesos, estabilizadores, base de apoyo) y los sistemas de seguridad (limitadores de momento, alarmas, paradas de emergencia).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, antes de operar cualquier maquina de gran porte el operador debe comprender sus fundamentos. Cuales son los sistemas clave segun el curso?","C","Solo el color y el tamano","Solo el precio y la marca","El tren de potencia, el sistema de estabilidad y los sistemas de seguridad","Solo el sistema de audio","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la capacitacion debe documentarse con nombre, fecha, contenido y evaluador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material indica que la capacitacion de operadores debe documentarse con ciertos datos. Cuales menciona el curso?","D","Solo el color del equipo","Solo el peso del operador","Solo la marca de la maquina","Nombre, fecha, contenido y evaluador","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la norma OSHA 1910.179 regula la grua puente u overhead/bridge crane.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, la norma OSHA 1910.179 regula un equipo especifico. Cual es segun el curso?","B","El montacargas","La grua puente (overhead/bridge crane)","La grua torre","La eslinga","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material asocia OSHA 1926.1400 Subpart CC a la grua movil (mobile crane), regulada tambien por ASME B30.5.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material asocia la norma OSHA 1926.1400 Subpart CC a un tipo de equipo. Cual es segun el curso?","C","Al montacargas","A la eslinga textil","A la grua movil","Al polipasto manual","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la norma ASME B56.1 (y ANSI/ITSDF B56.1-2020) corresponde al forklift o montacargas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, la norma ASME B56.1 corresponde a un equipo. Cual es segun el curso?","D","La grua torre","La grua puente","El polipasto","El montacargas (forklift)","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que hay aproximadamente 85 fatalidades anuales por montacargas y 60 por grua segun el BLS.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material indica las cifras aproximadas de fatalidades anuales por tipo de equipo segun el BLS. Cuales menciona el curso?","A","Cerca de 85 por montacargas y 60 por grua al ano","Ninguna","Miles al ano por cada uno","Solo una al ano en total","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que los requisitos se agrupan en cuatro dimensiones: operador calificado y certificado, equipo inspeccionado y apto, entorno evaluado (terreno, lineas electricas, clima, personas) y plan de trabajo aprobado con tabla de carga verificada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, los requisitos previos a cualquier operacion con maquinaria de gran porte se agrupan en cuatro dimensiones. Cuales son segun el curso?","B","Precio, marca, color y tamano","Operador calificado, equipo inspeccionado, entorno evaluado y plan de trabajo aprobado","Turno, salario, horario y descanso","Cliente, proveedor, factura y garantia","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que la ausencia de cualquiera de los requisitos previos es motivo para no iniciar la maniobra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","El material advierte que la ausencia de cualquiera de los requisitos previos tiene una consecuencia. Cual es segun el curso?","C","No pasa nada","Se reduce el costo","Es motivo para no iniciar la maniobra","Se acelera el trabajo","","","","","",""
"multiplechoice","OMGP","S1 Marco Normativo y Formacion","Yes","¡Correcto! El material indica que las principales familias incluyen equipos de izaje (gruas moviles, torre, telescopicas), de movimiento de tierra (excavadoras) y de manipulacion de materiales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMGP.","1","Segun el material, la maquinaria de gran porte abarca varias familias de equipos. Cual de las siguientes menciona el curso?","D","Solo bicicletas","Solo herramientas manuales","Solo vehiculos livianos","Equipos de izaje, de movimiento de tierra y de manipulacion de materiales","","","","","",""
