"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","LCP","S1 Gestion Liderazgo y Supervision","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir los riesgos y evitar que los conflictos se agraven.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","Segun el material del curso, un supervisor con enfoque de liderazgo preventivo actua antes de que los problemas escalen. Que busca lograr con esta anticipacion dentro de su gestion en la organizacion?","A","Reducir los riesgos y evitar que los conflictos se agraven","Aumentar los conflictos dentro del equipo","Ignorar los problemas hasta que se vuelvan crisis","Eliminar la comunicacion preventiva con el equipo","","","","","",""
"multiplechoice","LCP","S2 Modelo de Bass Transformacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque una vision compartida impulsa el compromiso y el esfuerzo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","Segun el material del curso, por que resulta importante la motivacion inspiracional en la mejora del rendimiento del equipo dentro del liderazgo transformacional aplicado por el supervisor en la organizacion?","C","Porque reduce el compromiso del equipo con las metas","Porque sustituye la necesidad de orientar al equipo","Porque una vision compartida impulsa el compromiso y el esfuerzo","Porque elimina la relacion entre lider y seguidores","","","","","",""
"multiplechoice","LCP","S3 Cultura Organizacional Preventiva","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promueve una actitud proactiva de prevencion frente al riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","Segun el material del curso, la cultura organizacional influye en como el personal percibe la seguridad. Que efecto tiene una cultura preventiva sobre la actitud de los trabajadores hacia el riesgo?","B","Promueve la indiferencia frente a los riesgos","Promueve una actitud proactiva de prevencion frente al riesgo","Aumenta la tolerancia hacia las conductas inseguras","Elimina la percepcion del riesgo en el trabajo","","","","","",""
"multiplechoice","LCP","S4 Just Culture y Conversaciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un entorno de confianza que favorece el reporte y la mejora.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","Segun el material del curso, la Just Culture busca equilibrar la responsabilidad individual con la del sistema. Que resultado espera lograr la organizacion al aplicar este equilibrio en la gestion de errores?","D","Un entorno de temor que oculta los errores","Una impunidad total ante cualquier conducta","Una gestion basada solo en el castigo del error","Un entorno de confianza que favorece el reporte y la mejora","","","","","",""
"multiplechoice","LCP","S5 Toolbox Talks y Enfoque Conductual","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el trabajador comprenda y mantenga las conductas seguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","Segun el material del curso, la retroalimentacion dentro del enfoque conductual debe entregarse de forma respetuosa y oportuna. Que efecto busca lograr el supervisor al aplicarla de esta manera con su equipo?","A","Que el trabajador comprenda y mantenga las conductas seguras","Que el trabajador ignore la retroalimentacion recibida","Que se genere rechazo hacia el supervisor","Que se eliminen las conductas seguras del equipo","","","","","",""
"multiplechoice","LCP","S1 Gestion Liderazgo y Supervision","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque logra resultados mientras mantiene comprometido a su equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","De acuerdo con el material del curso, la gestion aporta orden y cumplimiento de metas mientras el liderazgo aporta motivacion. Por que resulta valioso que el supervisor domine ambos aspectos?","C","Porque puede prescindir de la motivacion del equipo","Porque permite ignorar el cumplimiento de las metas","Porque logra resultados mientras mantiene comprometido a su equipo","Porque separa por completo el logro de las personas","","","","","",""
"multiplechoice","LCP","S2 Modelo de Bass Transformacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Favorece el desarrollo y la motivacion de cada persona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","De acuerdo con el material del curso, la consideracion individual reconoce que cada integrante del equipo es distinto. Que aporta esta consideracion al desempeno del equipo dentro del modelo de Bass?","B","Trata a todos por igual sin atender sus diferencias","Favorece el desarrollo y la motivacion de cada persona","Reduce el desarrollo de los integrantes del equipo","Elimina la relacion cercana entre lider y equipo","","","","","",""
"multiplechoice","LCP","S3 Cultura Organizacional Preventiva","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reforzando en el dia a dia los valores y las conductas seguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","De acuerdo con el material del curso, el rol de los mandos medios es clave para trasladar la cultura preventiva al terreno. Como cumplen este rol dentro de la organizacion en la que ejercen su funcion?","D","Ignorando los valores de la cultura preventiva","Transmitiendo mensajes contrarios a la seguridad","Delegando la cultura sin ninguna accion propia","Reforzando en el dia a dia los valores y las conductas seguras","","","","","",""
"multiplechoice","LCP","S4 Just Culture y Conversaciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite responder de forma justa segun el tipo de conducta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","De acuerdo con el material del curso, la Just Culture distingue entre errores honestos, conductas de riesgo y conductas negligentes. Por que resulta importante esta distincion dentro de la organizacion?","A","Porque permite responder de forma justa segun el tipo de conducta","Porque permite sancionar todo por igual sin analisis","Porque elimina la responsabilidad de las personas","Porque oculta las causas de los errores cometidos","","","","","",""
"multiplechoice","LCP","S5 Toolbox Talks y Enfoque Conductual","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque deja evidencia de los temas tratados y de la participacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","De acuerdo con el material del curso, la documentacion de los dialogos diarios de seguridad respalda la gestion del supervisor. Por que resulta importante registrar correctamente estas charlas en la organizacion?","C","Porque permite ocultar los temas tratados","Porque sustituye la realizacion de la charla","Porque deja evidencia de los temas tratados y de la participacion","Porque elimina la participacion del equipo","","","","","",""
"multiplechoice","LCP","S1 Gestion Liderazgo y Supervision","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promoviendo conductas seguras y anticipando los riesgos del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCP.","1","Segun el material del curso, el supervisor cumple un rol clave en la seguridad del equipo. Como contribuye su liderazgo a la prevencion dentro de la organizacion en la que ejerce su funcion?","B","Ignorando los riesgos presentes en las tareas","Promoviendo conductas seguras y anticipando los riesgos del trabajo","Aplicando solo sanciones tras los incidentes","Evitando orientar al equipo sobre la seguridad","","","","","",""
