"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar el cumplimiento de las regulaciones ambientales vigentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","En el marco del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal funcion del inventario quimico dentro de la gestion de seguridad quimica?","A","Asegurar el cumplimiento de las regulaciones ambientales vigentes","Realizar un seguimiento de los gastos operativos relacionados con los quimicos","Determinar las necesidades de almacenamiento para la logistica","Optimizar la formacion del personal en el manejo de quimicos","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ubicacion del almacenamiento y el inventario disponible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun los contenidos desarrollados en el curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que informacion esencial debe contener un inventario quimico?","C","La experiencia laboral de los empleados relacionados","El precio de adquisicion de cada quimico","La ubicacion del almacenamiento y el inventario disponible","Las normas de calidad y seguridad del producto","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: El inventario quimico es crucial para la identificacion, evaluacion y control de riesgos asociados al manejo de sustancias quimicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun el material del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, responde con precision: Describe la importancia del inventario quimico en la gestion de riesgos en un sitio de trabajo.","B","La definicion de riesgo agregado como la suma de todos los riesgos individuales presentes en un sitio, como estos interactuan y pueden amplificarse entre si, y su relevancia al pri","El inventario quimico es crucial para la identificacion, evaluacion y control de riesgos asociados al manejo de sustancias quimicas.","Elementos como el nombre del quimico, su numero de CAS (Chemical Abstract Services), la cantidad disponible, la fecha de adquisicion, la ubicacion en el almacen, y la informacion sobre sus propiedades y peligrosidad.","Realizar un seguimiento de los gastos operativos relacionados con los quimicos","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite una mejor planificacion y disposicion de recursos quimicos segun su peligrosidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun el material del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, responde con precision: Como impacta el inventario quimico en la toma de decisiones sobre la seguridad y almacenamiento en un sitio?","D","Facilita la reduccion de costos en el almacen de productos quimicos","Aumenta la complejidad en la logistica de transporte","Suprime la necesidad de formacion continua de personal","Permite una mejor planificacion y disposicion de recursos quimicos segun su peligrosidad","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y minimizar los peligros asociados con el manejo de productos quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun el material del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, responde con precision: Cual es el proposito principal de la evaluacion de riesgos en la seguridad quimica?","B","Clasificar productos quimicos segun su color y textura.","Identificar y minimizar los peligros asociados con el manejo de productos quimicos.","Determinar la cantidad de productos quimicos a almacenar.","Crear medidas de marketing para productos quimicos.","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacitacion de los empleados sobre riesgos y procedimientos de emergencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun el material del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, responde con precision: Que elemento es esencial en un plan de respuesta a emergencias relacionado con productos quimicos?","D","El uso exclusivo de ropa cotizada.","La improvisacion segun el tipo de producto quimico.","La ausencia de informes de incidentes previos.","La capacitacion de los empleados sobre riesgos y procedimientos de emergencia.","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumento del riesgo de accidentes y enfermedades laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun el material del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, responde con precision: Cual es una de las consecuencias mas comunes de un mal manejo de sustancias quimicas en el trabajo?","A","Aumento del riesgo de accidentes y enfermedades laborales.","Reduccion de costos operativos.","Aislamiento de las areas de trabajo.","Mejora en la productividad de los empleados.","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar el aprendizaje independiente del estudiante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun los contenidos desarrollados en el curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es uno de los principales objetivos del enfoque metodologico del curso?","C","Proveer una mayor cantidad de material teorico sin aplicacion practica.","Limitar el acceso a recursos interactivos.","Facilitar el aprendizaje independiente del estudiante.","Aumentar la carga de trabajo a los estudiantes.","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Videos educativos y foros de discusion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Segun el material del curso Gestion del Inventario Quimico y Evaluacion de Riesgo del, responde con precision: Que tipo de recursos interactivos se promoveran en el curso para facilitar el aprendizaje?","C","Examenes estandarizados sin feedback.","Webinars sin participacion.","Videos educativos y foros de discusion.","Textos sin interaccion.","","","","","",""
"multiplechoice","GIQERS","C1 Proposito y Campos del Inventario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir que los estudiantes gestionen su propio ritmo y progreso en el aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GIQERS.","1","Tomando en cuenta lo estudiado en el curso Gestion del Inventario Quimico y Evaluacion de Riesgo del sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el enfoque autoadministrado en el contexto del curso?","A","Permitir que los estudiantes gestionen su propio ritmo y progreso en el aprendizaje.","Fomentar unicamente el estudio grupal sin apoyo individual.","Proveer un solo tipo de material sin alternativas.","Imponer horarios estrictos de entrega de tareas a todos los estudiantes.","","","","","",""
