"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GRLII","S1 Conceptos Peligro Riesgo y Dano","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fuente, situacion o acto con potencial de causar dano en terminos de lesion o deterioro de la salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","En el marco conceptual de la gestion de riesgos laborales presentado en el curso, como se define correctamente el termino peligro segun la disciplina tecnica y las definiciones operativas de la norma aplicable?","A","Fuente, situacion o acto con potencial de causar dano en terminos de lesion o deterioro de la salud","La probabilidad combinada con la severidad de un dano esperado en una actividad","La lesion fisica o el deterioro de la salud que ya se ha materializado","El suceso no deseado que interrumpe la operacion normal del trabajo","","","","","",""
"multiplechoice","GRLII","S2 ISO 45001 Clausula 6.1.2","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer un proceso para la identificacion de peligros y la evaluacion de los riesgos y oportunidades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","Segun el material del curso sobre la ISO 45001:2018, cual es el objetivo principal de la clausula 6.1.2 dentro del sistema de gestion de la seguridad y salud en el trabajo de una organizacion?","C","Definir el organigrama contable del area financiera de la empresa","Fijar los precios de venta de los equipos de proteccion","Establecer un proceso para la identificacion de peligros y la evaluacion de los riesgos y oportunidades","Regular exclusivamente los horarios del personal administrativo","","","","","",""
"multiplechoice","GRLII","S3 Metodo NTP 330 Niveles","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Instituto Nacional de Seguridad e Higiene en el Trabajo de Espana.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","El curso presenta la Nota Tecnica de Prevencion 330 como un metodo simplificado de evaluacion de riesgos. Que organismo y pais desarrollaron la NTP 330 segun el material del programa sobre evaluacion de riesgos de accidente?","B","La Administracion de Seguridad y Salud Ocupacional de Estados Unidos","El Instituto Nacional de Seguridad e Higiene en el Trabajo de Espana","La Organizacion Internacional de Normalizacion con sede en Ginebra","El Naval Ordnance Laboratory de la marina estadounidense","","","","","",""
"multiplechoice","GRLII","S4 Metodo Fine y Matriz 5x5","Yes","¡Correcto! Segun el material del curso, lo correcto es: La justificacion cuantitativa del costo-beneficio de las medidas correctivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","El curso atribuye el metodo Fine a un ingeniero estadounidense que lo publico en el ano mil novecientos setenta y uno. Segun el material, que aporto de manera pionera William T. Fine al campo de la evaluacion de riesgos laborales?","D","La primera matriz de colores para clasificar riesgos","La definicion normativa del concepto de peligro","La creacion del principio ALARP de la HSE britanica","La justificacion cuantitativa del costo-beneficio de las medidas correctivas","","","","","",""
"multiplechoice","GRLII","S5 Jerarquia de Controles y ALARP","Yes","¡Correcto! Segun el material del curso, lo correcto es: La eliminacion del peligro en su origen.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","El curso presenta la jerarquia de controles como el principio que ordena las medidas de prevencion. Cual es el nivel mas eficaz y prioritario dentro de esta jerarquia segun el material del programa de gestion de riesgos laborales?","A","La eliminacion del peligro en su origen","El equipo de proteccion individual entregado al trabajador","Los controles administrativos basados en procedimientos","La senalizacion de advertencia en la zona de trabajo","","","","","",""
"multiplechoice","GRLII","S1 Conceptos Peligro Riesgo y Dano","Yes","¡Correcto! Segun el material del curso, lo correcto es: La combinacion de la probabilidad de ocurrencia y la severidad de la consecuencia de un evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","De acuerdo con las definiciones operativas de la ISO 45001:2018 explicadas en el curso, que expresa el concepto de riesgo como magnitud tecnica dentro de la gestion de la seguridad y salud en el trabajo?","C","La fuente con potencial intrinseco de causar dano a las personas","El deterioro fisico de la salud efectivamente producido en un trabajador","La combinacion de la probabilidad de ocurrencia y la severidad de la consecuencia de un evento","El conjunto de medidas administrativas para controlar una actividad rutinaria","","","","","",""
"multiplechoice","GRLII","S2 ISO 45001 Clausula 6.1.2","Yes","¡Correcto! Segun el material del curso, lo correcto es: En tres subclausulas con exigencias especificas y auditables por separado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","El curso explica que la clausula 6.1.2 de la norma se subdivide en varios componentes auditables de forma independiente. En cuantas subclausulas se estructura la clausula 6.1.2 segun el material presentado en el programa?","B","En una unica clausula sin subdivisiones internas","En tres subclausulas con exigencias especificas y auditables por separado","En cinco subclausulas ordenadas por nivel de riesgo","En diez subclausulas equivalentes a los diez niveles de control","","","","","",""
"multiplechoice","GRLII","S3 Metodo NTP 330 Niveles","Yes","¡Correcto! Segun el material del curso, lo correcto es: En cuatro variables: deficiencia, exposicion, probabilidad y consecuencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","Segun el material, el metodo NTP 330 descompone el riesgo en un conjunto de variables observables. En cuantas variables basicas descompone el riesgo de accidente este metodo simplificado de evaluacion presentado en el curso?","D","En dos variables: costo y beneficio de la medida","En seis variables ordenadas por color de senalizacion","En una sola variable global de nivel de riesgo","En cuatro variables: deficiencia, exposicion, probabilidad y consecuencia","","","","","",""
"multiplechoice","GRLII","S4 Metodo Fine y Matriz 5x5","Yes","¡Correcto! Segun el material del curso, lo correcto es: Multiplicando la consecuencia por la exposicion y por la probabilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","Segun el material del curso, el metodo Fine calcula el grado de peligro combinando tres factores. Con que operacion matematica se obtiene el grado de peligro en el metodo Fine presentado en el programa de gestion de riesgos?","A","Multiplicando la consecuencia por la exposicion y por la probabilidad","Sumando la consecuencia, la exposicion y la probabilidad","Dividiendo la consecuencia entre la exposicion y la probabilidad","Restando la probabilidad de la consecuencia esperada","","","","","",""
"multiplechoice","GRLII","S5 Jerarquia de Controles y ALARP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Eliminacion, sustitucion, ingenieria, controles administrativos y equipo de proteccion individual.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","Segun el material, la jerarquia de controles establece un orden de prioridad entre distintas medidas. Cual es el orden correcto de mayor a menor eficacia de los niveles de control descrito en el curso de gestion de riesgos?","C","Equipo de proteccion, administrativos, ingenieria, sustitucion y eliminacion","Ingenieria, eliminacion, equipo de proteccion, sustitucion y administrativos","Eliminacion, sustitucion, ingenieria, controles administrativos y equipo de proteccion individual","Administrativos, ingenieria, equipo de proteccion, eliminacion y sustitucion","","","","","",""
"multiplechoice","GRLII","S1 Conceptos Peligro Riesgo y Dano","Yes","¡Correcto! Segun el material del curso, lo correcto es: La lesion fisica o el deterioro de la salud de una persona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","El curso distingue con precision los terminos que en el lenguaje cotidiano se confunden. Segun ese marco, como se define correctamente el termino dano dentro de la gestion tecnica de riesgos laborales?","B","La fuente o situacion con potencial de generar una lesion","La lesion fisica o el deterioro de la salud de una persona","La probabilidad de que ocurra una consecuencia negativa","La medida preventiva aplicada para eliminar una fuente de peligro","","","","","",""
"multiplechoice","GRLII","S2 ISO 45001 Clausula 6.1.2","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer, implementar y mantener procesos para evaluar los riesgos para la seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","La subclausula 6.1.2.2 de la ISO 45001:2018 recibe un tratamiento especifico en el curso. Que exige esta subclausula a la organizacion segun el material sobre la estructura interna de la clausula 6.1.2?","D","Publicar los estados financieros anuales de la organizacion","Definir el metodo Fine como unico admisible para toda empresa","Prohibir la participacion de los trabajadores en la evaluacion","Establecer, implementar y mantener procesos para evaluar los riesgos para la seguridad y salud","","","","","",""
"multiplechoice","GRLII","S3 Metodo NTP 330 Niveles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La frecuencia con que la persona se expone al riesgo durante su trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRLII.","1","El nivel de exposicion es una de las variables clave del metodo NTP 330. Que mide especificamente el nivel de exposicion segun el material del curso sobre las variables del sistema simplificado de evaluacion de riesgos?","A","La frecuencia con que la persona se expone al riesgo durante su trabajo","La gravedad del dano esperado en caso de accidente","El costo economico de corregir la deficiencia detectada","La cantidad de trabajadores presentes en la instalacion","","","","","",""
