"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Formar profesionales capaces de integrar normativas internacionales en la logistica y transporte.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","En el marco del curso Transporte de Materiales Peligrosos segun el Marco UN, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal proposito del curso sobre transporte en el contexto internacional?","A","Formar profesionales capaces de integrar normativas internacionales en la logistica y transporte.","Mejorar las capacidades de gestion de inventarios a nivel regional.","Capacitar en la manipulacion segura de mercancias peligrosas unicamente a nivel local.","Desarrollar estrategias de transporte que cumplan con normativas locales.","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacidad para diseniar soluciones logisticas integrales que cumplan normativas internacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Segun los contenidos desarrollados en el curso Transporte de Materiales Peligrosos segun el Marco UN, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que habilidades generales se espera que adquieran los participantes del curso?","C","Conocimientos exclusivos sobre el transporte de mercancias local.","Habilidades para liderar equipos de trabajo sin atencion al marco regulatorio.","Capacidad para diseniar soluciones logisticas integrales que cumplan normativas internacionales.","Desarrollo de tecnicas de venta para productos de transporte.","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Consultores que integran estrategias logisticas conforme a estandares internacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Con base en el material del curso Transporte de Materiales Peligrosos segun el Marco UN y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: El perfil profesional al que se orienta la formacion del curso incluye:","B","Personal puramente administrativo sin consideraciones de transporte.","Consultores que integran estrategias logisticas conforme a estandares internacionales.","Tecnicos en manejo de residuos exclusivamente.","Supervisores que solo trabajan en proyectos ambientales a pequenia escala.","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revision de la normativa vigente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Segun el material del curso Transporte de Materiales Peligrosos segun el Marco UN, responde con precision: Cual es el primer paso fundamental en la identificacion de materiales peligrosos en una operacion de transporte?","D","Verificacion del equipo de transporte","Identificacion del transportista","Clasificacion segun propiedades fisicas","Revision de la normativa vigente","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Hoja de datos de seguridad (HDS).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Segun el material del curso Transporte de Materiales Peligrosos segun el Marco UN, responde con precision: Que documento es esencial para asegurar el cumplimiento normativo en el transporte de materiales peligrosos?","B","Lista de proveedores","Hoja de datos de seguridad (HDS)","Informe de auditoria","Plan de respuesta a emergencias","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cubrir la importancia de mantener la conformidad con las regulaciones gubernamentales y estandares de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Segun el material del curso Transporte de Materiales Peligrosos segun el Marco UN, responde con precision: Por que es crucial realizar auditorias regulares en la logistica de transporte de materiales peligrosos?","D","Reflejar una comprension amplia de los aspectos que un especialista debe evaluar, tales como la correcta implementacion de las medidas de control, la revision de los registros de i","Las consecuencias pueden ser graves, como la exposicion a riesgos asociados con la manipulacion inadecuada de sustancias quimicas, potenciales accidentes o derrames, y sanciones le","Una respuesta correctas debe explicar que la combinacion de acido con cianuro puede generar gases toxicos o peligrosos, como el acido cianhidrico, lo que representa un riesgo significativo para la salud.","Cubrir la importancia de mantener la conformidad con las regulaciones gubernamentales y estandares de seguridad.","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitacion del personal involucrado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","En el marco del curso Transporte de Materiales Peligrosos segun el Marco UN, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Para garantizar la seguridad durante el transporte de materiales peligrosos, que aspecto debe ser verificado periodicamente?","A","Capacitacion del personal involucrado","Cantidad de carga","Condiciones meteorologicas","Itinerario del transporte","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reflejar sobre el progreso personal y establecer metas claras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Segun los contenidos desarrollados en el curso Transporte de Materiales Peligrosos segun el Marco UN, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de los siguientes aspectos es crucial para la autoevaluacion en modalidad autoadministrada?","C","Tomar examenes en grupo con otros participantes.","Depender completamente de la retroalimentacion del instructor.","Reflejar sobre el progreso personal y establecer metas claras.","Revisar solo el material una vez antes de un examen.","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revisar el contenido en intervalos espaciados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Segun el material del curso Transporte de Materiales Peligrosos segun el Marco UN, responde con precision: En la progresion del aprendizaje, cual es el enfoque mas efectivo para asegurar la retencion del contenido?","C","Realizar examenes de practica solo al final del curso.","Escuchar solo presentaciones sin tomar notas.","Revisar el contenido en intervalos espaciados.","Aprender de manera intensiva en una sola sesion.","","","","","",""
"multiplechoice","TDMU","C1 Sistema UN y Clasificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Alcanzar una calificacion minima que combine multiplos componentes evaluativos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TDMU.","1","Tomando en cuenta lo estudiado en el curso Transporte de Materiales Peligrosos segun el Marco UN sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el criterio de aprobacion generalmente establecido para evaluar el desempenio en un curso e-learning?","A","Alcanzar una calificacion minima que combine multiplos componentes evaluativos.","Completar el 50% de las actividades sin importar los resultados.","No hacer ningun examen para evitar la presion.","Duplicar las horas de estudio requeridas sin evaluacion.","","","","","",""
