"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SPT","S1 Origen y Estructura ISO 45003","Yes","¡Correcto! Segun el material del curso, lo correcto es: A la identificacion de los riesgos psicosociales de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","A que se refiere la clausula de la norma ISO 45003 que trata el contexto de la organizacion en relacion con la gestion de la salud psicologica","A","A la identificacion de los riesgos psicosociales de la organizacion","A la compra de maquinaria de proteccion colectiva","Al calculo de utilidades y margenes financieros","A la seleccion de proveedores de servicios generales","","","","","",""
"multiplechoice","SPT","S2 Peligros Psicosociales y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Actua como recurso que puede proteger frente a las demandas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que papel juega el apoyo social como factor psicosocial dentro del entorno de trabajo segun el enfoque de identificacion de la norma ISO 45003","C","Es un peligro fisico que debe eliminarse","Es un indicador contable de la empresa","Actua como recurso que puede proteger frente a las demandas","Es una obligacion legal sin efecto preventivo","","","","","",""
"multiplechoice","SPT","S3 Liderazgo y Participacion Laboral","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fortalecer la participacion y la pertinencia de las medidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que busca lograr la organizacion al involucrar a los representantes de los trabajadores en la gestion de la salud psicologica y la seguridad laboral","B","Formalizar unicamente los tramites legales","Fortalecer la participacion y la pertinencia de las medidas","Reducir el numero de trabajadores consultados","Concentrar las decisiones solo en la gerencia","","","","","",""
"multiplechoice","SPT","S4 Convenio OIT 190 y Recomendacion 206","Yes","¡Correcto! Segun el material del curso, lo correcto es: Sienta las bases obligatorias para prevenir la violencia y el acoso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que rol desempena el Convenio OIT 190 dentro de la construccion de un entorno de trabajo libre de violencia y acoso segun el enfoque del curso","D","Define los indicadores financieros de la empresa","Regula el mantenimiento de la maquinaria","Establece los horarios de las jornadas","Sienta las bases obligatorias para prevenir la violencia y el acoso","","","","","",""
"multiplechoice","SPT","S5 Indicadores Denuncia y Reparacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los mecanismos integran el enfoque preventivo del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que relacion existe entre los mecanismos de denuncia y el enfoque preventivo de la violencia y el acoso segun el sistema descrito en el curso","A","Los mecanismos integran el enfoque preventivo del sistema","Los mecanismos operan al margen de la prevencion","Los mecanismos sustituyen la evaluacion de riesgos","Los mecanismos solo sirven para sancionar","","","","","",""
"multiplechoice","SPT","S1 Origen y Estructura ISO 45003","Yes","¡Correcto! Segun el material del curso, lo correcto es: Entender que se mantiene y que se amplia al incorporar salud psicologica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Cual es el enfoque que promueve ISO 45003 al comparar sus contenidos con los de ISO 45001 durante la implementacion del sistema de gestion ampliado","C","Memorizar por completo ambos documentos normativos","Reemplazar totalmente el sistema de gestion previo","Entender que se mantiene y que se amplia al incorporar salud psicologica","Eliminar los controles fisicos existentes en planta","","","","","",""
"multiplechoice","SPT","S2 Peligros Psicosociales y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordenar los factores para gestionarlos de forma estructurada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que busca lograr la clasificacion de los factores psicosociales con una logica definida durante el analisis del proceso de trabajo en un area concreta","B","Ocultar los factores detectados a la gerencia","Ordenar los factores para gestionarlos de forma estructurada","Descartar los factores considerados menores","Traspasar la evaluacion a un tercero externo","","","","","",""
"multiplechoice","SPT","S3 Liderazgo y Participacion Laboral","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un entorno donde las personas pueden expresarse sin temor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que caracteriza a un ambiente de trabajo seguro desde el punto de vista psicosocial que un lider debe promover para prevenir el acoso laboral","D","Un entorno donde se ocultan los conflictos","Un entorno donde se sanciona a quien reporta","Un entorno centrado solo en la productividad","Un entorno donde las personas pueden expresarse sin temor","","","","","",""
"multiplechoice","SPT","S4 Convenio OIT 190 y Recomendacion 206","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ofrece orientaciones practicas para implementar las medidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que aporta la Recomendacion OIT 206 al enfoque preventivo de la violencia y el acoso mas alla de las obligaciones fijadas por el Convenio 190","A","Ofrece orientaciones practicas para implementar las medidas","Deroga las obligaciones establecidas por el Convenio","Sustituye la evaluacion de riesgos psicosociales","Limita el alcance de la prevencion a la gerencia","","","","","",""
"multiplechoice","SPT","S5 Indicadores Denuncia y Reparacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque forma parte de un sistema que investiga y repara los casos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Por que se afirma que un mecanismo de denuncia es mas que un simple canal para reportar dentro de la gestion del acoso laboral en la organizacion","C","Porque solo registra quejas sin ninguna gestion","Porque reemplaza la participacion de los trabajadores","Porque forma parte de un sistema que investiga y repara los casos","Porque elimina la necesidad de investigar casos","","","","","",""
"multiplechoice","SPT","S1 Origen y Estructura ISO 45003","Yes","¡Correcto! Segun el material del curso, lo correcto es: La salud psicologica y el bienestar mental de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Que aspecto de la vida laboral busca proteger de forma prioritaria la norma ISO 45003 al integrarse dentro del sistema de gestion de seguridad y salud","B","La rentabilidad economica de los accionistas","La salud psicologica y el bienestar mental de los trabajadores","La velocidad de produccion de las lineas","La reduccion de los costos de mantenimiento","","","","","",""
"multiplechoice","SPT","S2 Peligros Psicosociales y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque no revela como se vive el trabajo ni que lo agrava.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Por que resulta insuficiente describir unicamente las tareas de un puesto al realizar la identificacion de riesgos psicosociales en la organizacion","D","Porque las tareas no forman parte del puesto","Porque la descripcion es siempre confidencial","Porque las tareas cambian cada jornada","Porque no revela como se vive el trabajo ni que lo agrava","","","","","",""
"multiplechoice","SPT","S3 Liderazgo y Participacion Laboral","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el liderazgo requiere compromiso y participacion activa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Por que la sola firma de politicas por parte de la direccion resulta insuficiente para gestionar de forma efectiva los riesgos psicosociales","A","Porque el liderazgo requiere compromiso y participacion activa","Porque las politicas no forman parte del sistema","Porque la firma sustituye la evaluacion tecnica","Porque los trabajadores no deben conocerlas","","","","","",""
"multiplechoice","SPT","S4 Convenio OIT 190 y Recomendacion 206","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque juntos forman un marco coherente y complementario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPT.","1","Por que se recomienda comprender de forma conjunta la ISO 45003 el Convenio 190 y la Recomendacion 206 al gestionar los riesgos psicosociales","C","Porque uno de ellos anula a los demas","Porque solo aplica el mas reciente de todos","Porque juntos forman un marco coherente y complementario","Porque son instrumentos sin relacion entre si","","","","","",""
