"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que la roca estable puede excavarse con paredes verticales y permanecer intacta mientras este expuesta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","Segun el material, la roca estable es la unica categoria que no exige sistema de proteccion por si sola. Con que tipo de paredes puede excavarse segun el curso?","D","Solo con talud tumbado","Solo con escudo","Solo con apuntalamiento","Con paredes verticales, permaneciendo intacta mientras este expuesta","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el shoring debe dimensionarse segun la profundidad y la presion del suelo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","El material describe como debe dimensionarse el shoring. Segun que factores segun el curso?","A","Segun la profundidad y la presion del suelo","Segun el color del suelo","Segun el precio del proyecto","Segun el numero de trabajadores","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el escudo debe tener capacidad certificada para la profundidad y el tipo de suelo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","Segun el material, el escudo (trench box) debe tener una condicion respecto a su capacidad. Cual es segun el curso?","B","No requiere capacidad definida","Capacidad certificada para la profundidad y el tipo de suelo","Ser del color rojo","Ser de madera siempre","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el espacio entre el escudo y la pared debe controlarse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","El material indica que debe controlarse en el uso del escudo respecto al espacio. Que menciona el curso?","C","El color del escudo","El precio del escudo","El espacio entre el escudo y la pared","El peso del trabajador","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el benching (banqueo) es una variante escalonada del sloping.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","Segun el material, el benching (banqueo) se relaciona con el sloping. Como lo describe el curso?","D","Como un tipo de escudo","Como un apuntalamiento","Como bombeo de agua","Como una variante escalonada del sloping","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el Type A tiene el talud mas vertical (tres cuartos a 1), mientras que el Type C tiene el mas tumbado (1 y medio a 1).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","El material describe la logica del talud segun el tipo de suelo. Que suelo requiere el talud mas vertical segun el curso?","A","El Type A, con talud de tres cuartos a 1","El Type C, con talud de 1 y medio a 1","El Type B, con talud de 1 a 1","Ninguno","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que en el sloping, en lugar de sostener la pared, se le da una pendiente segura que el propio suelo puede mantener.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","Segun el material, el sloping en lugar de sostener la pared hace algo distinto. Que segun el curso?","B","La apuntala","Le da una pendiente segura que el propio suelo puede mantener","Coloca una caja","La bombea","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el apuntalamiento hidraulico consiste en puntales hidraulicos entre placas o rieles, siendo uno de los tipos habituales de shoring.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","El material describe el apuntalamiento hidraulico como un tipo de shoring. En que consiste segun el curso?","C","En una caja rigida","En un talud escalonado","En puntales hidraulicos entre placas o rieles","En bombear agua","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el Type B requiere sistema de proteccion a partir de 1,5 metros, igual que el Type A.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","Segun el material, el Type B requiere sistema de proteccion a partir de cierta profundidad. Cual es segun el curso?","D","Nunca","A partir de 5 metros","A cualquier profundidad","A partir de 1,5 metros","","","","","",""
"multiplechoice","TEZ","S3 Sistemas de Proteccion","Yes","¡Correcto! El material indica que el Type B tambien puede descalificarse a Type C si aparece agua filtrandose libremente o si se combinan condiciones adversas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TEZ.","1","El material indica que un Type B puede descalificarse a Type C. En que caso segun el curso?","A","Si aparece agua filtrandose libremente o se combinan condiciones adversas","Si esta seco y compacto","Si tiene buen color","Si no hay trafico","","","","","",""
