"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","FRP","S1 Concepto Riesgo Psicosocial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite reconocer las condiciones que afectan el bienestar del trabajador para aplicar medidas de prevencion e intervencion adecuadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Conforme al material del curso, cual es la importancia de identificar los factores de riesgo psicosocial en los puestos de trabajo?","A","Permite reconocer las condiciones que afectan el bienestar del trabajador para aplicar medidas de prevencion e intervencion adecuadas","Permite determinar el salario que corresponde a cada trabajador del area","Permite establecer el horario de atencion de las oficinas administrativas","Permite reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","FRP","S2 Modelos Karasek y ERI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una recompensa adecuada en forma de reconocimiento estabilidad o retribucion equilibra el esfuerzo y protege el bienestar del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Conforme al material del curso, como se relaciona la recompensa en el modelo de esfuerzo y recompensa con el bienestar general del trabajador?","C","La recompensa determina unicamente el horario de atencion de las oficinas","La recompensa no guarda ninguna relacion con el bienestar del trabajador","Una recompensa adecuada en forma de reconocimiento estabilidad o retribucion equilibra el esfuerzo y protege el bienestar del trabajador","La recompensa reduce el consumo de energia de los equipos de la planta","","","","","",""
"multiplechoice","FRP","S3 Instrumentos de Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque aportan datos adicionales que completan el diagnostico permitiendo comprender mejor los factores psicosociales del puesto de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Conforme al material del curso, por que los instrumentos complementarios se utilizan junto con los cuestionarios principales durante la evaluacion psicosocial?","B","Porque los instrumentos complementarios determinan el salario de cada trabajador","Porque aportan datos adicionales que completan el diagnostico permitiendo comprender mejor los factores psicosociales del puesto de trabajo","Porque los instrumentos complementarios establecen el horario de las oficinas","Porque los instrumentos complementarios reducen el consumo de energia de los equipos","","","","","",""
"multiplechoice","FRP","S4 Burnout Estres y Ansiedad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un sentimiento de ineficacia e insatisfaccion con los propios logros laborales por parte del trabajador afectado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Conforme al material del curso, que caracteriza a la baja realizacion personal como uno de los componentes del sindrome de burnout en el trabajador?","D","Un aumento de la satisfaccion y la eficacia del trabajador en su puesto","La determinacion del salario que corresponde al trabajador afectado","El establecimiento del horario de atencion de las oficinas administrativas","Un sentimiento de ineficacia e insatisfaccion con los propios logros laborales por parte del trabajador afectado","","","","","",""
"multiplechoice","FRP","S5 Niveles de Intervencion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El riesgo psicosocial persiste porque no se modifican las condiciones que lo originan limitando la eficacia de la prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Conforme al material del curso, que consecuencia tiene enfocar la intervencion solo en el trabajador y no en las condiciones del trabajo?","A","El riesgo psicosocial persiste porque no se modifican las condiciones que lo originan limitando la eficacia de la prevencion","El riesgo psicosocial desaparece por completo aunque no se cambien las condiciones","La intervencion determina el salario que corresponde a cada trabajador del area","La intervencion establece el horario de atencion de las oficinas administrativas","","","","","",""
"multiplechoice","FRP","S1 Concepto Riesgo Psicosocial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Plantea que ciertas caracteristicas del trabajo influyen en el bienestar de forma similar a como las vitaminas afectan la salud segun su nivel.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Tal como indica el material del curso, como aborda el modelo de vitaminas las interacciones entre el entorno de trabajo y el bienestar?","C","Plantea que el bienestar depende unicamente del salario que recibe el trabajador","Plantea que el entorno de trabajo no influye en el bienestar del trabajador","Plantea que ciertas caracteristicas del trabajo influyen en el bienestar de forma similar a como las vitaminas afectan la salud segun su nivel","Plantea que el bienestar se determina segun el horario de atencion de las oficinas","","","","","",""
"multiplechoice","FRP","S2 Modelos Karasek y ERI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque estas dimensiones permiten valorar el riesgo psicosocial del puesto segun el modelo de demandas y control aplicado al trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Tal como indica el material del curso, por que el cuestionario de contenido de trabajo evalua las demandas el control y el apoyo social?","B","Porque estas dimensiones determinan el salario que corresponde a cada trabajador","Porque estas dimensiones permiten valorar el riesgo psicosocial del puesto segun el modelo de demandas y control aplicado al trabajador","Porque estas dimensiones establecen el horario de atencion de las oficinas","Porque estas dimensiones reducen el consumo de energia de los equipos","","","","","",""
"multiplechoice","FRP","S3 Instrumentos de Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detectar el nivel de agotamiento emocional despersonalizacion y realizacion personal para identificar la presencia del sindrome de burnout.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Tal como indica el material del curso, que permite el cuestionario de burnout en la evaluacion de la salud psicosocial del trabajador?","D","Determinar el salario que corresponde a cada trabajador segun su desempeno","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","Detectar el nivel de agotamiento emocional despersonalizacion y realizacion personal para identificar la presencia del sindrome de burnout","","","","","",""
"multiplechoice","FRP","S4 Burnout Estres y Ansiedad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el burnout representa un estado avanzado de agotamiento que requiere una intervencion especifica distinta del manejo del estres puntual.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Tal como indica el material del curso, por que es importante diferenciar el estres del burnout en la salud del trabajador?","A","Porque el burnout representa un estado avanzado de agotamiento que requiere una intervencion especifica distinta del manejo del estres puntual","Porque diferenciarlos determina el salario que corresponde a cada trabajador","Porque diferenciarlos establece el horario de atencion de las oficinas","Porque diferenciarlos reduce el consumo de energia de los equipos","","","","","",""
"multiplechoice","FRP","S5 Niveles de Intervencion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Favorecer su recuperacion y reincorporacion mediante tratamiento y apoyo reduciendo las consecuencias del dano ya producido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FRP.","1","Tal como indica el material del curso, cual es la finalidad de la intervencion terciaria frente a un trabajador afectado por un riesgo psicosocial?","C","Eliminar los factores de riesgo en su origen antes de que aparezca el dano","Determinar el salario que corresponde al trabajador afectado durante el proceso","Favorecer su recuperacion y reincorporacion mediante tratamiento y apoyo reduciendo las consecuencias del dano ya producido","Establecer el horario de atencion de las oficinas administrativas de la empresa","","","","","",""
