"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover practicas de seguridad que protejan a los trabajadores y la maquinaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","En el marco del curso Operacion Segura de Maquinaria para Operadores y Personal, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo del curso sobre seguridad industrial?","A","Promover practicas de seguridad que protejan a los trabajadores y la maquinaria.","Incrementar la produccion con la menor inversion posible.","Evaluar el rendimiento de los trabajadores en la planta.","Crear un ambiente de trabajo competitivo entre los empleados.","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacitacion en habilidades de liderazgo de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Segun los contenidos desarrollados en el curso Operacion Segura de Maquinaria para Operadores y Personal, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de los siguientes no es un limite del curso?","C","El enfasis en la seguridad sobre la productividad en la planta.","La aplicacion de normativas de seguridad vigentes.","La capacitacion en habilidades de liderazgo de los trabajadores.","La evaluacion de riesgos en el ambiente laboral.","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Personal operativo que interactua con maquinaria y procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Con base en el material del curso Operacion Segura de Maquinaria para Operadores y Personal y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que perfil se espera que tenga un participante del curso?","B","Estudiosos academicos que buscan teoria sobre seguridad.","Personal operativo que interactua con maquinaria y procesos.","Personal administrativo que trabaja en oficinas.","Los gerentes de linea que se encargan de la supervision.","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Operar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Segun el material del curso Operacion Segura de Maquinaria para Operadores y Personal, responde con precision: Cual de los siguientes verbos es un verbo medible que podria usarse para describir una habilidad en un operario de produccion?","D","Saber","Conocer","Entender","Operar","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los resultados de aprendizaje son enunciados que describen lo que un aprendiz debe saber, hacer y ser al completar una actividad formativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Segun el material del curso Operacion Segura de Maquinaria para Operadores y Personal, responde con precision: Describa que son los resultados de aprendizaje y por que son importantes en la formacion de operadores que interactuan con maquinas.","B","El caso FarmaSeg destaca la importancia de una correcta gestion de atascos y procesos de limpieza.","Los resultados de aprendizaje son enunciados que describen lo que un aprendiz debe saber, hacer y ser al completar una actividad formativa.","Cubrir que el proceso de certificacion implica evaluar las competencias adquiridas por el trabajador a traves de examenes y pruebas practicas que validan sus habilidades.","Para prevenir atascos en el proceso de produccion, se deben considerar varios aspectos.","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Limpia las superficies de manera eficiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Segun el material del curso Operacion Segura de Maquinaria para Operadores y Personal, responde con precision: Cual de las siguientes opciones es un ejemplo de conducta observable en un trabajador de limpieza?","D","Revisa el procedimiento","Demuestra conocimiento de los productos","Entiende las instrucciones de limpieza","Limpia las superficies de manera eficiente","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la evaluacion continua del aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","En el marco del curso Operacion Segura de Maquinaria para Operadores y Personal, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es un objetivo del establecimiento de resultados de aprendizaje en la capacitacion laboral?","A","Facilitar la evaluacion continua del aprendizaje","Disminuir la cantidad de formadores necesarios","Aumentar las horas de entrenamiento","Mejorar el rendimiento del trabajador a largo plazo","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite a los estudiantes aprender a su propio ritmo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Segun los contenidos desarrollados en el curso Operacion Segura de Maquinaria para Operadores y Personal, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es una de las ventajas del modelo asincrono en el aprendizaje?","C","Proporciona informacion unicamente a traves de conferencias presenciales.","Limita el acceso al contenido educativo solo en horarios especificos.","Permite a los estudiantes aprender a su propio ritmo.","Requiere que todos los estudiantes se conecten al mismo tiempo.","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Guiar y apoyar a los estudiantes durante su aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Con base en el material del curso Operacion Segura de Maquinaria para Operadores y Personal y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: El Tutor IA es una herramienta diseniada principalmente para:","C","Ofrecer contenido educativo de manera estatica y unidireccional.","Reemplazar totalmente a los educadores en el proceso de ensenianza.","Guiar y apoyar a los estudiantes durante su aprendizaje.","Crear examenes de manera automatizada sin necesidad de contexto.","","","","","",""
"multiplechoice","OSMO","C1 Energia Peligro y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La secuencia didactica se refiere al conjunto de actividades y estrategias organizadas que se disenian para facilitar el aprendizaje de un tema especifico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Tomando en cuenta lo estudiado en el curso Operacion Segura de Maquinaria para Operadores y Personal sobre este tema especifico y las buenas practicas descritas en el material, responde: Define que se entiende por secuencia didactica en el contexto educativo.","A","La secuencia didactica se refiere al conjunto de actividades y estrategias organizadas que se disenian para facilitar el aprendizaje de un tema especifico.","La retroalimentacion en un entorno de aprendizaje asincrono es crucial porque permite a los estudiantes recibir guia y clarificacion sobre su desempenio, aun cuando no hay interaccion en tiempo real.","Un verbo medible es aquel que permite evaluar el desempenio a traves de resultados cuantificables, como 'operar' o 'realizar', mientras que un verbo no medible no se puede evaluar c","Un plan de respuesta ante fallas en la maquinaria debe incluir procedimientos claros para la identificacion y evaluacion de la falla, la designacion de roles y responsabilidades en","","","","","",""
"multiplechoice","OSMO","C2 Partes Peligrosas de la Maquina","Yes","¡Correcto! Segun el material del curso, lo correcto es: El grado de dificultad y profundidad de la informacion solicitada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","De acuerdo con los fundamentos presentados en el curso Operacion Segura de Maquinaria para Operadores y Personal, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que caracteriza a los niveles de pregunta en un proceso educativo?","A","El grado de dificultad y profundidad de la informacion solicitada.","El numero de respuestas posibles para una pregunta.","La cantidad de tiempo que un estudiante dedica a responder.","La duracion de la clase donde se evalua.","","","","","",""
"multiplechoice","OSMO","C2 Partes Peligrosas de la Maquina","Yes","¡Correcto! Segun el material del curso, lo correcto es: La retroalimentacion en un entorno de aprendizaje asincrono es crucial porque permite a los estudiantes recibir guia y clarificacion sobre su desempenio, aun cuando no hay interaccion en tiempo real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Considerando el enfoque metodologico del curso Operacion Segura de Maquinaria para Operadores y Personal y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Explique la importancia de la retroalimentacion en un entorno de aprendizaje asincrono.","C","La regla detener-aislar-verificar se compone de tres pasos esenciales que garantizan la seguridad en el entorno de trabajo.","El caso FarmaSeg destaca la importancia de una correcta gestion de atascos y procesos de limpieza.","La retroalimentacion en un entorno de aprendizaje asincrono es crucial porque permite a los estudiantes recibir guia y clarificacion sobre su desempenio, aun cuando no hay interaccion en tiempo real.","Describir que la exposicion se refiere al contacto de los trabajadores con energias peligrosas, lo que puede variar dependiendo del tipo de energia (electrica, termica, mecanica, etc.) y la frecuencia de dicho contacto.","","","","","",""
"multiplechoice","OSMO","C2 Partes Peligrosas de la Maquina","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar habilidades tecnicas especificas para la industria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","En el marco del curso Operacion Segura de Maquinaria para Operadores y Personal, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la finalidad principal de los modulos en el curso?","B","Fomentar actividades recreativas entre los trabajadores.","Desarrollar habilidades tecnicas especificas para la industria.","Mejorar la comunicacion entre diferentes departamentos.","Aprender sobre la historia de la produccion.","","","","","",""
"multiplechoice","OSMO","C2 Partes Peligrosas de la Maquina","Yes","¡Correcto! Segun el material del curso, lo correcto es: Por temas interrelacionados que abordan cada aspecto del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Segun los contenidos desarrollados en el curso Operacion Segura de Maquinaria para Operadores y Personal, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Como se estructuran generalmente los modulos dentro del curso?","D","De manera aleatoria sin un orden especifico.","En sesiones largas y extenuantes que cubren todo el contenido de una vez.","Con un enfoque exclusivo en la teoria sin aplicacion practica.","Por temas interrelacionados que abordan cada aspecto del trabajo.","","","","","",""
"multiplechoice","OSMO","C2 Partes Peligrosas de la Maquina","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los modulos estan diseniados en una secuencia progresiva que comienza con conceptos basicos y avanza hacia habilidades mas complejas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Con base en el material del curso Operacion Segura de Maquinaria para Operadores y Personal y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Describe brevemente la secuencia logica que siguen los modulos en el curso.","B","Los resultados de aprendizaje son enunciados que describen lo que un aprendiz debe saber, hacer y ser al completar una actividad formativa.","Los modulos estan diseniados en una secuencia progresiva que comienza con conceptos basicos y avanza hacia habilidades mas complejas.","La retroalimentacion en un entorno de aprendizaje asincrono es crucial porque permite a los estudiantes recibir guia y clarificacion sobre su desempenio, aun cuando no hay interaccion en tiempo real.","Un escaner es un dispositivo que se utiliza para detectar objetos, personas o peligros en el entorno de trabajo.","","","","","",""
"multiplechoice","OSMO","C2 Partes Peligrosas de la Maquina","Yes","¡Correcto! Segun el material del curso, lo correcto es: Habilidades operativas y conocimientos tecnicos aplicables a su trabajo diario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSMO.","1","Tomando en cuenta lo estudiado en el curso Operacion Segura de Maquinaria para Operadores y Personal sobre este tema especifico y las buenas practicas descritas en el material, responde: Que tipo de contenido se espera que los estudiantes manejen al final del curso?","D","Conocimientos en gestion empresarial y financiero.","Teoria abstracta sin aplicacion practica.","Solo informacion general sobre la industria.","Habilidades operativas y conocimientos tecnicos aplicables a su trabajo diario.","","","","","",""
