"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GFSPE","S1 Normativa Peruana y OIT","Yes","¡Correcto! Segun el material del curso, lo correcto es: El ministerio de trabajo y promocion del empleo que regula y supervisa las condiciones laborales en el ambito nacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","Segun el material del curso, cual es la maxima autoridad en materia de trabajo segun la normativa peruana aplicable a la gestion de la fatiga?","A","El ministerio de trabajo y promocion del empleo que regula y supervisa las condiciones laborales en el ambito nacional","El ministerio de salud que se encarga unicamente de la atencion sanitaria","El instituto nacional de salud dedicado a la investigacion en salud publica","La entidad que determina el precio de los equipos utilizados en la jornada","","","","","",""
"multiplechoice","GFSPE","S2 ICMM Cinco Niveles de Defensa","Yes","¡Correcto! Segun el material del curso, lo correcto es: La participacion comunitaria que no corresponde a los niveles de defensa orientados al control de la fatiga del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","Segun el material del curso, cual de las siguientes opciones no forma parte de los cinco niveles de defensa propuestos en el modelo de gestion del riesgo de fatiga del sector minero?","C","El diseno seguro de los procesos y de los horarios de trabajo","La prevencion de incidentes relacionados con la fatiga del trabajador","La participacion comunitaria que no corresponde a los niveles de defensa orientados al control de la fatiga del trabajador","El control en tiempo real del estado de alerta del trabajador","","","","","",""
"multiplechoice","GFSPE","S3 Circadiano Turnos y Jornadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un limite de doce horas diarias como maximo de referencia dentro del cual deben respetarse los periodos de descanso del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","Segun el material del curso, cual es la jornada maxima de trabajo diaria establecida por la legislacion como referencia en la gestion de la fatiga?","B","Un limite de ocho horas diarias sin ninguna posibilidad de extension","Un limite de doce horas diarias como maximo de referencia dentro del cual deben respetarse los periodos de descanso del trabajador","Un limite de catorce horas diarias que puede aplicarse de forma habitual","Un limite que depende unicamente del precio de los equipos utilizados","","","","","",""
"multiplechoice","GFSPE","S4 Privacion de Sueno y SAOS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es la reduccion del tiempo o la calidad del sueno por debajo de lo necesario que deteriora el estado de alerta y las capacidades del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","Segun el material del curso, cual de las siguientes afirmaciones describe mejor la privacion de sueno en el trabajador expuesto a fatiga?","D","Es un exceso de sueno que mejora el rendimiento del trabajador en su puesto","Es un metodo para determinar el precio de los equipos utilizados en la jornada","Es un procedimiento para establecer el horario de atencion de las oficinas","Es la reduccion del tiempo o la calidad del sueno por debajo de lo necesario que deteriora el estado de alerta y las capacidades del trabajador","","","","","",""
"multiplechoice","GFSPE","S5 Evaluacion y Prevencion Fatiga","Yes","¡Correcto! Segun el material del curso, lo correcto es: En la propension autoevaluada de la persona a quedarse dormida en distintas situaciones cotidianas lo que estima su somnolencia diurna.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","Segun el material del curso, en que se fundamenta el puntaje que se obtiene al aplicar la escala de somnolencia de Epworth a una persona?","A","En la propension autoevaluada de la persona a quedarse dormida en distintas situaciones cotidianas lo que estima su somnolencia diurna","En el precio de los equipos utilizados por la persona durante la jornada","En el horario de atencion de las oficinas administrativas de la empresa","En el consumo de energia de los equipos utilizados durante la jornada","","","","","",""
"multiplechoice","GFSPE","S1 Normativa Peruana y OIT","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ley y el reglamento de seguridad y salud en el trabajo que definen las obligaciones y derechos en materia de prevencion laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","De acuerdo con el material del curso, que documento establece los lineamientos basicos de la seguridad y salud en el trabajo en el pais?","C","El manual de usuario de los equipos elaborado por el fabricante","El catalogo comercial de los productos ofrecidos por la empresa","La ley y el reglamento de seguridad y salud en el trabajo que definen las obligaciones y derechos en materia de prevencion laboral","El registro de asistencia del personal durante su jornada laboral","","","","","",""
"multiplechoice","GFSPE","S2 ICMM Cinco Niveles de Defensa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estructurar la gestion de la fatiga en niveles de defensa que actuan de forma progresiva para prevenir los incidentes asociados a la fatiga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","De acuerdo con el material del curso, cual es el proposito principal del marco de referencia de gestion del riesgo de fatiga del sector minero?","B","Determinar el precio de los equipos utilizados durante la jornada laboral","Estructurar la gestion de la fatiga en niveles de defensa que actuan de forma progresiva para prevenir los incidentes asociados a la fatiga","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","GFSPE","S3 Circadiano Turnos y Jornadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un ciclo biologico de aproximadamente un dia que regula la vigilia el sueno y otras funciones influyendo en el estado de alerta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","De acuerdo con el material del curso, cual de las siguientes afirmaciones describe mejor un ciclo circadiano en el organismo del trabajador?","D","Un periodo fijo que determina el precio de los equipos utilizados","Un horario que establece la atencion de las oficinas administrativas","Un ciclo que reduce el consumo de energia de los equipos utilizados","Un ciclo biologico de aproximadamente un dia que regula la vigilia el sueno y otras funciones influyendo en el estado de alerta","","","","","",""
"multiplechoice","GFSPE","S4 Privacion de Sueno y SAOS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un valor situado en el rango de quince a treinta eventos por hora que corresponde a un grado moderado del trastorno del sueno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","De acuerdo con el material del curso, que valor del indice de apnea e hipopnea por hora suele indicar un grado moderado de este trastorno del sueno?","A","Un valor situado en el rango de quince a treinta eventos por hora que corresponde a un grado moderado del trastorno del sueno","Un valor menor de cinco eventos por hora que se considera normal","Un valor de treinta a cincuenta eventos por hora que indica un grado leve","Un valor que depende unicamente del precio de los equipos utilizados","","","","","",""
"multiplechoice","GFSPE","S5 Evaluacion y Prevencion Fatiga","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejorar los habitos de sueno respetar los descansos y atender los trastornos del sueno que puedan estar afectando su estado de alerta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFSPE.","1","De acuerdo con el material del curso, que accion es recomendable para mejorar los puntajes de somnolencia de un trabajador evaluado?","C","Consumir cafeina de forma continua para reemplazar la necesidad de dormir","Prolongar la jornada laboral para aprovechar los periodos de vigilia","Mejorar los habitos de sueno respetar los descansos y atender los trastornos del sueno que puedan estar afectando su estado de alerta","Determinar el precio de los equipos utilizados durante la jornada laboral","","","","","",""
