"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GCAMB","S1 Fundamentos MOC y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contribuir a accidentes mayores al no controlar los cambios acumulados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso analiza casos historicos que evidencian la importancia de la gestion del cambio. De acuerdo con el material, esos casos demuestran que la ausencia de MOC puede:","A","Contribuir a accidentes mayores al no controlar los cambios acumulados","Reducir el precio de venta de los productos","Mejorar la campana publicitaria","Aumentar las metas comerciales","","","","","",""
"multiplechoice","GCAMB","S2 Flujo del Cambio y Formulario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un nivel de autorizacion mas alto como la aprobacion de un comite de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso presenta la categorizacion de los cambios segun su impacto. De acuerdo con el material, un cambio de mayor impacto suele requerir:","C","Un precio de venta mas elevado","Una campana publicitaria mas amplia","Un nivel de autorizacion mas alto como la aprobacion de un comite de seguridad","Una meta comercial mas ambiciosa","","","","","",""
"multiplechoice","GCAMB","S3 Cambios Temporales y OCM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Puede convertirse en una condicion permanente que introduce riesgos no controlados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso relaciona el cambio temporal con la necesidad de un cierre formal. De acuerdo con el material, si un cambio temporal no se cierra formalmente:","B","Se reduce el precio de venta del producto","Puede convertirse en una condicion permanente que introduce riesgos no controlados","Se amplia la campana publicitaria","Se aumentan las metas de venta","","","","","",""
"multiplechoice","GCAMB","S4 MOC Emergencia PSI y PSSR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las competencias del personal operativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso describe los aspectos que el PSSR debe evaluar antes de reanudar la operacion. De acuerdo con el material, entre esos aspectos se incluye:","D","El precio de venta del producto","El presupuesto de la campana publicitaria","La meta comercial del periodo","Las competencias del personal operativo","","","","","",""
"multiplechoice","GCAMB","S5 Metricas Auditoria y Casos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La existencia de cambios temporales vencidos sin cierre formal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso analiza el caso de una refineria para ilustrar las brechas en la gestion del cambio. De acuerdo con el material, una brecha identificada en ese caso fue:","A","La existencia de cambios temporales vencidos sin cierre formal","La reduccion del precio de venta","La ampliacion de la campana publicitaria","El aumento de las metas de venta","","","","","",""
"multiplechoice","GCAMB","S1 Fundamentos MOC y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer y mantener procedimientos escritos para gestionar los cambios del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso presenta el texto clave de OSHA sobre la gestion del cambio. De acuerdo con el material, el analisis de ese requisito muestra que la norma busca:","C","Fijar los precios de venta de los productos","Coordinar la campana publicitaria","Establecer y mantener procedimientos escritos para gestionar los cambios del proceso","Definir las metas comerciales del periodo","","","","","",""
"multiplechoice","GCAMB","S2 Flujo del Cambio y Formulario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un cambio de impacto moderado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso describe los niveles de impacto en la categorizacion de los cambios. De acuerdo con el material, un cambio de impacto intermedio se clasifica como:","B","Un cambio sin ningun riesgo","Un cambio de impacto moderado","Un cambio orientado a las ventas","Un cambio de la campana publicitaria","","","","","",""
"multiplechoice","GCAMB","S3 Cambios Temporales y OCM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Controlar el cambio temporal y asegurar su reversion o formalizacion oportuna.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso describe los pasos del procedimiento del cambio temporal desde su inicio hasta su cierre. De acuerdo con el material, ese procedimiento busca:","D","Fijar el precio de venta del producto","Disenar la campana publicitaria","Calcular las metas comerciales","Controlar el cambio temporal y asegurar su reversion o formalizacion oportuna","","","","","",""
"multiplechoice","GCAMB","S4 MOC Emergencia PSI y PSSR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los diagramas de tuberia e instrumentacion y las hojas de datos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso relaciona la gestion del cambio con la actualizacion de los documentos tecnicos del proceso. De acuerdo con el material, entre esos documentos que deben actualizarse tras un cambio se encuentran:","A","Los diagramas de tuberia e instrumentacion y las hojas de datos de seguridad","Los catalogos de precios de venta","Los planes de la campana publicitaria","Los listados de metas comerciales","","","","","",""
"multiplechoice","GCAMB","S5 Metricas Auditoria y Casos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acumular cambios sin gestion formal ni control adecuado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso presenta la leccion de Texas City en el contexto de la auditoria de la gestion del cambio. De acuerdo con el material, esa leccion evidencia las consecuencias de:","C","Invertir en exceso en publicidad","Reducir demasiado los precios de venta","Acumular cambios sin gestion formal ni control adecuado","Superar las metas comerciales","","","","","",""
"multiplechoice","GCAMB","S1 Fundamentos MOC y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: No se introducen modificaciones que alteren las condiciones de seguridad del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso explica que el reemplazo identico no requiere una gestion del cambio formal. De acuerdo con el material, esto se debe a que en el reemplazo identico:","B","Se reduce el precio de venta del equipo","No se introducen modificaciones que alteren las condiciones de seguridad del proceso","Se amplia la campana publicitaria","Se aumentan las metas de venta","","","","","",""
"multiplechoice","GCAMB","S2 Flujo del Cambio y Formulario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar el nivel de control y autorizacion que requiere cada cambio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso resalta la importancia de clasificar adecuadamente los cambios segun su impacto. De acuerdo con el material, esa clasificacion adecuada permite:","D","Fijar el precio de venta del producto","Disenar la campana publicitaria","Calcular las metas comerciales","Identificar el nivel de control y autorizacion que requiere cada cambio","","","","","",""
"multiplechoice","GCAMB","S3 Cambios Temporales y OCM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evitar que la sobrecarga del personal genere riesgos para la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso senala que el cambio organizacional tambien afecta la carga laboral del personal. De acuerdo con el material, evaluar el impacto en la carga laboral busca:","A","Evitar que la sobrecarga del personal genere riesgos para la seguridad","Fijar el precio de venta del producto","Ampliar la campana publicitaria","Aumentar las metas de venta del periodo","","","","","",""
"multiplechoice","GCAMB","S4 MOC Emergencia PSI y PSSR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Antes de reanudar la operacion luego de un cambio significativo en el proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso explica cuando debe aplicarse la revision de seguridad previa al arranque en relacion con un cambio. De acuerdo con el material, el PSSR se aplica:","C","Solo despues de un incidente comercial","Unicamente al cierre del ejercicio fiscal","Antes de reanudar la operacion luego de un cambio significativo en el proceso","Cuando se lanza la campana publicitaria","","","","","",""
"multiplechoice","GCAMB","S5 Metricas Auditoria y Casos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y controlar los riesgos derivados de las modificaciones del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso relaciona la gestion del cambio con la gestion de la seguridad de procesos en el caso de la refineria. De acuerdo con el material, el MOC es un proceso clave para:","B","Fijar el precio de venta de los productos","Identificar y controlar los riesgos derivados de las modificaciones del proceso","Disenar la campana publicitaria","Calcular las metas comerciales del periodo","","","","","",""
"multiplechoice","GCAMB","S1 Fundamentos MOC y OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Procedimientos operativos y condiciones del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso describe los tipos de cambio que pueden presentarse en un proceso. De acuerdo con el material, esos cambios pueden abarcar modificaciones de equipos, tecnologia y:","D","Precios de venta de los productos","Campanas publicitarias de la empresa","Metas comerciales del periodo","Procedimientos operativos y condiciones del proceso","","","","","",""
"multiplechoice","GCAMB","S2 Flujo del Cambio y Formulario","Yes","¡Correcto! Segun el material del curso, lo correcto es: A las autoridades pertinentes y al equipo de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso describe el tratamiento de un cambio clasificado como de impacto critico. De acuerdo con el material, un cambio de impacto critico debe reportarse:","A","A las autoridades pertinentes y al equipo de gestion","Al area de fijacion de precios","Al departamento de publicidad","A la fuerza de ventas del periodo","","","","","",""
"multiplechoice","GCAMB","S3 Cambios Temporales y OCM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Preservar la competencia y la informacion critica del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso explica que la gestion del cambio organizacional debe atender el conocimiento y la comunicacion. De acuerdo con el material, cuidar el conocimiento y la comunicacion durante un cambio organizacional permite:","C","Fijar el precio de venta del producto","Disenar la campana de mercadeo","Preservar la competencia y la informacion critica del proceso","Calcular las metas comerciales del ano","","","","","",""
"multiplechoice","GCAMB","S4 MOC Emergencia PSI y PSSR","Yes","¡Correcto! Segun el material del curso, lo correcto es: El proceso y los sistemas esten en condiciones seguras para operar tras el cambio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCAMB.","1","El material del curso describe que verifica la revision de seguridad previa al arranque. De acuerdo con el material, el PSSR verifica que:","B","El precio de venta sea competitivo","El proceso y los sistemas esten en condiciones seguras para operar tras el cambio","La campana publicitaria este aprobada","Las metas de venta se hayan cumplido","","","","","",""
