"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GRIES","S1 Principios ISO 31000 y Marco","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un enfoque holistico para la gestion de riesgos que permita alcanzar los objetivos organizacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","Segun el material del curso, cual es el principal objetivo del marco de gestion de riesgos definido por el modelo COSO ERM dentro del enfoque integral de la gestion de riesgos de una organizacion?","A","Proporcionar un enfoque holistico para la gestion de riesgos que permita alcanzar los objetivos organizacionales","Sustituir la evaluacion de riesgos por controles automaticos","Eliminar la necesidad de identificar los riesgos","Reducir la comunicacion sobre los riesgos","","","","","",""
"multiplechoice","GRIES","S2 Contexto y Criterios de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La tolerancia al riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","Segun el material del curso, que concepto se refiere a la capacidad de una organizacion para soportar perdidas sin que su operacion se vea gravemente afectada dentro de la gestion del riesgo?","C","El apetito de mercado","La popularidad del producto","La tolerancia al riesgo","La rentabilidad financiera","","","","","",""
"multiplechoice","GRIES","S3 Tecnicas de Identificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de modo y efecto de fallo conocido como FMEA.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","Segun el material del curso, cual de las siguientes tecnicas de identificacion y analisis de riesgos forma parte de las tecnicas descritas por la norma IEC 31010 dentro de la gestion del riesgo de la organizacion?","B","El estado de resultados contable","El analisis de modo y efecto de fallo conocido como FMEA","La encuesta de satisfaccion del cliente","El catalogo comercial de productos","","","","","",""
"multiplechoice","GRIES","S4 Analisis y Evaluacion PI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La probabilidad y el impacto del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","Segun el material del curso, en la matriz PI utilizada para el analisis de riesgos, que representan respectivamente las letras P e I dentro de la valoracion de los riesgos identificados en la organizacion?","D","El precio y el inventario del producto","El personal y la infraestructura","El plazo y la inversion del proyecto","La probabilidad y el impacto del riesgo","","","","","",""
"multiplechoice","GRIES","S5 Tratamiento Monitoreo y KRI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La sustitucion del elemento que genera el riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","Segun el material del curso, dentro de la jerarquia de controles aplicada al tratamiento del riesgo, cual de los siguientes se considera un metodo altamente efectivo para gestionar los riesgos en la organizacion?","A","La sustitucion del elemento que genera el riesgo","El uso exclusivo de senalizacion","La aceptacion pasiva del riesgo","La rotacion del personal expuesto","","","","","",""
"multiplechoice","GRIES","S1 Principios ISO 31000 y Marco","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque proactivo que incluye a todas las partes interesadas de manera continua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","De acuerdo con el material del curso, que caracteriza la forma en que el modelo COSO ERM aborda la comunicacion respecto a la gestion de riesgos dentro de una organizacion comprometida con la mejora continua?","C","Una comunicacion aislada y esporadica","La ausencia total de comunicacion","Un enfoque proactivo que incluye a todas las partes interesadas de manera continua","Una comunicacion unicamente al final del proceso","","","","","",""
"multiplechoice","GRIES","S2 Contexto y Criterios de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: El nivel de riesgo que una organizacion esta dispuesta a aceptar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","De acuerdo con el material del curso, como se define el apetito de riesgo dentro del establecimiento de los criterios de riesgo de una organizacion que gestiona su incertidumbre conforme a la norma ISO 31000?","B","El nivel de riesgo que se debe eliminar por completo","El nivel de riesgo que una organizacion esta dispuesta a aceptar","La cantidad de productos vendidos","El precio de los servicios ofrecidos","","","","","",""
"multiplechoice","GRIES","S3 Tecnicas de Identificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporciona una vision amplia de posibles eventos futuros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","De acuerdo con el material del curso, que aporta el analisis de escenarios dentro del conjunto de tecnicas de la norma IEC 31010 aplicadas a la identificacion y el analisis del riesgo en una organizacion responsable?","D","Elimina la incertidumbre por completo","Sustituye la evaluacion de los riesgos","Reduce la identificacion de los riesgos","Proporciona una vision amplia de posibles eventos futuros","","","","","",""
"multiplechoice","GRIES","S4 Analisis y Evaluacion PI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para analizar la variabilidad y la incertidumbre en los resultados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","De acuerdo con el material del curso, para que se utiliza principalmente la simulacion de Monte Carlo dentro de la evaluacion de riesgos de una organizacion que aplica el analisis cuantitativo conforme a la norma IEC 31010?","A","Para analizar la variabilidad y la incertidumbre en los resultados","Para eliminar por completo la incertidumbre","Para sustituir la identificacion de riesgos","Para reducir la calidad del analisis","","","","","",""
"multiplechoice","GRIES","S5 Tratamiento Monitoreo y KRI","Yes","¡Correcto! Segun el material del curso, lo correcto es: El riesgo que permanece despues de aplicar los controles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRIES.","1","De acuerdo con el material del curso, a que se refiere el concepto de riesgo residual dentro del tratamiento del riesgo de una organizacion que gestiona su incertidumbre conforme al enfoque de la norma ISO 31000?","C","El riesgo antes de aplicar cualquier control","El riesgo que se elimina por completo","El riesgo que permanece despues de aplicar los controles","El riesgo que carece de cualquier impacto","","","","","",""
