"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que los informes documentan que la mayoria de los incendios catastroficos post-trabajo en caliente iniciaron 30 a 90 minutos despues del fin visible del trabajo, en zonas sin Fire Watch.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el Fire Watch (vigia de fuego) es la barrera final contra el incendio posterior al trabajo en caliente. Que documentan repetidamente los informes citados sobre los incendios catastroficos post-trabajo?","A","Que la mayoria iniciaron 30 a 90 minutos DESPUES del fin visible del trabajo","Que ocurrieron siempre durante el trabajo","Que nunca ocurren","Que ocurren solo antes de empezar","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que NFPA 51B establece 30 minutos como minimo absoluto post-trabajo, recomendando 60 minutos para situaciones de mayor riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material establece el tiempo minimo de Fire Watch posterior al trabajo. Cual es segun NFPA 51B en el curso?","B","10 minutos minimo","30 minutos como minimo absoluto, con 60 minutos recomendado para mayor riesgo","5 minutos","2 horas obligatorias siempre","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que el Fire Watch debe estar dedicado exclusivamente a la vigilancia, sin tareas concurrentes: no leer, no usar telefono, no ejecutar otros trabajos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el Fire Watch debe estar dedicado exclusivamente a la vigilancia, sin tareas concurrentes. Cual de las siguientes conductas prohibe el curso?","C","Tener un extintor a mano","Vigilar el area","Leer, usar el telefono o ejecutar otros trabajos","Ordenar la suspension","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que se recomiendan 60 minutos para situaciones de mayor riesgo como trabajo en estructuras con combustibles ocultos, areas con polvo combustible o trabajo en altura con chispas en caida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe las situaciones que justifican un Fire Watch post-trabajo de 60 minutos. Cual de las siguientes menciona el curso?","D","Trabajo en un area vacia y limpia","Trabajo a nivel del suelo sin combustibles","Trabajo de corta duracion","Trabajo en estructuras con combustibles ocultos o areas con polvo combustible","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que algunas operaciones criticas aplican Fire Watch de 4 horas o monitoreo electronico continuo (camaras termicas) para hot work de mayor riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, en operaciones criticas como refinerias o plantas petroquimicas, el Fire Watch puede extenderse mucho mas. Que menciona el curso?","A","Fire Watch de 4 horas o monitoreo electronico continuo con camaras termicas","Fire Watch de 5 minutos","No se requiere Fire Watch","Solo vigilancia visual sin equipo","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material agrupa el equipamiento minimo en cuatro funciones: deteccion (medidor multigas), ventilacion (ventiladores y conductos), proteccion personal (EPI y proteccion respiratoria) y rescate (tripode, arnes, linea de vida, comunicacion).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe el equipamiento minimo para la entrada a un espacio confinado que requiere permiso, agrupado en cuatro funciones. Cuales son segun el curso?","B","Comida, agua, radio y luz","Deteccion, ventilacion, proteccion personal y rescate","Limpieza, pintura, sellado y secado","Transporte, almacenaje, registro y firma","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que un medidor descalibrado, un ventilador averiado o un tripode ausente invalidan la entrada, porque dejan sin cobertura una funcion critica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, que ocurre si el equipamiento de entrada esta defectuoso, por ejemplo un medidor descalibrado o un tripode ausente?","C","No afecta la entrada","Solo retrasa el trabajo","Invalida la entrada, porque deja sin cobertura una funcion critica","Se reemplaza por experiencia","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que OSHA 1910.146 obliga a un intercambio de informacion: la empresa anfitriona informa de los peligros conocidos y sus reglas, y la contratista aplica su programa y comunica de vuelta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material explica la coordinacion cuando el trabajo en espacios confinados lo ejecutan contratistas externos. Que obliga la norma OSHA 1910.146 segun el curso?","D","A no compartir informacion","A que el contratista trabaje solo","A ignorar los peligros","A un intercambio de informacion entre la empresa anfitriona y la contratista sobre los peligros conocidos","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que el Fire Watch debe ser una persona distinta del Operator, dedicada exclusivamente a la vigilancia de fuego.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, en el sistema de roles del hot work existe una separacion funcional importante. Que rol debe ser distinto y dedicado exclusivamente segun el curso?","A","El Fire Watch (vigia de fuego), distinto del Operator y dedicado exclusivamente a la vigilancia","El PAI, que ademas suelda","El contratista, que ademas vigila","El operario, que ademas autoriza","","","","","",""
"multiplechoice","ECF","S3 Permisos y Roles del Sistema","Yes","¡Correcto! El material indica que los campos del Hot Work Permit se organizan en cinco secciones, incluyendo la de identificacion (numero de permiso, ubicacion, descripcion del trabajo, tipo de hot work y vigencia).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material menciona que el permiso de trabajo en caliente organiza sus campos obligatorios en cinco secciones. Cual de las siguientes es una de esas secciones segun el curso?","B","Seccion de marketing","Seccion de identificacion (numero de permiso, ubicacion, descripcion, tipo, vigencia)","Seccion de ventas","Seccion de recursos humanos","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que el arco electrico libera de forma subita una enorme cantidad de energia en forma de calor, luz intensa, presion (arc blast) y proyeccion de metal fundido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el arco electrico (arc flash) es una descarga de energia. Que libera de forma subita segun el curso?","C","Solo un poco de humo","Solo sonido","Una enorme cantidad de energia en forma de calor, luz intensa, presion (arc blast) y proyeccion de metal fundido","Solo vapor de agua","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que las medidas incluyen trabajar sin tension siempre que sea posible (desenergizar y aplicar LOTO), mantener distancias de seguridad y usar EPI especifico contra arco segun la NFPA 70E.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe las medidas de control frente al riesgo de arco electrico. Cual de las siguientes menciona el curso?","A","Trabajar sin tension siempre que sea posible (desenergizar y aplicar LOTO) y usar EPI especifico contra arco","Trabajar siempre con tension","Acercarse lo maximo posible","Prescindir del EPI","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que se deben seguir procedimientos como los de la NFPA 70E, usando EPI con nivel de proteccion adecuado a la energia incidente calculada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, la norma NFPA 70E se relaciona con el riesgo de arco electrico. Que aporta segun el curso?","D","Requisitos de cilindros de gas","Diseno de tanques","Clasificacion de residuos","Procedimientos para evaluar y controlar el riesgo de arco y seleccionar EPI segun la energia incidente","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que en espacios confinados con peligro de descarga electrica el voltaje en circuito abierto es de maximo 32 voltios en corriente alterna o 100 voltios en corriente continua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe el requisito de voltaje en circuito abierto para soldadura por arco en espacios confinados con peligro de descarga. Cual es segun el curso?","B","Sin limite","Maximo 32 voltios en corriente alterna o 100 voltios en corriente continua","Minimo 500 voltios","Exactamente 220 voltios","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que el cable de retorno debe conectarse lo mas cerca posible de la pieza, nunca a estructuras compartidas como tuberias, edificio o cables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el cable de retorno (work clamp) de la soldadura por arco tiene una regla de conexion. Cual es segun el curso?","C","Conectarlo a cualquier tuberia","Conectarlo al edificio","Conectarlo lo mas cerca posible de la pieza, nunca a estructuras compartidas","Dejarlo sin conectar","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que un filtro insuficiente causa quemadura de retina y cataratas, mientras que un filtro excesivo produce mala visibilidad y defectos de soldadura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material aborda la seleccion del filtro optico de la pantalla de soldadura. Que ocurre con un filtro insuficiente segun el curso?","A","Quemadura de retina y cataratas","Mejor visibilidad","Mayor velocidad de soldadura","Ningun efecto","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que los cilindros deben almacenarse verticales, sujetos con cadena o correa antidesplome, y el acetileno nunca en posicion horizontal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el manejo de cilindros oxiacetilenicos tiene requisitos de posicion. Como deben almacenarse los cilindros segun el curso?","D","Horizontales sin sujecion","Boca abajo","Apilados unos sobre otros","Verticales, sujetos con cadena o correa antidesplome; el acetileno nunca horizontal","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que el acetileno nunca debe estar horizontal porque la acetona del medio poroso podria salir y descomponerse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material explica por que el acetileno nunca debe almacenarse en posicion horizontal. Cual es la razon segun el curso?","B","Porque se enfria","Porque la acetona del medio poroso podria salir y descomponerse","Porque pesa mas","Porque cambia de color","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que la distancia entre cilindros de oxigeno y de combustible en almacen debe ser de al menos 20 pies (6 metros) o una pared cortafuego de determinada altura y resistencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, existe una distancia minima de almacenamiento entre cilindros de oxigeno y de combustible. Cual es segun OSHA en el curso?","C","1 metro","3 metros","20 pies (6 metros) o una pared cortafuego","50 metros","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que la deteccion de fugas se hace con solucion jabonosa o detector electronico, nunca con llama.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe como detectar fugas en el sistema oxiacetilenico. Que metodo indica y cual prohibe segun el curso?","D","Con la mano; nunca con jabon","Con el olfato; nunca con detector","Con fuego; nunca con agua","Con solucion jabonosa o detector electronico; nunca con llama","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que nunca debe usarse acetileno por encima de 15 psi (aproximadamente 1 bar) en ningun punto del sistema, por riesgo de descomposicion violenta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el acetileno es un gas termodinamicamente inestable a ciertas presiones. Que regla establece el curso sobre su presion de uso?","A","Nunca debe usarse acetileno por encima de 15 psi en ningun punto del sistema","Debe usarse a 50 psi","No tiene limite de presion","Solo se usa a 100 psi","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que los cilindros de acetileno contienen un medio poroso saturado de acetona disuelta que estabiliza el gas a mayor presion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material explica por que los cilindros de acetileno contienen un medio poroso saturado de acetona. Cual es la razon segun el curso?","B","Para darle color","Para estabilizar el gas a mayor presion","Para reducir su peso","Para aumentar su temperatura","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que el backfire ocurre cuando la velocidad de gases en la antorcha es menor que la velocidad de propagacion de llama, causando que la llama salte hacia atras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, el backfire (retroceso de llama) ocurre por una condicion. Cual es segun el curso?","C","Exceso de oxigeno en el ambiente","Falta de electrodo","Cuando la velocidad de gases en la antorcha es menor que la velocidad de propagacion de llama, haciendo que la llama salte hacia atras","Una tension electrica alta","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que el flashback es un backfire que se propaga por las mangueras hacia el regulador y eventualmente al cilindro, pudiendo causar explosion catastrofica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe el flashback (retroceso prolongado) en sistemas oxiacetilenicos. Que lo caracteriza segun el curso?","D","Es inofensivo","Solo apaga la antorcha","Enfria el sistema","Es un backfire que se propaga por las mangueras hacia el regulador y el cilindro, pudiendo causar explosion catastrofica","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que los reguladores deben tener manometros de alta y baja presion y valvulas de retencion antirretorno (flashback arrestor) en antorcha y regulador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, los reguladores del sistema oxiacetilenico deben tener dispositivos de seguridad. Cual menciona el curso?","A","Valvulas de retencion antirretorno (flashback arrestor) en antorcha y regulador","Ningun dispositivo","Solo un manometro decorativo","Una llama piloto","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que las mangueras son verdes para el oxigeno y rojas para el acetileno, con conectores de rosca diferenciada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe el codigo de colores de las mangueras del sistema oxiacetilenico. Cuales son segun el curso?","B","Azul para oxigeno, amarillo para acetileno","Verde para oxigeno, roja para acetileno","Negra para oxigeno, blanca para acetileno","Roja para oxigeno, verde para acetileno","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que los combustibles ocultos son materiales no visibles desde el punto de trabajo: aislamiento termico oculto, cableado electrico en cielorrasos, residuos en drenajes, polvo acumulado o residuos de aceite.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, los combustibles ocultos son el peligro principal en muchos incendios posteriores al trabajo en caliente. Cuales son segun el curso?","C","Combustibles visibles en la mesa","Materiales bien senalizados","Materiales no visibles desde el punto de trabajo, como aislamiento oculto, cableado en cielorrasos o residuos en drenajes","Extintores mal ubicados","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que la inspeccion pre-trabajo debe incluir levantamiento de paneles, inspeccion de drenajes y busqueda activa de combustibles ocultos, porque la sola inspeccion visual del entorno inmediato es insuficiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material indica como debe ser la inspeccion previa al trabajo en caliente respecto a los combustibles ocultos. Que exige segun el curso?","D","Solo una inspeccion visual del entorno inmediato","No inspeccionar nada","Confiar en la experiencia","Levantamiento de paneles, inspeccion de drenajes y busqueda activa de combustibles ocultos, ya que la inspeccion visual es insuficiente","","","","","",""
"multiplechoice","ECF","S4 Soldadura Arco y Oxiacetilenica","Yes","¡Correcto! El material indica que la soldadura por arco electrico genera arco con temperaturas muy altas, radiacion ultravioleta e infrarroja intensa, humos metalicos y riesgos electricos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, la soldadura por arco electrico genera varios riesgos ademas del arco. Cual de los siguientes menciona el curso?","A","Radiacion ultravioleta e infrarroja intensa y humos metalicos","Solo ruido","Solo frio","Solo vibracion","","","","","",""
