"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Comprender y aplicar normativas de seguridad en el contexto costarricense.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","En el marco del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo principal de este curso de seguridad industrial?","A","Comprender y aplicar normativas de seguridad en el contexto costarricense","Adquirir habilidades de liderazgo en la gestion de riesgos","Desarrollar tecnicas de ventas en el sector industrial","Aprender sobre la historia de la seguridad industrial","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion y gestion de riesgos en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun los contenidos desarrollados en el curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que aspecto del curso se relaciona mas con la implementacion de un sistema de gestion HSE/SST?","C","La elaboracion de informes financieros","La realizacion de auditorias de ventas","La identificacion y gestion de riesgos en el trabajo","La planificacion de actividades recreativas en planta","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificacion de riesgos y procedimientos de evacuacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cual de los siguientes es un componente clave de un plan de emergencia segun el curso?","B","El plan de marketing de la empresa","Identificacion de riesgos y procedimientos de evacuacion","Las ofertas de productos de la empresa","La gerencia de recursos humanos","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar un programa de formacion en normas de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Tomando en cuenta lo estudiado en el curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de los siguientes resultados de aprendizaje es mas relevante para un supervisor en seguridad industrial?","D","Reducir costos sin considerar la seguridad","Establecer un programa de incentivos para empleados","Realizar auditorias financieras anuales","Implementar un programa de formacion en normas de seguridad","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los resultados de aprendizaje son fundamentales para identificar y mitigar peligros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cual es la conexion entre los resultados de aprendizaje y la evaluacion de riesgo en la industria?","B","Ambos conceptos son independientes en el ambito laboral","Los resultados de aprendizaje son fundamentales para identificar y mitigar peligros","Los resultados de aprendizaje no influyen en la evaluacion de riesgos","Los resultados de aprendizaje solo son relevantes en la capacitacion inicial","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar la formacion continua y la concienciacion sobre seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cual de las siguientes estrategias es la mas eficaz para garantizar el cumplimiento de las normas de seguridad en un equipo de trabajo?","D","Realizar inspecciones periodicas sin aviso previo","Delegar unicamente a un responsable la gestion de la seguridad","Establecer consecuencias duras para los incumplimientos","Fomentar la formacion continua y la concienciacion sobre seguridad","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Foros de discusion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cual de los siguientes recursos es fundamental en un entorno e-learning para fomentar la interaccion entre los participantes?","A","Foros de discusion","Video grabaciones unidireccionales","Articulos PDF","Presentaciones en PowerPoint","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Auto-regulacion y motivacion personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun los contenidos desarrollados en el curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el estudio autonomo, que caracteristica es clave para el exito del aprendizaje en un entorno e-learning?","C","Supervision constante por parte de un instructor","Interacciones frecuentes en tiempo real","Auto-regulacion y motivacion personal","Materiales exclusivamente en video","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecimiento de metas de aprendizaje claras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cuando se habla de dinamicas de estudio autonomo, cual de las siguientes estrategias se considera mas efectiva?","C","Dependencia total de guias y manuales","Revision pasiva del material","Establecimiento de metas de aprendizaje claras","Minimizar el tiempo de estudio para optimizar resultados","","","","","",""
"multiplechoice","SICCR","C1 Fundamentos Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Entender las diferentes normativas nacionales e internacionales que rigen la seguridad industrial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cual es el objetivo principal del bloque tematico de 'Legislacion y Normativas de Seguridad' en el curso?","A","Entender las diferentes normativas nacionales e internacionales que rigen la seguridad industrial.","Desarrollar habilidades en la gestion del tiempo.","Aumentar la produccion mediante la reduccion de costos.","Mejorar las competencias sociales del equipo de trabajo.","","","","","",""
"multiplechoice","SICCR","C2 Peligro Riesgo y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Gestion de Riesgos y Prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: Cual de los siguientes bloques tematicos se enfoca en la identificacion y evaluacion de riesgos laborales?","A","Gestion de Riesgos y Prevencion.","Auditoria Interna de Seguridad.","Capacitacion y Entrenamiento.","Ergonomia y Salud Ocupacional.","","","","","",""
"multiplechoice","SICCR","C2 Peligro Riesgo y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Dinamicas de grupo y estudios de caso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, responde con precision: En el curso, que enfoque se utiliza para fomentar la participacion activa durante las sesiones?","C","Metodo expositivo sin interaccion.","Debates unilaterales sobre normativas.","Dinamicas de grupo y estudios de caso.","Conferencias de especialistas sin retroalimentacion.","","","","","",""
"multiplechoice","SICCR","C2 Peligro Riesgo y Evaluacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cualquier objeto, accion o situacion que pueda causar danio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICCR.","1","En el marco del curso Seguridad Industrial y Cumplimiento Normativo - Costa Rica, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes opciones describe mejor la definicion de un peligro en el contexto industrial?","B","Un procedimiento de trabajo que reduce el riesgo asociado a un producto.","Cualquier objeto, accion o situacion que pueda causar danio.","Una caracteristica de un quimico que permite su manejo seguro.","Una senial que indica donde se encuentran los equipos de seguridad.","","","","","",""
