"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MCSST","S1 Funciones del Comite SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Corregir las condiciones inseguras identificadas en el centro de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","En el marco de las funciones descritas en el curso, el Comite de Seguridad y Salud en el Trabajo puede recomendar medidas correctivas, cuya finalidad principal consiste en lograr cual mejora dentro del centro de labores?","A","Corregir las condiciones inseguras identificadas en el centro de trabajo","Incrementar la produccion sin considerar los riesgos","Reducir la plantilla de personal para bajar costos fijos","Ampliar la publicidad de los productos en el mercado","","","","","",""
"multiplechoice","MCSST","S2 Composicion Titulares y Suplentes","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un proceso de eleccion en el que los trabajadores eligen a sus representantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Segun el material del curso, los representantes de los trabajadores en el Comite de Seguridad y Salud en el Trabajo acceden a dicha condicion principalmente mediante cual mecanismo que legitima su designacion dentro de la organizacion?","C","La designacion directa por parte de la gerencia general","La compra del cargo mediante un aporte economico","Un proceso de eleccion en el que los trabajadores eligen a sus representantes","La rotacion automatica sin ninguna eleccion previa","","","","","",""
"multiplechoice","MCSST","S3 Quorum Actas y Formalidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que la sesion pueda desarrollarse y adoptar acuerdos de forma valida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Segun el material del curso, un aspecto critico de la formalidad de las reuniones del Comite de Seguridad y Salud en el Trabajo consiste en verificar el quorum al inicio de la sesion, con el fin principal de asegurar cual condicion del acto?","B","Que la sesion se realice sin ningun registro escrito","Que la sesion pueda desarrollarse y adoptar acuerdos de forma valida","Que asistan clientes externos a la reunion del comite","Que la sesion defina los precios de venta al publico","","","","","",""
"multiplechoice","MCSST","S4 Estructura Multicentro Subcomites","Yes","¡Correcto! Segun el material del curso, lo correcto es: La existencia de criterios contradictorios entre los distintos centros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Segun el material del curso, la coherencia entre las decisiones del comite central y las acciones de los subcomites en una estructura multicentro es clave principalmente para evitar cual problema en la gestion preventiva de la organizacion?","D","La mejora de las condiciones de seguridad de cada centro","La participacion de los trabajadores en cada subcomite","La coordinacion efectiva entre los centros de trabajo","La existencia de criterios contradictorios entre los distintos centros","","","","","",""
"multiplechoice","MCSST","S5 Proceso Electoral del Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conducir y supervisar el desarrollo del proceso electoral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Segun el material del curso, la principal funcion de la Junta Electoral en el proceso de eleccion del Comite de Seguridad y Salud en el Trabajo consiste en encargarse principalmente de cual tarea que asegura el desarrollo ordenado de la eleccion?","A","Conducir y supervisar el desarrollo del proceso electoral","Definir los precios de venta de los productos de la empresa","Administrar las planillas de remuneraciones del personal","Seleccionar a los proveedores de insumos de la empresa","","","","","",""
"multiplechoice","MCSST","S1 Funciones del Comite SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los representantes del empleador y los representantes de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Tal como senala el material, el Comite de Seguridad y Salud en el Trabajo funciona como un organo paritario, lo cual significa principalmente que su composicion busca equilibrar la representacion de cuales partes?","C","Los clientes y los proveedores comerciales de la empresa","Los accionistas y los competidores del mismo sector","Los representantes del empleador y los representantes de los trabajadores","Las autoridades estatales y las aseguradoras privadas","","","","","",""
"multiplechoice","MCSST","S2 Composicion Titulares y Suplentes","Yes","¡Correcto! Segun el material del curso, lo correcto es: La designacion por parte del empleador dentro de la representacion paritaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Conforme al contenido del curso, los representantes del empleador en el Comite de Seguridad y Salud en el Trabajo acceden a dicha condicion principalmente mediante cual via, dentro del caracter paritario que caracteriza a este organo?","B","La eleccion secreta realizada por los clientes externos","La designacion por parte del empleador dentro de la representacion paritaria","El sorteo entre los proveedores de insumos de la empresa","La postulacion abierta de personas ajenas a la empresa","","","","","",""
"multiplechoice","MCSST","S3 Quorum Actas y Formalidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La falta de evidencia sobre el funcionamiento y los acuerdos del comite.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Conforme al contenido del curso, la ausencia de actas formales o su deficiente elaboracion en el Comite de Seguridad y Salud en el Trabajo puede generar principalmente cual dificultad al momento de acreditar el cumplimiento preventivo de la empresa?","D","La mejora automatica de las condiciones de seguridad","El aumento de las ventas comerciales del periodo","La reduccion de los tributos a cargo de la empresa","La falta de evidencia sobre el funcionamiento y los acuerdos del comite","","","","","",""
"multiplechoice","MCSST","S4 Estructura Multicentro Subcomites","Yes","¡Correcto! Segun el material del curso, lo correcto es: Consolidar la informacion preventiva y unificar los lineamientos comunes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Conforme al contenido del curso, los subcomites en una organizacion multicentro reportan al comite central con la finalidad principal de que este pueda cumplir cual funcion integradora dentro del sistema de gestion preventiva del conjunto?","A","Consolidar la informacion preventiva y unificar los lineamientos comunes","Consolidar las ventas comerciales de todos los centros","Unificar los precios de venta de todos los productos","Centralizar las campanas publicitarias de la marca","","","","","",""
"multiplechoice","MCSST","S5 Proceso Electoral del Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su actuacion imparcial y libre de influencias sobre el proceso electoral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MCSST.","1","Conforme al contenido del curso, la independencia de la Junta Electoral en el proceso de eleccion del Comite de Seguridad y Salud en el Trabajo se garantiza principalmente mediante cual condicion que refuerza la imparcialidad de su actuacion?","C","Su dependencia directa de los intereses comerciales del negocio","Su subordinacion a las metas de venta de la empresa","Su actuacion imparcial y libre de influencias sobre el proceso electoral","Su designacion por los clientes externos de la empresa","","","","","",""
