"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Constitucion es la norma suprema, seguida por las leyes federales, reglamentaciones y normas tecnicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes afirmaciones describe mejor la jerarquia de las normas en el contexto brasilenio?","A","La Constitucion es la norma suprema, seguida por las leyes federales, reglamentaciones y normas tecnicas.","Las normas sectoriales prevalecen siempre sobre las normas generales.","Las normas NR tienen el mismo nivel jerarquico que las leyes estatales.","Las normas de seguridad y salud en el trabajo (SST) deben ser interpretadas a la luz de la legislacion municipal exclusivamente.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La NR-3 establece directrices para la prohibicion de actividades, mientras que la NR-28 se enfoca en la fiscalizacion del cumplimiento de las normas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal diferencia entre la NR-28 y la NR-3 en relacion a su aplicacion?","C","La NR-3 se ocupa de las condiciones de trabajo, mientras que la NR-28 se centra en la capacitacion de los trabajadores.","La NR-28 incluye sanciones administrativas, mientras que la NR-3 no contempla ninguna sancion.","La NR-3 establece directrices para la prohibicion de actividades, mientras que la NR-28 se enfoca en la fiscalizacion del cumplimiento de las normas.","Ambas normas se enfocan en la evaluacion de riesgo, pero la NR-3 es mas exhaustiva.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La evaluacion se realiza ante la identificacion de irregularidades y en funcion de criterios preestablecidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Con base en el material del curso Especialista en Aplicacion y Evaluacion de las Normas y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que aspecto fundamental se considera en la fiscalizacion de las normas NR?","B","La fiscalizacion se basa unicamente en denuncias de los trabajadores.","La evaluacion se realiza ante la identificacion de irregularidades y en funcion de criterios preestablecidos.","El cumplimiento de las normas NR se verifica solo una vez al anio.","La intervencion de organismos competentes se realiza sin necesidad de justificacion previa.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: El peligro es una fuente de danio, mientras que el riesgo es la probabilidad de que ese danio ocurra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de las Normas sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de las siguientes afirmaciones define correctamente la diferencia entre peligro y riesgo?","D","El riesgo no se puede evaluar sin identificar el peligro primero.","El peligro siempre implica un riesgo bajo.","El riesgo es lo que se debe evitar, mientras que el peligro debe ser controlado.","El peligro es una fuente de danio, mientras que el riesgo es la probabilidad de que ese danio ocurra.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Sustitucion de un proceso peligroso por uno seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Dentro de la jerarquia de controles, cual de los siguientes representa la medida mas efectiva para eliminar riesgos?","B","Implementacion de equipos de proteccion personal.","Sustitucion de un proceso peligroso por uno seguro.","Formacion continua de trabajadores en seguridad.","Senializacion de areas de riesgo.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizando las tareas, procesos y operaciones donde se aplicara la norma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Como deberia un profesional SST evaluar el campo de aplicacion de una norma de seguridad especifica?","D","Identificando los peligros presentes en el lugar de trabajo y su gravedad.","Consultando unicamente la opinion de los trabajadores.","Solo aplicando la norma en lugares con altos indices de accidentes.","Analizando las tareas, procesos y operaciones donde se aplicara la norma.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion y evaluacion continua de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes aspectos es fundamental para la implementacion efectiva del GRO?","A","La identificacion y evaluacion continua de riesgos","El cumplimiento estricto de normativas sin ajuste a contextos","La elaboracion de un plan de accion generalizado","La documentacion de procedimientos sin seguimiento","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y priorizar situaciones de riesgo para crear estrategias adecuadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto del PGR, cual es el objetivo principal del inventario de riesgos?","C","Registrar el historial medico de trabajadores para asegurar su salud","Ser una lista estatica que no requiere actualizaciones","Identificar y priorizar situaciones de riesgo para crear estrategias adecuadas","Contener informacion sobre todos los empleados de la empresa","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: El proceso del GRO es un enfoque dinamico y continuo que implica la identificacion, evaluacion y gestion de riesgos en el lugar de trabajo, mientras que el PGR es un documento espe.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Con base en el material del curso Especialista en Aplicacion y Evaluacion de las Normas y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Describa la diferencia entre el proceso del GRO y el documento del PGR.","C","Clasificar los equipos a presion es esencial para establecer un correcto manejo de riesgos, definir los criterios de mantenimiento y regulacion a seguir, y asegurar que los equipos","Como la medicion de contaminantes es esencial para identificar riesgos y proteger la salud de los trabajadores, mencionando el papel de la NR-9 en establecer estandares de medicion y limites de accion.","El proceso del GRO es un enfoque dinamico y continuo que implica la identificacion, evaluacion y gestion de riesgos en el lugar de trabajo, mientras que el PGR es un documento espe","Las medidas de proteccion deben ser adecuadas a los riesgos identificados, es decir, deben ser especificas para cada tipo de maquina y su contexto de operacion.","","","","","",""
"multiplechoice","EAE-NR","C1 Sistema Normativo NR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Significa que se debe adaptar y ajustar segun la evolucion de los riesgos y las condiciones laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAE-NR.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de las Normas sobre este tema especifico y las buenas practicas descritas en el material, responde: Que significa que el proceso de GRO sea continuo?","A","Significa que se debe adaptar y ajustar segun la evolucion de los riesgos y las condiciones laborales","Representa la creacion de un informe anual sobre riesgos","Implica la repeticion del mismo procedimiento sin modificaciones","Es un proceso que solo se revisa una vez al anio","","","","","",""
