"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CPSO","S1 Naturaleza Paritaria y Normativa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite conformar y operar el comite conforme a lo exigido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que aporta comprender el marco normativo de referencia antes de iniciar la conformacion del comite paritario de seguridad y salud en el trabajo","A","Permite conformar y operar el comite conforme a lo exigido","Permite prescindir de la eleccion de miembros","Permite sustituir las reuniones por informes","Permite excluir a los trabajadores del proceso","","","","","",""
"multiplechoice","CPSO","S2 Composicion y Alternancia Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite abordar temas especificos con grupos dedicados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que ventaja ofrece contar con subcomites frente a concentrar todos los temas en el comite principal dentro de una organizacion de gran tamano","C","Permite prescindir del comite principal","Permite reducir la representacion paritaria","Permite abordar temas especificos con grupos dedicados","Permite eliminar la evaluacion de riesgos","","","","","",""
"multiplechoice","CPSO","S3 Eleccion Convocatoria y Actas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La representacion legitima elegida por los propios trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que principio se protege al garantizar que la eleccion de los representantes de los trabajadores sea directa y no delegada en la organizacion","B","La designacion unilateral por parte del empleador","La representacion legitima elegida por los propios trabajadores","La rotacion automatica sin votacion alguna","La exclusion de los trabajadores del proceso","","","","","",""
"multiplechoice","CPSO","S4 Atribuciones y Reuniones Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: La convocatoria adecuada respalda la validez de la reunion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que relacion existe entre la convocatoria y la validez de una reunion ordinaria del comite paritario de seguridad y salud en el trabajo","D","La convocatoria impide la realizacion de la reunion","La convocatoria sustituye la toma de decisiones","La convocatoria se elabora despues de la reunion","La convocatoria adecuada respalda la validez de la reunion","","","","","",""
"multiplechoice","CPSO","S5 Inspecciones Registro SUT y Mejora","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establece las reglas de funcionamiento del comite paritario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que rol cumple el reglamento del comite dentro de los documentos requeridos para el registro en el sistema unico de trabajo de la organizacion","A","Establece las reglas de funcionamiento del comite paritario","Fija los precios de venta de los productos","Reemplaza el acta de constitucion del comite","Sustituye la lista de miembros electos","","","","","",""
"multiplechoice","CPSO","S1 Naturaleza Paritaria y Normativa","Yes","¡Correcto! Segun el material del curso, lo correcto es: La paridad respalda la legitimidad de las decisiones adoptadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que relacion existe entre la naturaleza paritaria del comite y la legitimidad de sus decisiones frente a trabajadores y empleadores de la organizacion","C","La paridad debilita la validez de las decisiones","La paridad impide que el comite tome decisiones","La paridad respalda la legitimidad de las decisiones adoptadas","La paridad solo aplica a las reuniones informales","","","","","",""
"multiplechoice","CPSO","S2 Composicion y Alternancia Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Preservar el equilibrio y la naturaleza paritaria del comite.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que se busca al mantener el mismo numero de representantes de cada parte a lo largo de la vigencia del comite paritario de la organizacion","B","Facilitar la mayoria de la parte empleadora","Preservar el equilibrio y la naturaleza paritaria del comite","Reducir progresivamente el numero de miembros","Concentrar la representacion en un solo grupo","","","","","",""
"multiplechoice","CPSO","S3 Eleccion Convocatoria y Actas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Elaborar el acta que documenta los resultados de la eleccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que debe ocurrir una vez concluida la votacion para dejar constancia formal de los representantes electos del comite paritario de la organizacion","D","Iniciar una nueva convocatoria de inmediato","Anular los resultados de la votacion realizada","Designar a otros miembros al margen del voto","Elaborar el acta que documenta los resultados de la eleccion","","","","","",""
"multiplechoice","CPSO","S4 Atribuciones y Reuniones Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que los temas relevantes se aborden de forma ordenada y completa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que busca garantizar la estructura de una reunion ordinaria basada en una agenda definida dentro del comite paritario de la organizacion","A","Que los temas relevantes se aborden de forma ordenada y completa","Que la reunion carezca de temas definidos","Que se prolongue sin llegar a acuerdos","Que se excluya a una parte del comite","","","","","",""
"multiplechoice","CPSO","S5 Inspecciones Registro SUT y Mejora","Yes","¡Correcto! Segun el material del curso, lo correcto es: Corregir a tiempo las condiciones inseguras detectadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSO.","1","Que busca lograr la aplicacion oportuna de acciones correctivas dentro del ciclo de mejora de la seguridad y salud en el trabajo de la organizacion","C","Postergar la correccion hasta el proximo ano","Registrar los riesgos sin intervenir sobre ellos","Corregir a tiempo las condiciones inseguras detectadas","Trasladar la correccion a un organismo externo","","","","","",""
