"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! Un espacio confinado se caracteriza porque, por su diseno y condiciones de operacion, dificulta la entrada y la salida segura, no por ser solo un lugar cerrado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Segun el material, que caracteriza a un espacio confinado mas alla de ser simplemente un lugar cerrado en operaciones de alto riesgo?","A","Que por su diseno y condiciones dificulta la entrada y la salida segura","Que siempre tiene buena ventilacion","Que carece de cualquier tipo de riesgo","Que solo se usa para almacenamiento","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! El primer paso para prevenir exposiciones es reconocer las sustancias peligrosas leyendo etiquetas, identificando pictogramas y evaluando el contexto de uso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","De acuerdo con el documento, cual es el primer paso para prevenir exposiciones a sustancias peligrosas en el trabajo de acuerdo con lo expuesto en el contenido tecnico del curso?","B","Aumentar la produccion del turno","Reconocer las sustancias peligrosas mediante etiquetas, pictogramas y contexto de uso","Eliminar las etiquetas de los envases","Reducir la ventilacion del area","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! La caida en altura se trata como riesgo grave porque la gravedad actua todo el tiempo y, a mayor distancia de caida, mas energia se acumula y mas severa puede ser la consecuencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Segun el material, por que una caida en altura se trata como un riesgo grave y no ocasional conforme a lo desarrollado en el material de estudio de la unidad?","C","Porque siempre ocurre en horario nocturno","Porque solo afecta a personal sin experiencia","Porque la gravedad hace que, a mayor distancia, se acumule mas energia y la consecuencia pueda ser severa","Porque no requiere ninguna medida de control","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! Los pictogramas aportan una senal visual rapida del peligro principal de la sustancia quimica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Conforme al documento, que informacion aportan los pictogramas en el reconocimiento de una sustancia peligrosa tal como se explica en el contenido teorico presentado en el curso?","D","El precio del producto quimico","La cantidad exacta almacenada","El nombre comercial del fabricante","Una senal visual rapida del peligro principal de la sustancia","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! Al reconocer una sustancia peligrosa trabajan juntas tres capas: la etiqueta, los pictogramas y el contexto operativo de uso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Segun el material, que tres capas de informacion trabajan juntas al reconocer una sustancia peligrosa en su envase segun la informacion tecnica desarrollada a lo largo del material?","A","La etiqueta, los pictogramas y el contexto operativo de uso","El precio, la marca y el proveedor","El color, el peso y el tamano","La fecha, el lote y el codigo de barras","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! Para determinar si un espacio es confinado se evaluan tres ejes: el acceso limitado, la ventilacion desfavorable y la posibilidad de atmosferas peligrosas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","De acuerdo con el documento, que tres ejes suelen evaluarse para determinar si un espacio se considera confinado de acuerdo con los conceptos presentados en el contenido de la unidad?","B","El costo, el tamano y la antiguedad","El acceso limitado, la ventilacion desfavorable y la posibilidad de atmosferas peligrosas","El color, la iluminacion y la temperatura","El numero de operarios, el turno y el horario","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! Los incidentes en espacios confinados ocurren durante el ingreso, la permanencia y el rescate porque combinan acceso limitado, atmosferas peligrosas y dificultad para abandonar el lugar rapidamente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Segun el material, por que muchos incidentes en espacios confinados ocurren durante el ingreso, la permanencia y el rescate de acuerdo con lo expuesto en el contenido tecnico del curso?","C","Porque esas actividades son las mas economicas","Porque no requieren ninguna preparacion","Porque combinan acceso limitado, atmosferas peligrosas y dificultad para salir rapidamente","Porque solo ocurren en horario diurno","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! A mayor distancia hasta el punto de recepcion, mas energia se acumula en la caida y mas severa puede ser la consecuencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Conforme al documento, que ocurre con la energia acumulada en una caida a medida que aumenta la distancia hasta el punto de recepcion?","D","Disminuye la energia acumulada","La energia no cambia","La caida deja de ser peligrosa","Se acumula mas energia y la consecuencia puede ser mas severa","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! El objetivo practico de reconocer una sustancia peligrosa es pasar de reconocer a prevenir, reduciendo la probabilidad de exposicion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","Segun el material, cual es el objetivo practico de reconocer una sustancia peligrosa a partir de la informacion del envase?","A","Pasar de reconocer a prevenir, reduciendo la probabilidad de exposicion","Aumentar el consumo de la sustancia","Eliminar la ventilacion del area","Reducir el numero de etiquetas","","","","","",""
"multiplechoice","SIEA","SE1 Fundamentos y Gestion de Riesgos","Yes","¡Correcto! El contexto operativo aporta como, donde y por cuanto tiempo se usa la sustancia, por ejemplo si hay atomizacion, salpicaduras o manipulacion en area ventilada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIEA.","1","De acuerdo con el documento, que aporta el contexto operativo al reconocimiento de una sustancia peligrosa conforme a lo desarrollado en el material de estudio de la unidad?","B","El precio de compra de la sustancia","Como, donde y por cuanto tiempo se usa, por ejemplo si hay atomizacion o salpicaduras","El nombre del proveedor","El color del envase","","","","","",""
