"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar la peligrosidad de sustancias en caso de emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","En el marco del curso Identificacion NFPA 704 y Comunicacion en Emergencia, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal del sistema NFPA 704?","A","Identificar la peligrosidad de sustancias en caso de emergencias","Regular la circulacion de substancias en el comercio","Clasificar las instalaciones industriales por tamanio","Establecer protocolos de evacuacion en edificios","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: El grado de peligrosidad y la naturaleza del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun los contenidos desarrollados en el curso Identificacion NFPA 704 y Comunicacion en Emergencia, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que informacion se transmite a traves de los colores del NFPA 704?","C","El tiempo estimado de respuesta ante emergencias","Las medidas de seguridad recomendadas para su manejo","El grado de peligrosidad y la naturaleza del riesgo","El volumen de la sustancia almacenada en una instalacion","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Rojo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Con base en el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que color en el codigo NFPA 704 representa un riesgo de inflamabilidad?","B","Azul","Rojo","Verde","Amarillo","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los verbos medibles se utilizan para evaluar adecuadamente el desempenio y las competencias en el area de seguridad quimica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Cual de las siguientes opciones describe mejor la relacion entre los verbos medibles y las acciones profesionales en el ambito de la seguridad quimica?","D","Los verbos medibles son irrelevantes para la practica profesional en seguridad quimica.","Los verbos medibles son simplemente una formalidad en la documentacion de procesos profesionales.","Los verbos medibles solo se aplican en contextos academicos y no en el entorno profesional.","Los verbos medibles se utilizan para evaluar adecuadamente el desempenio y las competencias en el area de seguridad quimica.","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para garantizar que los profesionales dispongan de las competencias necesarias y puedan actuar de forma efectiva ante situaciones de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","De acuerdo con los fundamentos presentados en el curso Identificacion NFPA 704 y Comunicacion en Emergencia, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Por que es importante definir resultados de aprendizaje claros en el ambito de HSE?","B","Para poder realizar auditorias de forma mas rapida y sin necesidad de planificacion.","Para garantizar que los profesionales dispongan de las competencias necesarias y puedan actuar de forma efectiva ante situaciones de riesgo.","Porque los resultados de aprendizaje solo sirven como un requisito para las certificaciones.","Para reducir los costos de las formaciones en seguridad y salud en el trabajo.","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Monitorear.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Cual es un ejemplo de un verbo medible que se puede utilizar en la creacion de indicadores de desempenio en la logistica de quimicos?","D","Gestionar","Organizar","Promover","Monitorear","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promueve el aprendizaje autoadministrado y flexible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","En el marco del curso Identificacion NFPA 704 y Comunicacion en Emergencia, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la caracteristica principal de la metodologia del curso?","A","Promueve el aprendizaje autoadministrado y flexible.","Utiliza unicamente recursos didacticos en formato papel.","Requiere la asistencia a sesiones presenciales obligatorias.","Se centra en la ensenianza tradicional del contenido a traves de conferencias.","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: La autodisciplina y gestion del tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun los contenidos desarrollados en el curso Identificacion NFPA 704 y Comunicacion en Emergencia, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que habilidad se considera fundamental para aprovechar al maximo el caracter autoadministrado del curso?","C","La necesidad de interaccion constante con el docente.","La capacidad de memorizar informacion.","La autodisciplina y gestion del tiempo.","La habilidad para realizar examenes en grupo.","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluaciones practicas y aplicadas que reflejan la realidad profesional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Con base en el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que tipo de evaluaciones se utilizan para medir el aprendizaje en esta metodologia?","C","Evaluaciones basadas en proyectos grupales sin retroalimentacion.","Evaluaciones orales realizadas al final del curso solamente.","Evaluaciones practicas y aplicadas que reflejan la realidad profesional.","Evaluaciones exclusivamente teoricas, a traves de examenes escritos.","","","","","",""
"multiplechoice","INCE","C1 Finalidad del Rombo NFPA 704","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar habilidades especificas para la gestion de riesgos en seguridad quimica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Tomando en cuenta lo estudiado en el curso Identificacion NFPA 704 y Comunicacion en Emergencia sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el objetivo principal del bloque de competencias en el curso?","A","Desarrollar habilidades especificas para la gestion de riesgos en seguridad quimica.","Facilitar la formacion general en ciencias ambientales.","Incrementar el conocimiento sobre la legislacion ambiental.","Promover el uso de tecnologias en logistica de productos quimicos.","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollo de un plan de respuesta a emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: En el contexto del curso, cual de las siguientes actividades es fundamental para la comprension de la cadena de suministro de productos quimicos?","A","Desarrollo de un plan de respuesta a emergencias.","Capacitacion en la interpretacion de etiquetas quimicas.","Monitoreo de la calidad del agua en zonas industriales.","Evaluacion del riesgo de accidentes quimicos en el transporte.","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacidad para realizar un analisis de riesgo y determinar la seguridad en el manejo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Cual de los siguientes aspectos es considerado un indicador clave de competencia en gestion de materiales peligrosos?","C","Conocimiento de los formatos de reportes de inventario.","Habilidad para formular politicas de seguridad laboral.","Capacidad para realizar un analisis de riesgo y determinar la seguridad en el manejo.","Capacidad para negociar los precios de productos quimicos.","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la identificacion y comunicacion de riesgos relacionados con materiales peligrosos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","En el marco del curso Identificacion NFPA 704 y Comunicacion en Emergencia, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal proposito del sistema NFPA 704?","B","Crear normas para el manejo de explosivos.","Facilitar la identificacion y comunicacion de riesgos relacionados con materiales peligrosos.","Regular la temperatura de almacenamiento de sustancias quimicas.","Establecer protocolos de desecho de residuos quimicos.","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Azul.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun los contenidos desarrollados en el curso Identificacion NFPA 704 y Comunicacion en Emergencia, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En la clasificacion NFPA, que color representa el riesgo de salud?","D","Verde","Amarillo","Rojo","Azul","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: El material se inflama facilmente a temperaturas superiores a 93 C.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Con base en el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que indica un numero 1 en la categoria de inflamabilidad en el sistema NFPA 704?","B","El material puede arder en condiciones normales.","El material se inflama facilmente a temperaturas superiores a 93 C.","El material se considera altamente inflamable a temperaturas menores a 40 C.","El material es no inflamable bajo ninguna circunstancia.","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estabilidad y confianza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Cual de las siguientes opciones describe mejor el significado psicologico del color azul en el contexto de la seguridad quimica?","D","Agresividad y peligro","Euforia y energia","Confusion y caos","Estabilidad y confianza","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Azul celeste.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: En la escala de colores, que tono de azul se asocia comunmente con la proteccion y el cuidado en situaciones de manejo de quimicos?","A","Azul celeste","Azul hielo","Azul cobalto","Azul marino","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Naranja.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Que color complementario se suele utilizar junto al azul para mejorar la visibilidad y el entendimiento en entornos de trabajo quimicos?","C","Rojo","Verde","Naranja","Amarillo","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Representa un peligro inminente y requiere atencion inmediata.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Cual de las siguientes afirmaciones describe mejor la funcion del color rojo en la identificacion de sustancias quimicas peligrosas?","C","Es utilizado para indicar sustancias que son completamente inofensivas.","Su funcion es meramente decorativa en el etiquetado.","Representa un peligro inminente y requiere atencion inmediata.","Indica la presencia de productos altamente combustibles que no requieren cuidado especial.","","","","","",""
"multiplechoice","INCE","C2 Campos y Colores del Rombo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mayor riesgo y necesidad de accion urgente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: En la escala de colores utilizada en la gestion de riesgos, que representa el color rojo en comparacion con otros colores como el amarillo o el verde?","A","Mayor riesgo y necesidad de accion urgente.","Condiciones de bajo riesgo donde no se requieren precauciones especiales.","Condiciones de seguridad estables y controladas.","Necesidad de informes para mejorar la gestion ambiental.","","","","","",""
"multiplechoice","INCE","C3 Escalas de Valores 0 a 4","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acidos corrosivos como el acido sulfurico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Dentro de la clasificacion de productos quimicos, cual de las siguientes sustancias frecuentemente se etiqueta con el color rojo?","A","Acidos corrosivos como el acido sulfurico.","Compuestos organicos volatiles en bajas concentraciones.","Detergentes y jabones para uso domestico.","Sustancias neutras como el agua destilada.","","","","","",""
"multiplechoice","INCE","C3 Escalas de Valores 0 a 4","Yes","¡Correcto! Segun el material del curso, lo correcto es: Refleja un nivel de reactividad que requiere vigilancia controlada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Tomando en cuenta lo estudiado en el curso Identificacion NFPA 704 y Comunicacion en Emergencia sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el significado del campo amarillo en la evaluacion de reactividad quimica?","C","Se refiere a la necesidad de equipo de proteccion personal basico.","Indica una reactividad minima y seguridad en el manejo.","Refleja un nivel de reactividad que requiere vigilancia controlada.","Significa que no se requiere monitoreo adicional por parte del personal.","","","","","",""
"multiplechoice","INCE","C3 Escalas de Valores 0 a 4","Yes","¡Correcto! Segun el material del curso, lo correcto es: Moderado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: En el sistema de evaluacion de reactividad, que nivel de reactividad se asigna a una sustancia que puede reaccionar con el agua pero no lo hara violentamente?","B","Bajo","Moderado","Critico","Alto","","","","","",""
"multiplechoice","INCE","C3 Escalas de Valores 0 a 4","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mezclas quimicas que reaccionan a temperatura ambiente sin peligro inmediato.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Considerando el enfoque metodologico del curso Identificacion NFPA 704 y Comunicacion en Emergencia y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual de los siguientes ejemplos representa una sustancia que podria clasificarse en el campo amarillo?","D","Sustancias que son altamente corrosivas y afectan materiales vivos.","Sustancias que son explosivas bajo condiciones normales.","Compuestos estables que son inertes.","Mezclas quimicas que reaccionan a temperatura ambiente sin peligro inmediato.","","","","","",""
"multiplechoice","INCE","C3 Escalas de Valores 0 a 4","Yes","¡Correcto! Segun el material del curso, lo correcto es: Peligro: actor toxico o cancerigeno potencial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso INCE.","1","Segun el material del curso Identificacion NFPA 704 y Comunicacion en Emergencia, responde con precision: Cual de los siguientes simbolos del campo blanco indica una condicion de peligro potencial elevado en el manejo de quimicos?","B","Cuidado: material quimico sensible a la temperatura extrema","Peligro: actor toxico o cancerigeno potencial","Precaucion: mantenga alejado de fuentes de ignicion","Inocuo: manejo sin riesgos","","","","","",""
