"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IPR","S1 Conceptos Peligro Riesgo y Actos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una fuente, situacion o acto con potencial para causar dano en terminos de lesion o enfermedad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","Segun el material del curso, que definicion describe mejor el concepto de peligro conforme a la norma ISO 45001:2018 y la GTC-45 de Colombia?","A","Una fuente, situacion o acto con potencial para causar dano en terminos de lesion o enfermedad","La probabilidad de que un trabajador reciba un aumento salarial","El color asignado a la senalizacion de un area determinada","El horario en que se ejecuta una tarea dentro de la planta","","","","","",""
"multiplechoice","IPR","S2 Modelo Queso Suizo y Barreras","Yes","¡Correcto! Segun el material del curso, lo correcto es: James Reason, psicologo organizacional britanico, en su libro Human Error publicado en 1990.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","Segun el material del curso, quien introdujo el Modelo del Queso Suizo en 1990 y en que obra presento por primera vez este enfoque de la seguridad?","C","Herbert Heinrich en su piramide de accidentes de 1931","Frank Bird en su estudio de cuasi-accidentes de 1969","James Reason, psicologo organizacional britanico, en su libro Human Error publicado en 1990","Sidney Dekker en su concepto de cultura justa de 2017","","","","","",""
"multiplechoice","IPR","S3 Observacion Preventiva OPS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una tecnica estructurada de identificacion temprana de actos y condiciones inseguras mediante la observacion intencional, sistematica y rutinaria del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","Segun el material del curso, que es la Observacion Preventiva de Seguridad (OPS) dentro de las tecnicas de identificacion temprana de riesgos en el trabajo?","B","Un metodo para calcular el salario de los trabajadores observados","Una tecnica estructurada de identificacion temprana de actos y condiciones inseguras mediante la observacion intencional, sistematica y rutinaria del trabajo","Un esquema de colores para senalizar las areas de la planta","Un calendario para programar el horario de los turnos","","","","","",""
"multiplechoice","IPR","S4 Categorias y Reconocer lo Positivo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La distincion entre actos inseguros, que son conductas de las personas, y condiciones inseguras, que son estados del entorno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","Segun el material del curso, cual es la distincion fundamental que estructura la clasificacion de las observaciones de seguridad dentro de un programa de observacion preventiva?","D","La distincion entre el salario alto y el salario bajo del personal","La distincion entre los colores de la senalizacion de cada area","La distincion entre los turnos de manana y de tarde","La distincion entre actos inseguros, que son conductas de las personas, y condiciones inseguras, que son estados del entorno","","","","","",""
"multiplechoice","IPR","S5 Reporte Formal y Cultura Justa","Yes","¡Correcto! Segun el material del curso, lo correcto es: El conjunto de pasos estandarizados que transforma una observacion en una accion correctiva verificada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","Segun el material del curso, que es el proceso formal de reporte dentro del sistema de identificacion y reporte de peligros en el lugar de trabajo?","A","El conjunto de pasos estandarizados que transforma una observacion en una accion correctiva verificada","El calculo del salario del personal que realiza el reporte","El esquema de colores de la senalizacion de la planta","El calendario que programa el horario de los turnos","","","","","",""
"multiplechoice","IPR","S1 Conceptos Peligro Riesgo y Actos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La combinacion de la probabilidad de que ocurra un suceso peligroso y la severidad de las lesiones o enfermedades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","El material define el concepto de riesgo conforme a ISO 45001 y GTC-45. Como se entiende el riesgo dentro de la identificacion y el reporte de peligros segun el curso?","C","El costo economico total de reparar una maquina averiada","El numero de trabajadores presentes en el area de trabajo","La combinacion de la probabilidad de que ocurra un suceso peligroso y la severidad de las lesiones o enfermedades","El tiempo que dura una jornada laboral en la instalacion","","","","","",""
"multiplechoice","IPR","S2 Modelo Queso Suizo y Barreras","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las fallas o deficiencias en los sistemas de seguridad de cada barrera de defensa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","El material explica el Modelo del Queso Suizo mediante capas de defensa. Que representan los agujeros de las capas dentro de este modelo segun el curso?","B","Los aciertos y fortalezas del sistema de seguridad","Las fallas o deficiencias en los sistemas de seguridad de cada barrera de defensa","El salario asignado a cada barrera de proteccion","El color con que se representa cada capa del modelo","","","","","",""
"multiplechoice","IPR","S3 Observacion Preventiva OPS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que los humanos somos mas eficaces para identificar riesgos mediante la observacion intencional del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","El material indica que la OPS se apoya en una premisa sobre la capacidad humana. Cual es esa premisa que fundamenta la observacion preventiva segun el curso?","D","Que los humanos no pueden identificar ningun riesgo sin instrumentos","Que la observacion define el salario del trabajador observado","Que la observacion establece el color de la senalizacion","Que los humanos somos mas eficaces para identificar riesgos mediante la observacion intencional del trabajo","","","","","",""
"multiplechoice","IPR","S4 Categorias y Reconocer lo Positivo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estructurar el reporte y analizar tendencias a partir de las observaciones registradas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","El material explica por que se clasifican las observaciones en categorias. Que permite clasificar las observaciones de seguridad en categorias estandar segun el curso?","A","Estructurar el reporte y analizar tendencias a partir de las observaciones registradas","Calcular el salario del personal observado en cada categoria","Definir el color de la senalizacion de cada categoria","Programar el horario de trabajo de cada categoria","","","","","",""
"multiplechoice","IPR","S5 Reporte Formal y Cultura Justa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que ningun reporte se pierda y que cada observacion derive en una accion correctiva verificada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IPR.","1","El material sostiene que un buen proceso de reporte cumple ciertas garantias. Que garantiza un proceso formal de reporte bien disenado segun el curso?","C","Que se calcule el salario del personal que reporta","Que se defina el color de la senalizacion de cada reporte","Que ningun reporte se pierda y que cada observacion derive en una accion correctiva verificada","Que se programe el horario del personal que reporta","","","","","",""
