"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RPS","S1 Proposito Perfiles y Modalidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un tutor con inteligencia artificial integrado en la plataforma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","El acompanamiento del participante se apoya en un asistente dentro de la plataforma. Que recurso de apoyo guia al estudiante durante su avance por los modulos segun el material del curso?","A","Un tutor con inteligencia artificial integrado en la plataforma","Un supervisor presencial en cada sesion diaria","Un examen unico sin ningun tipo de guia","Un manual impreso enviado por correo postal","","","","","",""
"multiplechoice","RPS","S2 Resultados y Verbos de Accion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso real de lo aprendido para mejorar el desempeno en SST.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","La transferencia del aprendizaje al puesto de trabajo es una meta formativa. Que representa la transferencia de las capacidades adquiridas al entorno laboral segun el material del curso?","C","El olvido progresivo de lo aprendido","La repeticion del curso sin aplicarlo","El uso real de lo aprendido para mejorar el desempeno en SST","La sustitucion del trabajo por el estudio","","","","","",""
"multiplechoice","RPS","S3 Registro en Plataforma SUT MDT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para acreditar que el profesional cuenta con la formacion requerida en SST.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","El proceso de registro requiere evidencias de formacion. Por que se solicitan evidencias de capacitacion al registrar al profesional SST segun lo indicado en el material del curso?","B","Para aumentar el costo del tramite de registro","Para acreditar que el profesional cuenta con la formacion requerida en SST","Para retrasar el proceso sin motivo tecnico","Para reemplazar la verificacion de la identidad","","","","","",""
"multiplechoice","RPS","S4 Validacion y Actualizacion MDT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Primero se registra y valida y luego se actualiza ante cambios relevantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","El proceso de registro combina varias etapas hasta su cierre. En que orden se relacionan el registro, la validacion y la actualizacion segun lo indicado en el material del curso practico?","D","Primero se actualiza y despues se registra","La validacion ocurre despues de la actualizacion final","El registro se completa sin validacion previa","Primero se registra y valida y luego se actualiza ante cambios relevantes","","","","","",""
"multiplechoice","RPS","S5 Gestion SST y Cultura Preventiva","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los peligros presentes en el entorno laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","La identificacion de peligros precede a la evaluacion de riesgos. Cual es el primer paso del analisis de riesgos en la gestion de SST segun lo indicado en el material del curso practico?","A","Identificar los peligros presentes en el entorno laboral","Comprar equipos nuevos de inmediato","Sancionar al trabajador involucrado","Cerrar el area sin analisis previo","","","","","",""
"multiplechoice","RPS","S1 Proposito Perfiles y Modalidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el registro respalda su rol y habilita su actuacion formal en SST.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","Los profesionales SST cumplen funciones especificas dentro de las organizaciones. Por que es relevante que responsables y tecnicos SST se capaciten en el registro oficial segun el curso?","C","Porque reemplaza la necesidad de experiencia previa","Porque elimina sus responsabilidades legales","Porque el registro respalda su rol y habilita su actuacion formal en SST","Porque les permite evitar cualquier evaluacion","","","","","",""
"multiplechoice","RPS","S2 Resultados y Verbos de Accion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para asegurar que la formacion responda a las funciones que el profesional debera cumplir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","Los resultados de aprendizaje se alinean con las necesidades del rol SST. Por que es importante que los objetivos del curso se relacionen con las tareas reales del profesional SST?","B","Para aumentar el numero de modulos del curso","Para asegurar que la formacion responda a las funciones que el profesional debera cumplir","Para dificultar el proceso de evaluacion","Para separar la teoria de la practica laboral","","","","","",""
"multiplechoice","RPS","S3 Registro en Plataforma SUT MDT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Con el Ministerio de Trabajo o autoridad laboral competente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","El SUT se encuentra vinculado a la autoridad laboral competente. Con que entidad se relaciona el registro en el SUT segun lo indicado en el material del curso practico de registro SST?","D","Con una empresa privada de publicidad","Con una entidad financiera internacional","Con un proveedor de servicios turisticos","Con el Ministerio de Trabajo o autoridad laboral competente","","","","","",""
"multiplechoice","RPS","S4 Validacion y Actualizacion MDT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evita que se registren perfiles que no corresponden a la persona real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","La verificacion de identidad evita registros fraudulentos. Que riesgo previene la validacion de la identidad del solicitante segun lo indicado en el material del curso practico de registro?","A","Evita que se registren perfiles que no corresponden a la persona real","Evita que el profesional actualice sus datos","Impide que la autoridad acceda al sistema","Reduce la calidad de la informacion registrada","","","","","",""
"multiplechoice","RPS","S5 Gestion SST y Cultura Preventiva","Yes","¡Correcto! Segun el material del curso, lo correcto es: La participacion de todos los niveles en la prevencion de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPS.","1","La cultura preventiva involucra a toda la organizacion. Que caracteriza a una organizacion con una cultura preventiva solida segun lo indicado en el material del curso practico de SST?","C","La concentracion de la seguridad en una sola persona","La ausencia de reportes de incidentes","La participacion de todos los niveles en la prevencion de riesgos","La priorizacion de la produccion sobre la salud","","","","","",""
