"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar una comprension critica de la seguridad y el cumplimiento normativo en las operaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","En el marco del curso Seguridad Industrial y Cumplimiento Normativo - Peru, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo del curso para profesionales en sectores de alto riesgo?","A","Fomentar una comprension critica de la seguridad y el cumplimiento normativo en las operaciones.","Desarrollar habilidades tecnicas especificas para operar maquinaria pesada.","Incrementar la eficiencia operativa mediante tecnicas de reduccion de costos.","Proporcionar formacion sobre la gestion de recursos humanos en empresas grandes.","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Elaborar estrategias para prevenir accidentes y gestionar riesgos en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: En el contexto de operaciones industriales en Peru, que capacidad se espera que los estudiantes desarrollen a lo largo del curso?","C","Capacitar a equipos en tecnologias de la informacion.","Diseniar proyectos de infraestructura impactantes para la comunidad.","Elaborar estrategias para prevenir accidentes y gestionar riesgos en el trabajo.","Implementar planes de marketing digital para mejorar la visibilidad de la empresa.","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: La importancia de los conocimientos previos y la experiencia laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Con base en el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que aspecto del curso se enfoca en la secuenciacion del aprendizaje?","B","El uso de simulaciones de software para la creacion de modelos.","La importancia de los conocimientos previos y la experiencia laboral.","La educacion a distancia como unica modalidad de entrega del contenido.","El desarrollo de proyectos de infraestructura como evaluacion final.","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: Cual de los siguientes verbos medibles se relaciona mas estrechamente con la capacidad de analisis y evaluacion de riesgos en un entorno profesional de alto riesgo?","D","Ejecutar","Administrar","Implementar","Identificar","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la reduccion de incidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: En el contexto de un curso sobre seguridad y salud en el trabajo, cual de los siguientes criterios de logro esta mas relacionado con la efectividad de las acciones preventivas?","B","Valorar la satisfaccion del trabajador","Evaluar la reduccion de incidentes","Supervisar la implementacion de medidas","Planificar auditorias internas","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Crear.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: Cual de los siguientes verbos es el mas adecuado para describir el proceso de crear un plan de accion ante emergencias?","D","Informar","Analizar","Monitorear","Crear","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la evaluacion del desempenio estudiantil.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: Cual es el objetivo principal de utilizar verbos de accion en los resultados de aprendizaje en un curso de ingenieria?","A","Facilitar la evaluacion del desempenio estudiantil","Describir teorias ingenieriles","Fomentar la creatividad en el disenio","Aumentar la carga academica del curso","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promueve la interaccion a traves de plataformas virtuales y recursos multimedia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: Cual de las siguientes afirmaciones describe mejor la modalidad e-learning en contextos de alta seguridad, como en el sector HSE/SST?","C","Se limita a la visualizacion de videos sin apoyo adicional.","Se basa unicamente en la lectura de documentos digitales.","Promueve la interaccion a traves de plataformas virtuales y recursos multimedia.","No permite la retroalimentacion del instructor.","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reforzar el aprendizaje a traves de actividades practicas y simulaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Con base en el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Los recursos interactivos en un curso e-learning son utilizados para:","C","Sustituir la necesidad de asistencia fisica en el aula.","Modificar el contenido de los documentos del curso.","Reforzar el aprendizaje a traves de actividades practicas y simulaciones.","Exclusivamente para presentar pruebas teoricas.","","","","","",""
"multiplechoice","SICPE","C1 Marco Legal e Inocuidad Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite a los profesionales formarse sin restricciones de horario y lugar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Tomando en cuenta lo estudiado en el curso Seguridad Industrial y Cumplimiento Normativo - Peru sobre este tema especifico y las buenas practicas descritas en el material, responde: Que ventaja ofrece la modalidad e-learning en terminos de flexibilidad en entornos de trabajo de alto riesgo?","A","Permite a los profesionales formarse sin restricciones de horario y lugar.","Limita la interaccion entre companieros.","Exige la asistencia fisica a un aula tradicional.","Se basa exclusivamente en materiales impresos.","","","","","",""
"multiplechoice","SICPE","C2 Control Operacional y Barreras","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar una introduccion a los conceptos de seguridad en operaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","De acuerdo con los fundamentos presentados en el curso Seguridad Industrial y Cumplimiento Normativo - Peru, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual es el proposito principal del bloque inicial del curso?","A","Proporcionar una introduccion a los conceptos de seguridad en operaciones.","Describir las herramientas fisicas utilizadas en operaciones.","Presentar los reguladores del sector industrial.","Establecer contacto con los participantes para futuras evaluaciones.","","","","","",""
"multiplechoice","SICPE","C2 Control Operacional y Barreras","Yes","¡Correcto! Segun el material del curso, lo correcto es: Matrices de Riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICPE.","1","Segun el material del curso Seguridad Industrial y Cumplimiento Normativo - Peru, responde con precision: En el contexto de la evaluacion de riesgos, cual es la herramienta mas relevante cubierta en el curso?","C","Analisis FODA.","Mind mapping.","Matrices de Riesgo.","Diagramas de flujo.","","","","","",""
