"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar competencias en gestion de calidad e inocuidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo del curso en el contexto de la seguridad alimentaria en Argentina?","A","Desarrollar competencias en gestion de calidad e inocuidad alimentaria.","Propiciar la creacion de nuevas empresas en el sector agroalimentario.","Proporcionar conocimientos sobre regulaciones internacionales de alimentos.","Entrenar en tecnicas de marketing para la industria alimentaria.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Profesionales de la calidad, inocuidad y regulaciones alimentarias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Quien es el publico objetivo de este curso?","C","Investigadores en el sector de la biotecnologia.","Consumidores interesados en la produccion alimentaria.","Profesionales de la calidad, inocuidad y regulaciones alimentarias.","Estudiantes de cocina y gastronomia.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Codigo Alimentario Argentino.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que normativa argentina es fundamental para asegurar la calidad e inocuidad en los alimentos?","B","La Ley de Propiedad Intelectual.","El Codigo Alimentario Argentino.","La Ley de Defensa de la Competencia.","La Ley de Proteccion al Consumidor.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Definir competencias concretas que puedan ser evaluadas a traves de indicadores claros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de las siguientes opciones describe mejor la formulacion de resultados de aprendizaje medibles en el contexto de la regulacion alimentaria en Argentina?","D","Desarrollar resultados de aprendizaje que no esten alineados con las normativas vigentes.","Establecer objetivos vagos que no puedan ser evaluados.","Crear enunciados que solo se enfoquen en conocimientos teoricos sin aplicacion practica.","Definir competencias concretas que puedan ser evaluadas a traves de indicadores claros.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los resultados deben alinearse con las normativas, garantizando que los profesionales esten capacitados para cumplirlas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el marco de los resultados de aprendizaje, cual es la relacion fundamental entre estos resultados y el trabajo regulatorio en la industria alimentaria?","B","Los resultados de aprendizaje no tienen impacto significativo en los estandares regulatorios.","Los resultados deben alinearse con las normativas, garantizando que los profesionales esten capacitados para cumplirlas.","Los resultados de aprendizaje pueden ignorar los aspectos regulatorios en favor de la creatividad.","Los resultados de aprendizaje son independientes de las regulaciones establecidas.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite a los estudiantes avanzar a su propio ritmo favoreciendo la absorcion del conocimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual es la principal ventaja de la metodologia autoadministrada en un entorno de e-learning?","D","Solo se puede utilizar con recursos en formato fisico.","Requiere supervision constante por parte de un facilitador.","Limita la interaccion entre los estudiantes.","Permite a los estudiantes avanzar a su propio ritmo favoreciendo la absorcion del conocimiento.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contar con retroalimentacion inmediata sobre las respuestas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el contexto de la logica de autoevaluacion, que aspecto es crucial para que los alumnos puedan medir su progreso?","A","Contar con retroalimentacion inmediata sobre las respuestas.","Recibir la evaluacion solo de los instructores.","Realizar examenes solo al final del curso.","Expectativa de una correccion manual de las respuestas.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Quizzes cortos que ofrecen retroalimentacion al finalizar cada modulo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de los siguientes recursos es un ejemplo tipico de evaluacion integrada en un curso e-learning?","C","Clases en vivo sin interaccion con el contenido.","Documentos impresos para estudio al final del curso.","Quizzes cortos que ofrecen retroalimentacion al finalizar cada modulo.","Videoconferencias que no evaluan el progreso.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer sus propios objetivos y gestionar su tiempo de estudio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En un enfoque autoadministrado, que se espera que haga el alumno en relacion a su propio proceso de aprendizaje?","C","Participar exclusivamente en actividades grupales sin reflexion individual.","Esperar instrucciones constantes del facilitador.","Establecer sus propios objetivos y gestionar su tiempo de estudio.","Limitarse a seguir un plan de estudios rigido sin adaptaciones.","","","","","",""
"multiplechoice","ASNAR","C1 Marco Legal y CAA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Introducir conceptos basicos de calidad y seguridad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el principal objetivo del primer bloque del curso sobre gestion de calidad en el sector alimentario?","A","Introducir conceptos basicos de calidad y seguridad alimentaria.","Presentar herramientas de auditoria de calidad alimentaria.","Establecer las normativas regulatorias en Argentina.","Desarrollar un plan de accion para el sector alimentario.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de riesgos y puntos criticos de control (HACCP).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el segundo bloque, que tema se aborda como parte fundamental para asegurar la calidad e inocuidad en la produccion alimentaria?","A","El analisis de riesgos y puntos criticos de control (HACCP).","El desarrollo de normativas internacionales sobre calidad.","Auditorias internas en el sector alimentario.","Tendencias en la comercializacion de alimentos.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Examenes teoricos al final de cada bloque.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual de las siguientes actividades NO es parte de la estructura practica del curso?","C","Talleres de simulacion de auditorias.","Foros de discusion sobre desafios regulatorios.","Examenes teoricos al final de cada bloque.","Estudio de casos reales relacionados con la inocuidad alimentaria.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la calidad y seguridad de los alimentos en el mercado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo de la Ley 18.284 en el contexto del Codigo Alimentario Argentino?","B","Regular los precios de los alimentos en el sector privado.","Asegurar la calidad y seguridad de los alimentos en el mercado.","Establecer controles unicamente en la produccion agropecuaria.","Promover la importacion de alimentos extranjeros para diversificar el mercado.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Define las normativas para el control de calidad y seguridad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Como influye el Codigo Alimentario Argentino en la legislacion sanitaria?","D","Facilita el acceso de productos extranjeros al pais sin restricciones.","Establece sanciones exclusivamente para productores rurales.","Regula la publicidad de alimentos sin considerar la salud publica.","Define las normativas para el control de calidad y seguridad alimentaria.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Supervisan la produccion desde la cosecha hasta la distribucion, asegurando el cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que papel juegan los responsables de calidad e inocuidad en el cumplimiento del Codigo Alimentario Argentino?","B","Se limitan a establecer precios competitivos en el mercado.","Supervisan la produccion desde la cosecha hasta la distribucion, asegurando el cumplimiento normativo.","Evaluan unicamente el etiquetado de productos ya comercializados.","Son responsables de la promocion de alimentos organicos independientemente de los estandares establecidos.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la seguridad y calidad de los alimentos y productos de consumo humano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la principal funcion de ANMAT en la regulacion de alimentos en Argentina?","D","Promover actividades comerciales entre productores y consumidores","Controlar la cantidad de produccion de alimentos","Establecer las tarifas para la exportacion de productos alimenticios","Garantizar la seguridad y calidad de los alimentos y productos de consumo humano","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: ANMAT.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de las siguientes entidades es responsable de regular la inocuidad y calidad de los alimentos industrializados?","A","ANMAT","INAL","SENASA","Ministerio de Salud","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Leyes nacionales de salud y seguridad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que criterio de competencia sanitaria establece reglas para el registro de productos alimenticios en Argentina?","C","Los precios de los productos en el mercado","Las certificaciones internacionales de calidad","Leyes nacionales de salud y seguridad alimentaria","La ruta de transporte de los alimentos","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cumplir con la normativa de inocuidad y calidad de los establecimientos que elaboran o comercializan alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la funcion principal del RNE (Registro Nacional de Establecimientos)?","C","Controlar la trazabilidad de los alimentos desde el productor hasta el consumidor final.","Obtener permisos de importacion para ingredientes alimentarios.","Cumplir con la normativa de inocuidad y calidad de los establecimientos que elaboran o comercializan alimentos.","Registrar todos los productos alimenticios que se comercializan en el pais.","","","","","",""
"multiplechoice","ASNAR","C2 Autoridades ANMAT y SENASA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El RNPA se refiere a los productos alimenticios, mientras que el RNE a los establecimientos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que diferencia principal existe entre el RNPA y el RNE?","A","El RNPA se refiere a los productos alimenticios, mientras que el RNE a los establecimientos.","Ambos registros son identicos en su aplicacion y objetivos, pero tienen diferentes nombres.","El RNE es obligatorio para todos los alimentos y el RNPA solo para aquellos envasados.","El RNPA se encarga de la calidad nutricional y el RNE de la presentacion comercial de los alimentos.","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Formulario de inscripcion con informacion del producto y del establecimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual de los siguientes documentos se requiere para realizar la inscripcion en el RNPA?","A","Formulario de inscripcion con informacion del producto y del establecimiento.","Certificado de aprobacion de la calidad de la materia prima utilizada.","Manual de Buenas Practicas de Manufactura (BPM).","Plan de manejo de residuos solidos del establecimiento.","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La autorizacion sanitaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de los siguientes documentos es esencial para iniciar un tramite de licencia de funcionamiento en la industria alimentaria en Argentina?","C","Las certificaciones de calidad ISO","El registro contable de la empresa","La autorizacion sanitaria","El contrato de trabajo de los empleados","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Instituto Nacional de Alimentos (INAL).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Que organismo en Argentina es el principal responsable de la regulacion y control de la seguridad alimentaria?","B","Secretaria de Comercio","Instituto Nacional de Alimentos (INAL)","Ministerio de Agricultura, Ganaderia y Pesca","Ministerio de Salud","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: 30 dias habiles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual es el plazo normativo generalmente establecido para la obtencion de un permiso de funcionamiento tras la presentacion de la solicitud?","D","45 dias habiles","60 dias habiles","15 dias habiles","30 dias habiles","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Certificado sanitario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal documento requerido para la exportacion de productos alimenticios en Argentina?","B","Certificado de origen","Certificado sanitario","Factura comercial","Declaracion jurada","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Servicio Nacional de Sanidad y Calidad Agroalimentaria (SENASA).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que entidad es responsable de emitir el Certificado Sanitario de Exportacion en Argentina?","D","Agencia de Seguridad Alimentaria","Secretaria de Comercio Exterior","Ministerio de Salud","Servicio Nacional de Sanidad y Calidad Agroalimentaria (SENASA)","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un procedimiento para asegurar la calidad del producto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que representa el HACCP en el contexto de la exportacion de alimentos?","A","Un procedimiento para asegurar la calidad del producto","Un sistema de control de precios internacionales","Un metodo de evaluacion financiera","Una politica de administracion de recursos humanos","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitacion continua del personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de las siguientes variables tiene un mayor impacto en la efectividad de un sistema de gestion de la calidad en la industria alimentaria?","C","La ubicacion de la planta de produccion","El disenio del empaque del producto","Capacitacion continua del personal","El numero de productos en el catalogo","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer un sistema de trazabilidad de ingredientes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el contexto del sector alimentario en Argentina, cual es una estrategia clave para cumplir con los requisitos regulatorios?","C","Disminuir los costos de produccion","Aumentar la produccion en todas las plantas","Establecer un sistema de trazabilidad de ingredientes","Implementar un plan de mitigacion de riesgos","","","","","",""
"multiplechoice","ASNAR","C3 Registros RNE y RNPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fortalecen la reputacion de las marcas y mejoran la aceptacion en mercados internacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que papel juegan las certificaciones de calidad en la competitividad del sector alimentario argentino?","A","Fortalecen la reputacion de las marcas y mejoran la aceptacion en mercados internacionales","Disminuyen la carga administrativa en las plantas","Limitan la variedad de productos ofrecidos por las empresas","Aumentan el costo de produccion sin beneficios claros","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registro de materias primas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes registros es esencial para garantizar la trazabilidad de productos en la industria alimentaria?","A","Registro de materias primas","Registro de empleados","Registro de proveedores","Registro de ventas","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registro de controles de calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el contexto de gestion de calidad, que tipo de registro es crucial para el cumplimiento de normativas sanitarias en la planta?","C","Registro de reuniones de liderazgo","Registro de formacion del personal","Registro de controles de calidad","Registro de auditorias internas","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la calidad de las materias primas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual es la funcion principal del registro de proveedores en la gestion de calidad en la industria alimentaria?","B","Mantener una lista de contactos","Asegurar la calidad de las materias primas","Registrar fechas de entrega","Documentar pagos realizados","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Manual de calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de los siguientes documentos es esencial para validar el cumplimiento de las normativas en una planta de procesamiento de alimentos?","D","Registro de proveedores","Plan de gestion de riesgos","Informe de ventas","Manual de calidad","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: La conformidad con los procedimientos establecidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Durante una revision interna, que se debe priorizar al evaluar la implementacion de los requisitos de planta?","B","La capacidad de produccion","La conformidad con los procedimientos establecidos","La disponibilidad de materia prima","La estetica del lugar","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la seguridad alimentaria y el cumplimiento de normativas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual es la principal finalidad de realizar auditorias internas en una planta de alimentos?","D","Mejorar la imagen de la planta","Incrementar el volumen de ventas","Optimizar el proceso de produccion","Garantizar la seguridad alimentaria y el cumplimiento de normativas","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Brecha regulatoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de los siguientes conceptos se refiere a la falta de regulacion en un area especifica que puede resultar en riesgos para la seguridad alimentaria?","A","Brecha regulatoria","Sistema de gestion de calidad","Auditoria de cumplimiento","Normativa internacional","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar programas de capacitacion sobre normativas actuales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En relacion a las brechas regulatorias, cual de las siguientes acciones es crucial para mitigar su impacto en el sector alimentario?","C","Aumentar los costos de produccion","Limitar la comunicacion con proveedores","Implementar programas de capacitacion sobre normativas actuales","Disminuir los controles de calidad","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer auditorias regulares de cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que estrategia debe implementar una empresa para identificar brechas regulatorias en sus procesos productivos?","C","Desestimar la capacitacion del personal","Aumentar la produccion sin controles","Establecer auditorias regulares de cumplimiento normativo","Reducir la comunicacion con los entes reguladores","","","","","",""
"multiplechoice","ASNAR","C4 Requisitos para Operar","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurarse de que los productos cumplen con los estandares de calidad e inocuidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el objetivo principal de una visita sanitaria en el ambito de la industria alimentaria?","A","Asegurarse de que los productos cumplen con los estandares de calidad e inocuidad.","Registrar la disponibilidad de equipos en la planta.","Revisar los formatos de documentacion interna de la planta.","Evaluate la competencia del personal de una planta.","","","","","",""
"multiplechoice","ASNAR","C5 Exportacion y Trazabilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Documentacion que certifique el cumplimiento de normativas sanitarias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que aspecto clave se debe preparar antes de una inspeccion sanitaria?","A","Documentacion que certifique el cumplimiento de normativas sanitarias.","Un stock de productos para revision.","Analizar los costos operativos de la planta.","Una lista de los trabajadores que no estaran presentes.","","","","","",""
"multiplechoice","ASNAR","C5 Exportacion y Trazabilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar una auditoria interna donde se simule la inspeccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: En terminos de preparacion operativa, que accion es fundamental antes de recibir una visita sanitaria?","C","Comprar nuevos equipos para la produccion.","Reduccion de la jornada laboral para el equipo.","Realizar una auditoria interna donde se simule la inspeccion.","Aumentar la variedad de productos a ofrecer.","","","","","",""
"multiplechoice","ASNAR","C5 Exportacion y Trazabilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registro de temperatura de almacenamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNAR.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes reportes es obligatorio para garantizar la seguridad alimentaria en una planta procesadora de alimentos?","B","Lista de empleados","Registro de temperatura de almacenamiento","Inventario de materias primas","Dias de operacion de la planta","","","","","",""
