"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","AEAIN","S1 Fundamentos del Fuego y LEL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Describir los componentes necesarios para que ocurra la combustion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso AEAIN presenta el triangulo del fuego como base para comprender la combustion. De acuerdo con el material, la funcion principal del triangulo del fuego es:","A","Describir los componentes necesarios para que ocurra la combustion","Fijar el precio de venta de los combustibles","Disenar la campana publicitaria de la planta","Calcular las metas comerciales del periodo","","","","","",""
"multiplechoice","AEAIN","S2 Marcos ATEX IECEx y NEC","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Union Europea para equipos y lugares de trabajo con atmosferas explosivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso presenta el panorama regulatorio de las atmosferas explosivas. De acuerdo con el material, el marco ATEX corresponde a una regulacion aplicable principalmente en:","C","Un mercado exclusivo de venta de productos","Una campana publicitaria del sector","La Union Europea para equipos y lugares de trabajo con atmosferas explosivas","Una meta comercial internacional","","","","","",""
"multiplechoice","AEAIN","S3 Clasificacion de Zonas Ex","Yes","¡Correcto! Segun el material del curso, lo correcto es: El area de mayor peligrosidad donde la atmosfera explosiva de gas esta presente de forma continua o prolongada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso presenta la clasificacion de zonas para gases y vapores en las atmosferas explosivas. De acuerdo con el material, la Zona 0 corresponde a:","B","El area de menor peligrosidad del proceso","El area de mayor peligrosidad donde la atmosfera explosiva de gas esta presente de forma continua o prolongada","El area de venta de los productos","El area de la campana publicitaria","","","","","",""
"multiplechoice","AEAIN","S4 Grupos de Gas Clases T y EPL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los gases mas peligrosos del grupo II como el hidrogeno y el acetileno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso presenta la clasificacion de los gases en grupos para las atmosferas explosivas. De acuerdo con el material, el Grupo IIC reune:","D","Los gases menos peligrosos del grupo","Los precios de venta de los gases","Las campanas publicitarias de los gases","Los gases mas peligrosos del grupo II como el hidrogeno y el acetileno","","","","","",""
"multiplechoice","AEAIN","S5 Tipos de Proteccion y DPCE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Limitar la energia disponible a niveles que no puedan inflamar la atmosfera.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso presenta los tipos de proteccion de los equipos para atmosferas explosivas. De acuerdo con el material, el principio de la seguridad intrinseca conocida como Ex i consiste en:","A","Limitar la energia disponible a niveles que no puedan inflamar la atmosfera","Fijar el precio de venta del equipo","Disenar la campana publicitaria","Calcular las metas comerciales","","","","","",""
"multiplechoice","AEAIN","S1 Fundamentos del Fuego y LEL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los aditivos quimicos ajenos al proceso de combustion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso amplia el triangulo del fuego al pentagono de la explosion para las atmosferas explosivas. De acuerdo con el material, un elemento que NO forma parte del pentagono de la explosion es:","C","El combustible presente en la atmosfera","El comburente representado por el oxigeno","Los aditivos quimicos ajenos al proceso de combustion","La fuente de ignicion capaz de iniciar la reaccion","","","","","",""
"multiplechoice","AEAIN","S2 Marcos ATEX IECEx y NEC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la certificacion internacional de equipos para atmosferas explosivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso describe el sistema IECEx dentro de los marcos internacionales para atmosferas explosivas. De acuerdo con el material, el sistema IECEx tiene como proposito:","B","Fijar los precios de venta de los equipos","Facilitar la certificacion internacional de equipos para atmosferas explosivas","Coordinar la campana publicitaria del sector","Definir las metas comerciales del periodo","","","","","",""
"multiplechoice","AEAIN","S3 Clasificacion de Zonas Ex","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es probable que la atmosfera explosiva de gas se presente durante la operacion normal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso describe la clasificacion intermedia de zonas para gases y vapores. De acuerdo con el material, la Zona 1 corresponde al area en la que:","D","Nunca se forma una atmosfera explosiva","Se fijan los precios de venta","Se disena la campana publicitaria","Es probable que la atmosfera explosiva de gas se presente durante la operacion normal","","","","","",""
"multiplechoice","AEAIN","S4 Grupos de Gas Clases T y EPL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los gases y vapores menos dificiles de contener en caso de explosion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso describe el Grupo IIA dentro de la clasificacion de gases. De acuerdo con el material, el Grupo IIA agrupa:","A","Los gases y vapores menos dificiles de contener en caso de explosion","Los gases mas peligrosos del grupo","Los precios de venta mas altos","Las campanas publicitarias del sector","","","","","",""
"multiplechoice","AEAIN","S5 Tipos de Proteccion y DPCE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contener una explosion interna e impedir que se propague a la atmosfera exterior.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AEAIN.","1","El material del curso describe la envolvente antideflagrante conocida como Ex d o flameproof. De acuerdo con el material, el principio de esta proteccion consiste en:","C","Reducir el precio de venta del equipo","Ampliar la campana publicitaria","Contener una explosion interna e impedir que se propague a la atmosfera exterior","Aumentar las metas de venta","","","","","",""
