"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer protocolos para la supervision de limpieza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","En el marco del curso Procedimientos Operativos Estandarizados de Sanitizacion, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el alcance principal del curso relacionado con la gestion de saneamiento?","A","Establecer protocolos para la supervision de limpieza","Desarrollar tecnicas de marketing para servicios de limpieza","Fomentar habilidades de comunicacion","Incluir normativas de medio ambiente","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Norma ISO 14001 sobre gestion ambiental.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Segun los contenidos desarrollados en el curso Procedimientos Operativos Estandarizados de Sanitizacion, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que norma especifica se cubre en el curso que afecta directamente a los operarios de L&D?","C","Normativa de higiene en el trabajo","Reglamento de bienestar laboral","Norma ISO 14001 sobre gestion ambiental","Norma ISO 9001 sobre sistemas de gestion de calidad","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: A todos los niveles de personal involucrados en la gestion de limpieza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Con base en el material del curso Procedimientos Operativos Estandarizados de Sanitizacion y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: A quien va dirigido principalmente el curso respecto a sus roles dentro de las instituciones de saneamiento?","B","Unicamente a los supervisores de limpieza","A todos los niveles de personal involucrados en la gestion de limpieza","Solo a los coordinadores de calidad","A los gerentes de recursos humanos","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Habilidad para implementar y supervisar estandares de calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Tomando en cuenta lo estudiado en el curso Procedimientos Operativos Estandarizados de Sanitizacion sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de las siguientes habilidades es crucial para los responsables de saneamiento segun el contenido del curso?","D","Competencias en analisis financiero","Capacidad de realizar tareas administrativas","Conocimiento en marketing digital","Habilidad para implementar y supervisar estandares de calidad","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Definir lo que los participantes deben saber o ser capaces de hacer al finalizar un programa de capacitacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","De acuerdo con los fundamentos presentados en el curso Procedimientos Operativos Estandarizados de Sanitizacion, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual es la principal funcion de los resultados de aprendizaje en el ambito de la capacitacion?","B","Garantizar que todos los participantes completen un numero minimo de horas de capacitacion.","Definir lo que los participantes deben saber o ser capaces de hacer al finalizar un programa de capacitacion.","Servir como una guia para el contenido del curso, sin necesidad de ser medido.","Proporcionar una evaluacion del desempenio individual sin relacion con los objetivos organizacionales.","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los resultados de aprendizaje influyen en la planificacion de programas de capacitacion al servir como un mapa claro de las habilidades y conocimientos que se desean adquirir por los participantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Considerando el enfoque metodologico del curso Procedimientos Operativos Estandarizados de Sanitizacion y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Explique como los resultados de aprendizaje pueden influir en la planificacion de programas de capacitacion.","D","Abarcar como el HACCP establece un sistema preventivo que incluye la identificacion de peligros microbiologicos, quimicos y fisicos, entre los cuales se encuentran las plagas.","Una respuesta efectiva debe describir los componentes principales de una URL, como el protocolo (http o https), el dominio, y la ruta de acceso a archivos o recursos.","La necesidad de que todo el personal este debidamente capacitado en los procedimientos del POES para garantizar una correcta aplicacion de practicas de limpieza y desinfeccion.","Los resultados de aprendizaje influyen en la planificacion de programas de capacitacion al servir como un mapa claro de las habilidades y conocimientos que se desean adquirir por los participantes.","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es un proceso continuo que ayuda a ajustar la ensenianza y mejorar los resultados finales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","En el marco del curso Procedimientos Operativos Estandarizados de Sanitizacion, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes afirmaciones describe mejor la evaluacion de los resultados de aprendizaje?","A","Es un proceso continuo que ayuda a ajustar la ensenianza y mejorar los resultados finales.","Se realiza unicamente al final del curso y no influye en el proceso de ensenianza.","Solo se enfoca en la satisfaccion del participante con el curso.","Valora solamente las calificaciones obtenidas por los aprendices sin analisis de competencias.","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque les permite evaluar continuamente la eficacia de las practicas de limpieza y sanitizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Segun los contenidos desarrollados en el curso Procedimientos Operativos Estandarizados de Sanitizacion, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Por que es esencial que los responsables de saneamiento y supervisores de limpieza comprendan los resultados de aprendizaje?","C","Ayuda a definir un cronograma de trabajo sin conexion con la capacitacion.","Porque los resultados son irrelevantes para su trabajo diario.","Porque les permite evaluar continuamente la eficacia de las practicas de limpieza y sanitizacion.","Los resultados solo estan destinados a coordinadores de QA.","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mixta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Con base en el material del curso Procedimientos Operativos Estandarizados de Sanitizacion y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es la modalidad de ensenianza utilizada en este curso?","C","A distancia","Virtual","Mixta","Presencial","","","","","",""
"multiplechoice","POES","C1 Origen Normativo POES","Yes","¡Correcto! Segun el material del curso, lo correcto es: Al menos tres de los siguientes recursos: videos explicativos, foros de discusion, documentacion descargable, actividades practicas, y materiales interactivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso POES.","1","Tomando en cuenta lo estudiado en el curso Procedimientos Operativos Estandarizados de Sanitizacion sobre este tema especifico y las buenas practicas descritas en el material, responde: Menciona al menos tres recursos didacticos que se emplean en el curso.","A","Al menos tres de los siguientes recursos: videos explicativos, foros de discusion, documentacion descargable, actividades practicas, y materiales interactivos.","El papel del supervisor en el proceso de monitoreo de limpieza es fundamental, ya que se encarga de verificar que las actividades de limpieza se realicen de acuerdo con los protoco","Un plan de limpieza en un entorno industrial debe considerar la naturaleza de los residuos generados, las caracteristicas del espacio fisico, los productos quimicos a utilizar, la","El ATP es el producto final del ciclo de Krebs, que se produce durante la respiracion celular al oxidar moleculas como glucosa.","","","","","",""
